,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,b62153e05365fcb028df05a006d7f0480b082089,1451587900,1,1,1,1,3,1.4558764720277595,24,3,794,1,2,11.5925,74,9667,148.5670474332724,407
1,7684cf286a7edd28e8aa23693eb87c2231f68000,1451590149,0,0,1,3,3,0.760658476840993,24,15,6309,1,20,12.00272762345679,176,620,233.17547644417056,154
2,5a078b3949c647043cbfb87859f1a2b2b28331db,1451808330,0,0,1,1,3,0.5260997945093815,31,21,480,1,2,2.551273148148148,41,9670,147.7488370124172,407
3,535e4f96bbdf4e793f22d99b2e3fb9fe17267438,1451885299,0,0,2,2,2,0.3576467062456332,57,2,3039,0,14,411.64716435185187,121,5,3.007946427466937,2
4,ff51ddf2f3259a2304441ccb22d5c7a1dafeeede,1451890015,1,1,1,1,1,0.0,1,12,4290,1,14,3.472986111111111,87,621,228.1148366810905,154
5,a78ede545e98a01e00c7055d222ff73acc62d997,1451892653,1,1,1,1,1,0.0,30,5,65,1,4,683.8123842592593,5,1,1.0,1
6,b49f46e0a414eeeb15686b31418ddb08e4b429ec,1451896264,0,0,1,3,8,2.3850094391524292,14,69,4801,1,6,1106.4676938657408,34,4151,266.63300123129414,678
7,cb973693b1b52beb68f45becc82316c0556bfb59,1451912521,1,1,1,1,1,0.0,1,1,610,1,15,53.718275462962964,31,1779,614.2155225147355,1035
8,f2f557534ba46f24075969519bad97b4f6d1a2d3,1451914847,1,1,1,1,13,1.8560957549940418,687,898,6894,1,15,35.43493767806268,277,550,93.12897172316802,89
9,f212c22693192477c0acd0ca380695525df3d555,1451915346,1,1,1,1,1,0.0,8,10,176,1,3,34.97304398148148,6,551,94.05351110331355,89
10,a78174806f1691a5e65f7b8799a11b6b4dd86729,1451917009,1,1,1,1,1,0.0,1,1,610,1,15,0.051944444444444446,32,1780,615.1641488450456,1035
11,b00cf89c5c69e4833b0e2d441d2dca3e1b044239,1451921490,0,0,1,1,1,0.0,2,1,827,1,13,138.15887731481482,52,46,1.3045253378416615,32
12,5161e813d69721aee476c1952f7c6794ee32bc5e,1451945252,0,0,1,1,1,0.0,3,3,193,1,4,47.26695601851852,208,9671,146.0471622874601,3
13,52ef4b07be26525059afc7c9e610fafb4dc0af8c,1451952056,0,0,1,12,1,3.584962500721156,12,12,12,0,6,5.000011574074074,9930,8099,103.66768649659167,210
14,829b4ac95ed3d0817ef3cd99dde448234e58b644,1451978974,1,1,1,3,4,1.469740574257922,14,67,1547,1,7,592.7197048611112,25,4155,266.18491195658135,680
15,461f8521e5dd006476b3691e85a78b86679c3b00,1451980359,0,0,1,1,1,0.0,0,1,591,1,3,0.016030092592592592,6,4156,267.0484812454819,680
16,428cc3497ee844b9262d1bdc7cb09a8332eee87c,1451980561,1,1,1,1,2,1.0,26,6,7441,1,16,33.72667824074074,267,193,72.18522016564852,39
17,b01072506930c5258fa6b46ccafa89bfedbb756b,1451987215,1,1,1,1,3,1.0063477284588407,71,17,1600,1,22,108.33650462962963,123,3,3.0,3
18,5cd53fd10251fa9c8547fd06882b3d69b5c275a1,1452009450,0,0,1,1,1,0.0,7,2,1738,1,17,40.091006944444445,71,194,72.66059456364772,39
19,8647ef81cf387872ad1887765d2c09801a34a1bc,1452012476,0,0,1,1,1,0.0,1,1,598,1,8,34.09804398148148,15,94,92.05333455146814,5
20,bff7b9ef41a32e571f2ef77fbe7f3520187c10d0,1452013009,0,0,1,1,1,0.0,15,4,707,1,2,39.03333333333333,6,30,1.6064714954960115,16
21,afcb8d0f1a6acafe5586ab713b7b00683ce33252,1452014495,0,0,1,1,1,0.0,1,0,590,1,3,0.4111226851851852,7,4157,265.22838015928676,680
22,64360203f143cb45e664eaef05167a2e1b531d00,1452020422,1,1,1,2,2,1.0,4,0,281,1,14,156.06498842592592,42,553,88.26698390596793,91
23,971c5b3bd2d09aa1eeb3dcc300e088d14edf513a,1452020423,0,0,1,1,1,0.0,12,9,553,1,7,213.04913194444444,16,1781,614.1060776005202,275
24,7febb2fe980f5cb179082c9a0771c34572f28aaf,1452020423,1,1,1,3,4,1.7253384583896263,65,42,782,1,15,376.875541087963,35,1785,618.1060776005202,279
25,558fcb1a7fc8a69e43478e218a879bb59250fd04,1452026866,1,1,1,2,2,0.9032019455252954,171,14,1039,1,11,286.26647569444447,41,1787,619.688475748878,281
26,2ac0128f6d86cedda292ca074e25552d50e20778,1452026909,0,0,1,1,1,0.0,52,5,3156,1,16,58.88533564814815,44,1788,620.6848716043708,281
