,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,8951b628faefdb45eb6dc87186d02397e02b68f6,1420046511,0,0,1,1,1,0.0,2,2,1098,0,57,12.77068287037037,211,307,15.585163407437902,105
1,645d9e9632e061b26b2312d144a26fe8dc75cd1c,1420144596,0,0,1,1,1,0.0,3,2,565,0,15,28.303784722222222,58,18788,706.7676466174117,2607
2,032619e11565743b0e607b2ad18db56cd7bd1e45,1420144601,0,0,1,1,1,0.0,1,2,238,0,11,132.5990972222222,20,18789,707.7674177196424,2607
3,05b5f4bc16142a1e0bf6b30a8e0cefeab0c3f47b,1420144604,1,1,1,3,5,1.5673302946724645,16,20,3652,0,35,26.996476851851853,654,18794,712.7672456650739,2607
4,9a2701c1c3c7c805335fb2c1a1dfd1e712e4db6b,1420144608,0,0,1,2,3,1.1488348542809168,27,29,1234,0,23,65.01614583333334,161,18797,715.7667847979402,2607
5,cb3f52004736eec34edb66ded409a80c47aefbe4,1420192546,0,0,1,1,4,1.06742926490304,251,4,5839,0,16,241.4490625,50,1472,61.385647869220506,266
6,5dd202c5a53043b3500456b8366a0e826bd2cebb,1420197074,0,0,1,1,2,0.5435644431995964,7,1,513,0,18,37.51737847222222,55,1441,9.225316258385972,74
7,26b0ff7bad4c78edf4845fa4bf416bc17502da13,1420201148,0,0,1,1,1,0.0,1,1,177,0,90,39.842708333333334,295,17581,967.3205482438512,1249
8,21b379da4fbe878b508594e6d4faf1b0572b52fd,1420204547,0,0,1,1,1,0.0,0,16,525,1,13,133.28416666666666,15,773,79.7507648398479,444
9,cd407e1bc616bb98eef83d2b5c64513507ed1ef5,1420207090,0,0,1,1,1,0.0,1,1,122,0,6,134.00472222222223,7,5287,496.1891834563162,1546
10,2b5fb185627f8adfb6c5b3d62990a58429bf4ea7,1420207606,1,1,2,5,9,2.1878937095425424,153,7,4586,0,43,148.8656121399177,522,17590,976.1493424394919,2023
11,96178192c451a5e26e30e14a619b96aacd16c29b,1420209071,0,0,2,3,3,1.5537631144722455,16,5,7167,0,45,42.42766203703704,351,9,3.369862505191702,8
12,6d3558b4492027f54e6dab702c115a251eb9e9d0,1420215901,0,0,1,8,7,2.759088819645759,32,17,6448,0,14,21.60763888888889,106,5295,503.99667627420666,968
13,9b869cfb01556ee361bd8f66b1a1f6bc40134cb7,1420215924,0,0,1,5,5,2.321928094887362,4,1,6077,0,14,0.8359837962962963,80,5300,508.994069248781,968
14,86ca4de8a257611d5811a1cbf9c8b5c9336188e9,1420217417,0,0,1,1,2,0.9978211842997324,91,91,1914,0,10,134.1242476851852,40,5302,510.7425361999496,1546
15,2056538feab7739689742de4efe370b35864bc9a,1420229443,0,0,2,10,17,3.399050177380245,71,89,28445,0,84,30.689814133986925,2140,18814,724.345673995512,2939
16,b9b12af83f121cdbc9bb1d3067bfb9e4ba923088,1420229450,0,0,1,9,16,2.6554746445209663,69,85,22502,0,72,10.78687572337963,1976,18830,740.3436576223562,2607
17,545338b21cd4d96c1b7ea9cc5c647f9a9155a53b,1420229455,0,0,1,1,2,0.6840384356390417,5,6,347,0,11,82.89392939814815,71,18832,742.341291653115,2607
18,3d11162fba96fb59593108c336a152920ddcf912,1420229461,1,1,1,2,4,1.50589182596355,22,30,2817,0,23,26.787120949074072,421,18836,746.3383139388221,2607
19,1443b0566ed4528ff96d0e40b66ed030f796286b,1420229466,0,0,1,2,3,1.3709505944546687,9,1,2713,0,21,17.756342592592592,536,18839,749.3356013301943,2607
20,46e028bb45fcaf8a08f2d0824757de359730cecc,1420229472,0,0,1,1,1,0.0,0,1,812,0,15,133.58140046296296,41,18840,750.3321382619004,2607
21,d0db6dc2b7ceb04f2bc1815ac3216a09add8fd3d,1420229489,0,0,1,1,1,0.0,1,0,529,0,7,133.58159722222223,12,5303,509.70353924081803,969
22,29c0102adb8b800f4947e4e7962ca414fe576866,1420230549,0,0,2,6,11,3.1403611636984845,22,22,13698,0,58,14.119724326599327,1403,140,14.869732261313583,116
23,2fadffdc4630eca35d775d973a368feae2630bd9,1420230581,1,1,2,6,18,3.8387106419146826,32,32,25298,0,74,14.744456018518518,2685,158,32.86533753680496,125
24,21d481c209692ec73ab6b6bc43e6977fc2f8c2fc,1420230588,0,0,1,2,4,1.7841591278514217,12,12,4338,0,34,9.263211805555555,647,162,36.862918387336244,119
25,350c60b79e720d005a1a554fd177dbda607079cf,1420292933,0,0,2,4,2,1.792481250360578,6,0,160,0,17,391.8475491898148,60,35,4.729158517331655,22
26,876c2164f43a54fc4b98184a2f016526383524c6,1420320272,0,0,1,1,1,0.0,2,0,3152,0,47,15.490636574074074,139,1,1.0,1
27,4a9ed3de7d92809cf575f245f55d4f422b4983c3,1420324191,0,0,1,5,15,3.669275070710713,25,25,13366,0,58,19.518141203703703,1902,177,33.998384848314245,124
28,2fe82c505d09fdf372f1d4c5992a3a0b0dc98f33,1420324197,0,0,1,10,31,4.124202230966522,104,104,41492,0,111,11.953092891278375,4055,208,64.99678104625417,134
29,d7fa2d060a58b0e79d7df84a4fc54f44de9b2610,1420334432,0,0,1,1,2,0.4971677614160753,39,16,4969,1,32,76.49295717592592,165,2375,606.9912271437112,844
30,c61f8df4047a616ffcb5e775fa8e5981b13e193f,1420360984,0,0,1,1,1,0.0,1,1,407,0,18,135.78590277777778,33,2376,607.4901982085104,844
31,4560ce4ec6196d356810e24c4c76c92a5934c304,1420361005,0,0,1,1,1,0.0,4,4,70,0,3,135.78614583333334,3,2377,608.4896469070801,335
32,84a3dacf462a4170a7fbc71b012fbb2db2c34a19,1420392829,0,0,2,3,3,1.3783073684666851,114,10,2490,0,20,52.32615740740741,49,1337,209.78965383695908,695
33,f444b25ac1dfe240b5ae592717907b15d30a5c21,1420440555,1,1,1,3,6,1.6134916160096298,36,11,3117,0,34,104.07657021604938,241,556,98.1265540152561,280
34,b699ac070c01958cdc6599675f8335377ac45d3a,1420441630,0,0,1,1,1,0.0,3,3,1519,0,15,11.700763888888888,32,5304,497.9743765903411,969
35,aeceb5e383c2c2946dd09dc70136cb905481b924,1420452128,0,0,1,1,1,0.0,0,2,2261,0,23,13.50855324074074,45,1338,209.50723431507126,615
36,c7ab634fc7aba84771586d782decd27db19650bf,1420455741,0,0,2,2,3,1.584962500721156,3,3,2880,0,14,486.75802469135806,106,395,107.18982692718178,328
37,54079de9f9968513a741eeceb2a24c2fd2ddbb96,1420457354,0,0,2,2,2,0.9709505944546686,22,3,1418,0,15,136.9012962962963,20,41,5.128003953189662,32
38,cd82be5c1723a1ce29b7794ff87594020d7b7a48,1420459378,0,0,1,1,1,0.0,17,11,332,0,16,89.05476851851851,24,1109,14.120819784454733,101
39,6ac7e2f710fdbea19f2416b1b26517f533398893,1420459400,0,0,1,1,2,0.4394969869215134,11,0,791,0,14,136.92497685185185,23,2379,608.6083224350936,846
40,1049b36fc29648a0a60fac5948f0fa47e01ad441,1420459500,1,1,1,1,1,0.0,37,36,178,0,9,134.8131712962963,20,2380,609.6050186690659,846
41,73fcae871668f4f042a5a3a04e0f06641816e169,1420459989,0,0,1,1,2,0.9182958340544896,3,0,771,0,6,70.16774305555556,16,82,11.253096022704543,42
42,01cb25953d086e299b235a49853c7410c062e4c9,1420467998,0,0,1,1,1,0.0,1,1,1632,1,13,65.20363425925926,41,3052,19.149294513215224,807
43,d8a09da9a49fa71bb127b5f0ba86e8f5e01c180c,1420467999,0,0,1,1,1,0.0,0,2,1632,1,13,0.11690972222222222,42,3053,20.14928262552546,807
44,bc7243d5832e466772734e24991025e0e8b067b0,1420469455,0,0,1,1,1,0.0,2,1,2259,1,23,13.709097222222223,46,1339,210.13380133707392,615
45,8a4099a0aa86969744d1258244abf2b8d3e8ed26,1420469461,0,0,1,1,1,0.0,1,0,288,1,7,137.0414236111111,10,1340,211.13361925892582,616
46,13ec068ce278bdf003b26abe05658668e91afe09,1420469702,1,1,1,2,4,1.3913390140099187,47,1,422,0,14,112.81796875,40,3713,1343.9772446012907,1026
47,060cc3c47062a35e8127413ece57573d1aca067f,1420473576,0,0,3,8,9,2.7092433006086623,80,87,1944,0,61,371.46414223251026,252,367,20.776907732471248,145
48,832aea1e8e3466fa9e0fe6cf15c854f906f51a42,1420485521,0,0,1,1,1,0.0,10,0,963,0,6,137.22730324074075,10,2381,609.6813333388873,335
49,4c1f66a0b2862784fa790deca36a70d885efb4e0,1420485531,0,0,1,2,2,0.07949044238393407,1,101,1501,0,21,187.77174768518518,44,2383,611.6809336945162,335
50,f38b7e0343dbf254034cb55188ac3287ed2931c6,1420498378,0,0,2,2,2,0.9986359641585718,7,16,1131,0,19,77.89441550925926,44,2,2.0,2
51,83ceb7e9e64b7ce7dbdad9973ec3bcb2941030d1,1420536224,0,0,1,1,1,0.0,3,6,872,0,4,137.12302083333333,4,309,206.00098807015536,179
52,ba455b8e1cbd3c892670cbd8b11278edfef7355d,1420538133,0,0,1,2,2,0.9182958340544896,4,2,812,0,20,47.04189814814815,70,821,98.38282850609221,176
53,9830f251fee207be04764d627c7a8a4902f7beaf,1420540345,0,0,1,1,1,0.0,17,2,2996,1,8,18.00193287037037,65,1631,251.82807091162022,502
54,c81af6d399ad4e580f87cebdf06046e24fae11a9,1420540351,0,0,1,1,1,0.0,0,2,3011,0,8,0.07583333333333334,66,1632,252.82797639544404,502
55,a15cf55bc4b0013dae43e406d9181f88f032add8,1420541173,0,0,1,1,1,0.0,1,0,80,0,3,137.94162037037037,3,3714,1342.9961465699569,1027
56,96d79d314c004afa2d84d4a32fd019d2d4770799,1420542500,0,0,1,1,2,0.5916727785823275,0,28,1536,1,14,32.69909143518519,161,1902,28.3893049446221,158
57,20abaf97f4995ca0ed89e7022456584aea095f54,1420543036,0,0,1,1,1,0.0,1,0,49,0,9,172.5695949074074,37,800,64.70667762061615,86
58,ebd7df6e5794bbfe4e283f1bed9ac18bf6974d51,1420544648,0,0,1,1,1,0.0,4,4,1215,0,16,89.04167824074074,36,226,49.40957094554235,170
59,c7412da7727fc51a1f89cbe529c5d4a99adcfd10,1420548188,0,0,1,1,1,0.0,23,6,400,1,2,168.08527777777778,11,1985,353.2736425402033,607
60,70ddea603c70bb54bab47008680f743d05616bd4,1420548798,0,0,1,1,2,0.4021791902022729,15,10,281,0,7,107.01595486111111,35,1037,25.732096807080996,292
61,38a3158d2fe32dc55c6b6286fac58f782571294a,1420550541,0,0,1,1,3,0.8996813261830412,48,5,2564,1,24,97.51836805555556,73,229,52.34289034703379,172
62,16c32c6dfbca03a46d1a2bb87b6c1c365e6179d5,1420550760,0,0,2,2,2,0.6193821946787638,27,12,3816,1,26,72.01269097222222,57,9356,995.1414595321656,4401
63,af327273622391d515958a292689c7d3df79abfc,1420550799,0,0,1,1,1,0.0,41,0,514,0,3,137.98283564814815,8,581,135.30316039558122,22
64,5b4f875e129369d92af2e6d9e9eeef019ce10cd1,1420552368,0,0,1,1,2,0.28639695711595625,13,7,2426,1,23,26.365046296296295,61,231,54.26172107998969,172
65,cef46a339b28300ffd87b874df86912dae3f05fa,1420552684,0,0,1,1,1,0.0,1,0,690,0,8,112.09121527777778,31,2845,133.51417647163004,231
66,ccef8261d4d005a8666ef2c10b82860602f781b3,1420552913,0,0,1,1,1,0.0,2,0,369,1,5,48.00219907407408,20,3715,1343.6978601681594,1027
67,c92fe03ac19f09eb5db25cb0f02809fab80fbecc,1420556853,0,0,1,3,4,1.5947024175446605,25,2,7158,1,5,285.6171846064815,83,5,4.001483501556801,5
68,75f05781240671f3dcf3ae49a547e72e4282d2f0,1420559067,0,0,1,1,2,0.6500224216483541,23,1,275,0,11,579.3537268518519,17,1634,254.39906562790387,112
69,6a4704cc64648896e556bc385eba995b59fcd6ca,1420559070,0,0,1,1,1,0.0,5,0,12,0,5,311.705625,6,1635,255.39893838258777,113
70,463835b3067594ff2ad3f10a3909ae1a1dec3d13,1420559072,0,0,1,1,1,0.0,5,0,7,0,5,315.3082523148148,7,1636,256.3988304090569,114
71,4613e1d2c13025beadf0fd3acaa0a05842307b36,1420559074,0,0,1,1,1,0.0,5,0,207,0,5,132.19953703703703,6,1637,257.39869929242116,115
72,8057ce61d0b2015d47985db50b959ef0a8a2e2c0,1420559076,0,0,1,1,1,0.0,9,0,606,0,6,138.07863425925925,11,1638,258.398545033748,116
73,ce40b8b7ef1c7b3c8355233825265f2d49dc4ddd,1420559078,0,0,1,1,1,0.0,5,0,7,0,5,888.1840046296296,5,1639,259.39836763411336,117
74,f2c247921db9b65ed07c69c57ded07f46292509f,1420559454,0,0,1,1,1,0.0,2,1,19,0,3,251.8996875,3,231,65.82427758105717,16
75,a371bac3fba73f92aaa63a68d8ab1ae81a1d1031,1420561107,1,1,1,1,2,0.4854607607459134,65,11,3692,0,16,55.71068287037037,94,3055,21.082958483006816,807
76,f3e9f11265bc6715d4d1c6e2d734fad923b10d05,1420562207,0,0,1,1,1,0.0,3,3,434,0,21,49.26064814814815,39,5305,496.11725465993294,1546
77,01fc82e3574614762d2ce061dd45ce4995c79e7f,1420562209,0,0,1,1,1,0.0,1,0,1104,0,20,25.903333333333332,106,5306,497.1171973159281,1546
78,aa83bacb14dac06eb7226c8c688f37eeecec15d4,1420562218,0,0,1,6,5,2.3284597621259264,52,14,4916,0,12,4.843599537037037,90,5312,503.1168351285898,969
79,624ee454ec58074c1156b8a82f48ba83279c44fa,1420562220,0,0,2,2,3,1.2516291673878228,6,6,2684,0,20,63.20492283950617,38,5315,506.1166157634726,2515
80,2bdcea9d31d07c32e085a5194873c735e519855d,1420562339,0,0,1,1,1,0.0,0,2,652,0,3,27.036967592592593,47,2099,322.2709772882647,542
81,9d9b785259103ebed616bd59a3b3f2fd6cb95019,1420562343,0,0,1,1,1,0.0,4,0,1105,0,20,3.8705208333333334,107,5316,507.098877008168,1546
82,acf80b9a2b913e898ed4c4ed14d4ea79401484fe,1420562909,0,0,1,1,2,0.8112781244591328,4,0,145,0,9,138.1229976851852,22,5318,509.0113237467353,1548
83,a457bf3ff73627aa2c95f0482a838b14fd3233a0,1420563298,0,0,1,2,2,0.39124356362925566,13,13,8020,0,69,24.106909722222223,205,37,8.295716972219111,15
84,2ac307d6884c1f68f092749076d60dacfc18c365,1420564552,0,0,1,1,1,0.0,1,2,5146,1,6,1.092974537037037,37,1,1.0,1
85,182bb7c3d0afdcc4c49958bb1bef3760680cdc5d,1420564567,0,0,1,1,1,0.0,4,6,6843,1,107,35.272453703703704,561,17591,965.4559577264253,62
86,12d32b017d9ff31332933eae28a3f7b46b9d3e49,1420564568,0,0,1,1,1,0.0,6,9,6841,0,107,28.148125,562,5319,509.7228633499286,10
87,1fc4053337b55c98b66de63b4fae223f1eb72563,1420564569,0,0,1,1,1,0.0,2,1,102,0,5,25.6509375,8,5320,510.72268089207483,969
88,cf4b413fa4a81dbfaaaf50cb52f92ecc0d3c3f2a,1420564592,1,1,2,6,7,2.2102129296016906,96,51,2486,0,15,268.91881944444447,63,5328,518.7182192788428,2520
89,a83246146854166a54ee1f9bd4f8911d6bd49602,1420565181,0,0,1,1,1,0.0,14,3,3065,0,16,0.40694444444444444,72,296,3.758820434224346,151
90,187c0f499fd28cf3c91568adc0e48285860e0fb7,1420568974,0,0,1,1,6,2.35775951361288,39,39,4095,0,21,41.934760802469135,430,1908,33.881359537199195,158
91,203e0ec5292589592ab7819beaf246a33a218c9f,1420569154,0,0,1,1,2,0.5916727785823275,0,28,1536,1,14,19.046886574074072,164,1910,35.86618586339024,158
92,dd8b75d8fb2503aed9e29fabf3cfd3a33a0efb5a,1420569504,0,0,1,6,10,3.1145398262866983,5,153,14117,0,84,80.52824189814814,444,5338,527.3818121255562,1552
93,1991647af1de2d0b3812d57363dddfeac6179a68,1420569585,0,0,1,1,1,0.0,77,1,365,0,5,42.45746527777778,10,5339,528.3515351174696,1552
94,32cbb363b969f364f18604ffa93f04938560210b,1420569641,0,0,1,1,1,0.0,3,1,2596,0,19,40.25943287037037,49,5340,529.3299856103392,1552
95,2e2cf8a54954ac7cb1ce4929f9861978228e7bf6,1420569696,0,0,2,2,6,1.815787998444309,17,47,4585,0,28,81.16956790123457,108,5346,535.3082097613458,2525
96,171644cb47b97546ef3f78a7ad0f43d0d52cc332,1420569703,0,0,1,1,2,0.3159971329784247,19,16,903,0,10,110.0305150462963,12,5348,537.3049540519518,1555
97,5c4390cc4b29d55a630c1c3827a59dc6e7490bc4,1420569707,0,0,1,1,2,0.9852281360342516,3,4,906,0,10,5.995486111111111,14,5350,539.3030012794561,1555
98,82c2262b80d97419e8f18c27b70873a36085f8eb,1420569767,0,0,1,1,1,0.0,4,2,588,0,11,138.2023726851852,13,5351,540.2723420807731,1556
99,5352f67ffa5ee257f2856deb8f5f8cd69108e278,1420579619,0,0,1,1,1,0.0,1,1,275,0,6,137.6340277777778,7,915,66.30537803768944,120
100,2d89aee982b5e6590d3912652069196f0637ba80,1420581199,0,0,1,1,1,0.0,2,1,10399,0,44,78.31078703703703,125,1341,209.82186995493697,81
101,804f60d1dbcbeff1741584629942a7f59175e7c5,1420594640,0,0,1,2,2,0.35335933502142136,22,8,527,0,3,916.9681944444444,5,4527,54.73836535777598,1085
102,1a1a6d0edf2d818f84606afbd6486ff0a4435b8b,1420594649,0,0,1,2,8,2.252809269457499,90,90,2180,0,6,558.4671976273148,25,4535,62.73815400159176,1091
103,90e7cc172a7521396bb2d49720ee4ceb9a9390b3,1420604387,0,0,1,1,3,0.3530844222406484,82,39,3043,0,29,96.99367669753087,87,5354,530.1103998546827,1556
104,c566e7bf49a6d329f9ef6bfbee59aca8365e78ef,1420611357,0,0,1,2,2,0.863120568566631,7,7,318,1,7,138.01844907407408,15,3870,782.5263936288526,923
