"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
538544,"ACTF","accservice","actf.accservice-inbox","NEW"," ---","fix problem with error handling","2018-09-03 06:50:22"
530310,"ACTF","Visualization","kentarou","ASSIGNED"," ---","64bit support / Java environment update","2019-02-01 00:40:11"
541739,"ACTF","examples","kentarou","ASSIGNED"," ---","Support WCAG 2.1","2018-11-30 06:31:17"
543999,"ACTF","AI","kentarou","ASSIGNED"," ---","archive unused plugins/features/examples related to ACTF AI","2019-01-31 05:03:54"
544029,"ACTF","Model","kentarou","ASSIGNED"," ---","(64bit) disable ODF related components and check alternative way to support 64bit environment","2019-02-01 00:40:11"
553452,"ACTF","Doc","kentarou","ASSIGNED"," ---","update documentation for example tool","2020-02-13 07:48:24"
540406,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Incorrect Success Criterion Links","2020-01-28 02:51:50"
559607,"ACTF","Visualization","kentarou","RESOLVED","FIXED","support new font-size definitions (e.g., rem, etc.)","2020-02-05 01:08:46"
559609,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Enhance check item C_90 (categorize based on content values and generate 2 types of errors (warning and user check))","2020-02-04 10:48:18"
559838,"ACTF","Visualization","kentarou","RESOLVED","FIXED","Support alpha (opacity), HSL and additional predefined colors in CSS","2020-02-04 11:16:49"
559853,"ACTF","Model","kentarou","RESOLVED","FIXED","DomByCom does not work after browser refresh, etc.","2020-02-05 01:23:01"
