"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
530522,"AJDT","Core","AJDT-inbox","NEW"," ---","With enabled null-analyze the aj-compiler crashes","2018-01-30 11:53:10"
530552,"AJDT","Core","AJDT-inbox","NEW"," ---","Callhierarchy could not be calculated because of a incompibility between jdt and ajdt","2018-01-31 06:27:06"
530837,"AJDT","Core","AJDT-inbox","NEW"," ---","IDT from Aspects missing after Eclipse Oxygen upgrade","2018-02-07 09:15:58"
535103,"AJDT","UI","AJDT-inbox","NEW"," ---","Allow to install more recent JDT","2018-05-28 12:56:53"
537405,"AJDT","Core","AJDT-inbox","NEW"," ---","java.lang.IllegalArgumentException: Unknown location : CLASS_OUTPUT while processing spring-boot metadata","2018-11-04 14:51:07"
538552,"AJDT","Core","AJDT-inbox","NEW"," ---","AJBuilder not resolving dynamic dependencies.","2018-09-03 09:44:02"
541035,"AJDT","Core","AJDT-inbox","NEW"," ---"," @SuppressWarnings(""unchecked"") not working","2020-02-17 02:14:56"
541319,"AJDT","Core","AJDT-inbox","NEW"," ---","IllegalStateException thrown: Unexpectedly unable to initialize a JRT filesystem","2019-02-21 14:48:04"
544442,"AJDT","Core","AJDT-inbox","NEW"," ---","Inter-project refactoring is not possible","2019-02-15 15:23:38"
549497,"AJDT","UI","AJDT-inbox","NEW"," ---","Type Hierarchy fails with java.lang.NoClassDefFoundError: org/eclipse/jdt/internal/core/util/BindingKeyParser$Scanner$AjcClosure1 (wrong name: org/eclipse/jdt/internal/core/util/BindingKeyParser$Scanner)","2019-07-23 17:14:05"
559345,"AJDT","UI","AJDT-inbox","NEW"," ---","AspectJ editor fails to open","2020-01-20 13:36:48"
561682,"AJDT","UI","AJDT-inbox","NEW"," ---","Exceptions in apsectJ tools","2020-04-02 08:21:34"
562168,"AJDT","UI","AJDT-inbox","NEW"," ---","If the path for the source in not exactly /src then the aspectj editor will not recognise aspectj ITD or join points","2020-04-15 09:35:04"
562209,"AJDT","Core","AJDT-inbox","NEW"," ---","AJDT does not recognize aspectj-maven-plugin","2020-11-13 11:09:39"
563142,"AJDT","UI","AJDT-inbox","NEW"," ---","Aspect decorations not showing for advised methods","2020-05-13 18:41:39"
568499,"AJDT","UI","AJDT-inbox","NEW"," ---","Mark AJTemplateCompletionProcessor as not requiring UI thread","2020-11-03 10:38:17"
