"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
533652,"Acceleo","Core","accceleo-inbox","UNCONFIRMED"," ---","AQL : Reject services with unknown EPackage or automatically discover EPackage taht are used by registered services","2018-04-17 04:52:32"
533877,"Acceleo","User Interface","accceleo-inbox","UNCONFIRMED"," ---","Hints for oclAsType and similar functions doesn't work","2018-04-20 09:14:34"
543117,"Acceleo","Query Language","yvan.lussaud","UNCONFIRMED"," ---","Feature completion not working with dynamic EMF","2019-01-03 03:18:52"
530953,"Acceleo","Documentation","accceleo-inbox","NEW"," ---","Bad UML usage documentation","2018-06-07 16:04:49"
531399,"Acceleo","Core","accceleo-inbox","NEW"," ---","Error while generating text from user DSL defined using XText","2018-02-26 05:23:21"
531727,"Acceleo","User Interface","accceleo-inbox","NEW"," ---","NullPointerException with remote projects","2018-03-19 05:05:21"
533585,"Acceleo","Documentation","accceleo-inbox","NEW"," ---","Examples don't work","2019-02-02 04:39:18"
535665,"Acceleo","Core","accceleo-inbox","NEW"," ---","Diagnose unresolved proxies","2018-06-07 16:04:49"
539747,"Acceleo","Core","accceleo-inbox","NEW"," ---","The Acceleo features shouldn't ""include"" their dependencies","2019-03-26 11:47:10"
539992,"Acceleo","User Interface","accceleo-inbox","NEW"," ---","ClassCastException when showing Acceleo Interpreter View","2018-10-15 05:33:08"
544279,"Acceleo","Project Management","accceleo-inbox","NEW"," ---","Gerrit does not build with current platform","2019-02-18 09:10:01"
545620,"Acceleo","User Interface","accceleo-inbox","NEW"," ---","Sirius Interpreter view has no category","2019-03-26 09:04:36"
545963,"Acceleo","Core","accceleo-inbox","NEW"," ---","Cannot save *.mtl with overloads after edit using 3.7.7 or 3.7.8","2019-04-01 15:12:23"
553308,"Acceleo","Core","accceleo-inbox","NEW"," ---","Add Acceleo SDK to a simrel category","2019-11-25 03:35:17"
536724,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","Support for super-32 bit integers","2018-07-16 08:09:37"
537069,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","Primitive type management need adjustment","2018-07-16 08:02:52"
537285,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","We miss something to handle EEnum","2018-07-23 07:28:21"
538571,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","Empty stack exception when two or are following each other","2018-09-04 04:00:32"
542878,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","the not operator can't be called as a service","2018-12-18 03:35:46"
546034,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","Make feature access null traversal","2019-10-04 08:34:07"
561708,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","eAllContents() with filter fails on the root object generated from an XSD file.","2020-04-03 03:13:08"
561764,"Acceleo","Project Management","accceleo-inbox","RESOLVED","FIXED","Bad repos","2020-08-24 02:48:52"
529808,"Acceleo","Query Language","yvan.lussaud","RESOLVED","FIXED","[AQL] completion fails when typing part of the suffix EPackage name","2018-02-01 09:10:25"
530945,"Acceleo","Project Management","accceleo-inbox","CLOSED","INVALID","No DEveloper Resources in Simrel","2018-02-12 05:55:19"
530955,"Acceleo","Core","accceleo-inbox","CLOSED","WONTFIX","Bad input model validation","2018-02-12 04:36:32"
530956,"Acceleo","Core","accceleo-inbox","CLOSED","WONTFIX","Wrong URI in emtl for workspace metamodel","2018-02-12 06:12:35"
530957,"Acceleo","Core","accceleo-inbox","CLOSED","WONTFIX","Cannot run generator in Eclipse with dependency on another generator","2018-02-09 11:46:38"
531400,"Acceleo","Core","accceleo-inbox","CLOSED","DUPLICATE","Error while generating text from user DSL defined using XText","2018-02-26 05:07:03"
534584,"Acceleo","Core","accceleo-inbox","CLOSED","INVALID","substitute(String r, String t):String only substitutes first occurance","2018-05-22 03:42:56"
535661,"Acceleo","Core","accceleo-inbox","CLOSED","INVALID","Acceleo's claim to be J2SE1.6 is false","2018-07-18 07:50:25"
536531,"Acceleo","Project Management","accceleo-inbox","CLOSED","FIXED","Missing 3.7.3 release","2018-07-02 07:50:29"
536711,"Acceleo","Core","accceleo-inbox","CLOSED","FIXED","AcceleoService generates root elements not in context","2018-07-26 05:03:04"
540376,"Acceleo","Project Management","accceleo-inbox","CLOSED","FIXED","Oomph definition is outdated: targetplatform editor was moved","2019-02-18 10:04:23"
541497,"Acceleo","User Interface","accceleo-inbox","CLOSED","FIXED","for 3.7.2, no more AcceleoCompiler and AcceleoCompilerHelper no @deprecated Javadoc identifying a replacement functionality.","2019-02-18 09:56:53"
543026,"Acceleo","Core","accceleo-inbox","CLOSED","FIXED","Errors while loading /org/eclipse/acceleo/internal/ide/ui/generators/acceleoModule.emtl","2019-04-01 10:30:16"
543779,"Acceleo","Core","accceleo-inbox","CLOSED","WONTFIX","Indentation can produce unwanted new lines","2019-02-18 09:52:42"
544055,"Acceleo","Project Management","accceleo-inbox","CLOSED","FIXED","Downloads page is 404","2019-02-18 11:40:49"
544056,"Acceleo","Project Management","accceleo-inbox","CLOSED","INVALID","P2 repo is stale","2019-02-18 09:19:41"
545980,"Acceleo","Core","accceleo-inbox","CLOSED","INVALID","MTL parser corrupts non-UTF-8 characters.","2020-01-11 06:31:29"
546549,"Acceleo","Core","accceleo-inbox","CLOSED","FIXED","Template and query override is not working in 2019-03 release","2019-04-23 04:24:59"
548379,"Acceleo","Core","accceleo-inbox","CLOSED","FIXED","Installation problem with SimRel2019 ?","2019-06-24 13:35:15"
568943,"Acceleo","Core","accceleo-inbox","CLOSED","WONTFIX","Getting ""The type [...] is a proxy"" error when metamodel's nsURI does not start with 'http://'","2020-11-23 05:13:33"
