"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
534391,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Security Vulnerability Unsigned Jar","2018-06-04 15:27:30"
539031,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Missing maven artifact for BIRT runtime 4.8.0 (org.eclipse.birt.runtime)","2019-04-24 01:33:23"
539708,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Found vulnerable version of Apache Batik 1.6.0.","2018-10-02 11:02:26"
542614,"BIRT","Report Engine","Birt-Build-inbox","NEW"," ---","Generated Pdf ignores height set (and shown) in report Editor","2020-04-23 18:56:10"
546927,"BIRT","Build","Birt-Build-inbox","NEW"," ---","BIRT is not compatible on Eclipse Photon 4.8","2019-05-02 11:10:34"
547007,"BIRT","Build","Birt-Build-inbox","NEW"," ---","[SECURITY] HTTP Resolution of dependencies in build expose BIRT build to MITM attack compromise","2020-01-10 11:41:51"
548022,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Missing Git tags for version 4.8 and 4.9 at GitHub","2019-06-07 02:27:47"
551143,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Wrong Date is converted for the date on or before 01 Jan 1900","2019-09-17 01:06:46"
563600,"BIRT","Build","Birt-Build-inbox","NEW"," ---","org.eclipse.birt.runtime contains Slf4J implementation inside of its jar","2020-05-26 12:09:37"
529578,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Charts saved as PNG type blocked in Internet Explorer with ""nosniff""","2018-01-16 22:47:04"
532444,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","High CPU Usage (100 %) on org.eclipse.birt.chart","2018-04-02 13:17:01"
533853,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Dates are not shown correctly on X-axis when using a advance format pattern without a day","2018-04-20 04:30:32"
534498,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Charts not rendered, error","2018-05-09 06:18:11"
540121,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Chart output format defaulting to SVG regardless of browser compatibility","2018-10-15 01:22:03"
546628,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Infinate do while loop in birt charting library.","2019-04-22 11:20:53"
565034,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Can't use Aggregation Button when creating Chart","2020-07-08 00:13:48"
545797,"BIRT","Converters","Birt-Converter-inbox","NEW"," ---","Spudsoft XML Emitter ignore map list on crosstab cell","2019-03-26 10:42:15"
530087,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Data Set result is empty after each change on sql statement","2018-01-21 00:32:08"
531267,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Memory Leak in Statement.java file for resultset getting exception and outofmemory issue on production","2018-02-19 02:06:59"
534256,"BIRT","Data","Birt-Data-inbox","NEW"," ---","birt report is loading Very slow after modify the report","2018-05-02 08:19:14"
535063,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Cell is empty when aggregated field is null","2018-05-24 06:31:51"
538721,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Memory leak due to Timer in CacheIDFetcher","2018-09-06 07:19:43"
539347,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Nested tables dataset2 beforeOpen() method not updating/iterating query text value","2018-09-23 02:45:04"
543864,"BIRT","Data","Birt-Data-inbox","NEW"," ---","we are not able to set data set execution order.","2019-01-26 22:27:22"
543865,"BIRT","Data","Birt-Data-inbox","NEW"," ---","When we are getting more than 1 lac record from data set report not preparing. and not getting result","2019-01-26 22:33:18"
558847,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Adding a date filter to dataset causes server to lag and error out","2020-01-07 13:33:26"
559649,"BIRT","Data","Birt-Data-inbox","NEW"," ---","Error when creating Data Set","2020-05-13 06:10:30"
532764,"BIRT","Data Access","Birt-DataAccess-inbox","NEW"," ---","Unable to open connection BIRT DB2 SSL connection","2018-03-22 09:18:14"
533789,"BIRT","Data Access","Birt-DataAccess-inbox","NEW"," ---","metadata query for each stored procedure","2018-04-18 16:26:46"
534043,"BIRT","Data Access","Birt-DataAccess-inbox","NEW"," ---","BIRT query is executed twice","2018-04-25 10:07:42"
