"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
554694,"Capella","Diagram","ali.akar82","NEW"," ---","DiagramServices#getEdgeMapping(DiagramDescription, String) return null","2018-07-02 08:29:34"
555176,"Capella","Properties","ali.akar82","NEW"," ---","Some controllers in section fields are not able to find business query","2019-02-18 01:50:14"
553856,"Capella","Core","capella-inbox","NEW"," ---","Fluent allocation API","2019-12-06 04:09:02"
553857,"Capella","Diagram","capella-inbox","NEW"," ---","Undo of State creation on MSM diagrams fail if state grandparent is a StateMachine.","2019-12-06 11:01:03"
553874,"Capella","Core","capella-inbox","NEW"," ---","DataNotifier should be transactional","2019-12-06 11:04:48"
553962,"Capella","Capella Studio","capella-inbox","NEW"," ---","Add documentation feature","2018-02-09 06:02:23"
553964,"Capella","Capella Studio","capella-inbox","NEW"," ---","Constraint traceability in the semantic browser","2018-03-14 05:23:36"
553965,"Capella","Capella Studio","capella-inbox","NEW"," ---","Complete embedded documentation of Capella Studio","2018-05-04 07:56:54"
553969,"Capella","Capella Studio","capella-inbox","NEW"," ---","Technical Debt issues","2018-12-07 08:11:21"
553977,"Capella","Capella Studio","capella-inbox","NEW"," ---","[vpDSL] Add a new target application: CDO for Capella","2019-09-12 09:27:24"
553978,"Capella","Capella Studio","capella-inbox","NEW"," ---","Add documentation","2019-09-12 09:27:19"
553980,"Capella","GenDoc HTML","capella-inbox","NEW"," ---","Capella - [XHTMLDocGen] static character encoding for the generated pages","2020-11-03 05:30:57"
553981,"Capella","Rec-Rpl","capella-inbox","NEW"," ---","Instantiate RPL only works once on Linux","2020-11-03 05:28:49"
553983,"Capella","Capella Studio","capella-inbox","NEW"," ---","SVG images in the Help section are sometimes not displayed","2019-10-01 04:26:33"
554296,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set exchange items on multiple component ports at once, then that exchange item is set for every selected port","2018-01-04 03:44:46"
554297,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set exchange items on multiple component exchange at once, then that exchange item is set for every selected exchange","2018-01-04 03:46:49"
554298,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set exchange items on multiple functional ports at once, then that exchange item is set for every selected port","2018-01-04 03:48:25"
554299,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set exchange items on multiple functional exchanges at once, then that exchange item is set for every selected exchange","2018-01-04 03:50:30"
554300,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set realization on multiple component ports at once, then that realization is set for every selected port","2018-01-04 03:51:55"
554301,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set realization on multiple component exchanges at once, then that realization is set for every selected exchange","2018-01-04 03:53:07"
554302,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set realization on multiple functional ports at once, then that realization is set for every selected port","2018-01-04 09:46:15"
554303,"Capella","Core","capella-inbox","NEW"," ---","As a physical layer specifier, when I try to set realization on multiple functional exchange at once, then that realization is set for every selected exchange","2018-01-04 03:55:27"
554304,"Capella","Core","capella-inbox","NEW"," ---","Given a Function specifier, when I want to select a FP realization, then I want to have upper realized function ports proposed in priority","2018-01-04 05:51:56"
554309,"Capella","Core","capella-inbox","NEW"," ---","CreationService should only set name if current name is null","2018-01-31 09:38:56"
554313,"Capella","Core","capella-inbox","NEW"," ---","Progress Monitoring > Set Progress at top-level ... corrupts the library / project","2018-02-14 12:09:22"
554315,"Capella","Core","capella-inbox","NEW"," ---","Move Components and Parts together between containers","2018-02-25 09:29:56"
554316,"Capella","Core","capella-inbox","NEW"," ---","The same ordering for components\parts in SingletonComponents projects","2018-02-25 09:49:39"
554321,"Capella","Core","capella-inbox","NEW"," ---","Spaces in fragmented file URIs are displayed as %20","2018-03-15 05:06:18"
554347,"Capella","Core","capella-inbox","NEW"," ---","BusinessQueriesProvider returns null for valid EClass","2018-07-23 11:00:31"
554381,"Capella","Core","capella-inbox","NEW"," ---","Saving popup migration not shown when opening sessionfrom Capella project explorer","2018-10-25 03:59:44"
554384,"Capella","Core","capella-inbox","NEW"," ---","New ""ConstraintElement"" is hidden in unsynchronized PAB diagram","2018-11-06 07:16:55"
