"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
547551,"Che","General","che-inbox","UNCONFIRMED"," ---","Cannot import project from zip file","2019-05-22 08:33:48"
561463,"Che","General","che-inbox","UNCONFIRMED"," ---","Update Eclipse Che logo update","2020-04-01 06:45:38"
547573,"Che","plugin-git","vparfono","UNCONFIRMED"," ---","Feature to generate and upload key to github not working","2019-05-24 11:02:55"
561836,"Che","General","vparfono","UNCONFIRMED"," ---","The ws /service endpoint is vulnerable to a cross-site websocket hijack leading to RCE","2020-04-13 09:08:38"
533196,"Che","General","apupier","NEW"," ---","Camel LSP support is broken due to move of Camel artefacts","2018-04-04 05:34:01"
549867,"Che","General","che-inbox","NEW"," ---","Che Plugin Broker, impossible to download vsix plugins in https","2019-08-08 03:20:51"
553235,"Che","General","che-inbox","NEW"," ---","Download button returns a 404","2019-11-19 17:54:14"
559557,"Che","General","che-inbox","NEW"," ---","Che downloads page has broken link","2020-01-27 09:11:03"
551267,"Che","General","che-inbox","RESOLVED","FIXED","Move che vserver to the eclipseprojects.io domain","2020-12-08 16:15:54"
551596,"Che","General","che-inbox","RESOLVED","FIXED","Remote Code Execution Vulnerability in Web Interface","2019-12-19 12:03:44"
559762,"Che","General","che-inbox","RESOLVED","FIXED","Eclipse Che download: Error 404","2020-04-01 06:43:47"
543175,"Che","commons","vparfono","RESOLVED","FIXED","Disable TODO bot for Eclipse Che repositories","2019-08-16 14:51:09"
