"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
531290,"Data Tools","Connectivity","dtp.connectivity-inbox","NEW"," ---","The JDBC driver drop down list in the New Connection wizard is wiped when import preferences","2018-06-14 01:04:31"
533255,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","NUMBER FORMAT EXCEPTION when Auto activation delay field is entered with characters in Code Assist ,SQL Development","2018-04-05 07:47:57"
534490,"Data Tools","Data Source Explorer","dtp.connectivity-inbox","NEW"," ---","Strange symbols in SQL query built from SQL execute Tab results","2020-03-31 07:49:15"
536779,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","JavaDoc is missing from https://help.eclipse.org/[oxygen|photon]/...","2018-07-22 05:26:29"
536869,"Data Tools","Data Source Explorer","dtp.connectivity-inbox","NEW"," ---","Oracle Connection Properties: SERVICE_NAME with error in URL","2019-04-26 13:20:20"
536955,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","? displayed in place of few Japanese characters when a long query is pasted on Scrapbook","2018-07-12 08:38:42"
537276,"Data Tools","Connectivity","dtp.connectivity-inbox","NEW"," ---","Creating two connections","2018-07-23 04:56:52"
537277,"Data Tools","Connectivity","dtp.connectivity-inbox","NEW"," ---","Creating two connections","2018-10-23 14:59:38"
539912,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","Download Link ist unavailable","2018-10-24 13:00:24"
539988,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","Missing Files in the Bundle causing exception","2018-10-10 05:32:03"
540457,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","connection profiles with & in password are breaking the XML parsing.","2018-10-25 04:56:00"
543147,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","Weirdly formatted welcome page","2019-01-03 07:50:42"
543942,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","Error opening SQL files in SQL editor (DTP)","2019-01-29 09:55:53"
545244,"Data Tools","Data Source Explorer","dtp.connectivity-inbox","NEW"," ---","No tables are shown in MARIADB schemas explorer","2019-03-26 06:52:58"
547220,"Data Tools","JDBC Conn Profile","dtp.connectivity-inbox","NEW"," ---","database passwordless login enablement","2019-05-13 09:07:20"
549445,"Data Tools","Data Source Explorer","dtp.connectivity-inbox","NEW"," ---","Data source explorer showing column names duplicated","2019-07-20 20:52:23"
561407,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","Old version of org.apache.lucene.core is referred to by org.apache.lucene.queryparser","2020-05-08 16:53:52"
563198,"Data Tools","Docs","dtp.connectivity-inbox","NEW"," ---","Missing JavaDoc for Data Tools API Reference","2020-05-15 03:39:10"
567990,"Data Tools","Data Source Explorer","dtp.connectivity-inbox","NEW"," ---","Connecting to oracle enterprise 11 from eclipse with Service Name Error: ping faild","2020-10-19 05:28:58"
569305,"Data Tools","DataTools","dtp.connectivity-inbox","NEW"," ---","DTP Master build","2020-11-30 21:59:42"
534442,"Data Tools","releng","dtp.enablement-inbox","NEW"," ---","Remove tests that consistently fail or error so we can get a green build again","2018-05-07 12:21:00"
542953,"Data Tools","releng","dtp.enablement-inbox","NEW"," ---","Can not download DTP 1.14.x","2018-12-21 14:34:02"
545397,"Data Tools","releng","dtp.enablement-inbox","NEW"," ---","Update Data Tools to Lucene 8.0","2019-03-14 07:17:14"
553805,"Data Tools","releng","dtp.enablement-inbox","NEW"," ---","Cleanup old update sites","2019-12-05 05:14:32"
566138,"Data Tools","Enablement","dtp.enablement-inbox","NEW"," ---","Add support for Oracle 19","2020-11-23 11:53:03"
569181,"Data Tools","releng","dtp.enablement-inbox","NEW"," ---","datatools repo does not provide net.sourceforge.lpg.lpgjavaruntime dependency","2020-11-26 03:47:40"
530245,"Data Tools","SQL Editor Framework","dtp.sqldevtools-inbox","NEW"," ---","ERROR when opening external SQL file","2020-07-08 09:41:06"
536970,"Data Tools","SQL Results View","dtp.sqldevtools-inbox","NEW"," ---","Could not open the DTP SQL Results view","2019-01-04 08:43:28"
547771,"Data Tools","SQLDevTools","dtp.sqldevtools-inbox","NEW"," ---","Could not resolve module org.eclipse.datatools.sqltools.result","2019-05-29 17:55:39"
548623,"Data Tools","SQL Editor Framework","dtp.sqldevtools-inbox","NEW"," ---","When Multiple Comment start and end tags are present in SQL Scrapbook Editor, the rest of query is also considering as comment after the end tag if number of end tags does not match.","2019-06-25 07:33:59"
548975,"Data Tools","SQL Results View","dtp.sqldevtools-inbox","NEW"," ---","Datatype SQLXML not displayed correctly in SQL Results","2019-07-04 08:14:18"
564209,"Data Tools","SQL Editor Framework","dtp.sqldevtools-inbox","NEW"," ---","Split SQLEditor panes are not synchronized","2020-06-11 09:21:32"
