"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
541847,"EEF","User Interface","eef-inbox","UNCONFIRMED"," ---","EEFRuntimeUIMessages does not translate EMFModelViewerDialog_name_column_title to English","2018-12-03 08:29:24"
543828,"EEF","Core","eef-inbox","UNCONFIRMED"," ---","[Legacy] NPE in org.eclipse.emf.eef.runtime.part.impl.SectionPropertiesEditingPart#getDescriptor","2019-01-29 04:16:02"
548199,"EEF","User Interface","eef-inbox","UNCONFIRMED"," ---","Auto focus changed to the first text field on the composite","2019-06-13 02:56:36"
530944,"EEF","Core","eef-inbox","NEW"," ---","SWTException: Model Change During Edition popup appears for a non-collaborative model","2018-06-18 08:31:44"
533453,"EEF","User Interface","eef-inbox","NEW"," ---","Alignment problem for group title","2018-04-11 04:08:26"
533483,"EEF","Core","eef-inbox","NEW"," ---","Synchronize our fork of org.eclipse.ui.views.properties.tabbed with latest changes","2018-04-12 02:57:38"
539013,"EEF","Core","eef-inbox","NEW"," ---","It would be nice to have an else in the if construct","2018-09-13 04:52:21"
550436,"EEF","User Interface","eef-inbox","NEW"," ---","Legacy tabs: processing afterTab elements leads to wrong order","2020-01-14 08:41:47"
566252,"EEF","User Interface","eef-inbox","NEW"," ---","Properties labels not displaying correctly","2020-08-27 03:33:05"
531547,"EEF","Core","eef-inbox","RESOLVED","FIXED","Unable to hide Sirius' legacy tabs for a specific representation","2018-10-11 03:05:43"
537506,"EEF","User Interface","eef-inbox","RESOLVED","FIXED","Sections are displayed in tabs without regarding to their contributors","2018-09-26 04:20:23"
537577,"EEF","User Interface","eef-inbox","RESOLVED","FIXED","Sections are not sorted (afterSection is not taken into account)","2018-09-26 04:20:50"
539718,"EEF","User Interface","eef-inbox","RESOLVED","FIXED","The selection in the reference widget does not move with item when using Up/Down Action","2019-01-31 04:24:48"
530391,"EEF","User Interface","laurent.fasani","VERIFIED","FIXED","Issue with the update of the style of text widgets","2018-01-31 10:08:34"
530181,"EEF","User Interface","pierre-charles.david","VERIFIED","FIXED","Eclipse freezes when selecting a ""Select"" widget after editing a ""Text"" widget in properties view","2018-02-02 11:24:51"
