"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529483,"EGit","Core","egit.core-inbox","NEW"," ---","Support storing of credentials per repository or per user instead of per host","2018-01-13 16:19:06"
530715,"EGit","Core","egit.core-inbox","NEW"," ---","java.lang.NoClassDefFoundError: org/eclipse/team/core/RepositoryProvider","2018-02-05 06:35:08"
532375,"EGit","Core","egit.core-inbox","NEW"," ---","Renaming a git project is broken","2018-03-13 03:59:04"
532462,"EGit","Core","egit.core-inbox","NEW"," ---","Add filtering on author and merge commits to git history view","2018-03-14 13:57:28"
533875,"EGit","Core","egit.core-inbox","NEW"," ---","When editing a conflict make it more obvious which side is which","2018-04-20 09:05:15"
537288,"EGit","Core","egit.core-inbox","NEW"," ---","Git Synchronize freezes","2018-07-25 09:53:35"
538549,"EGit","Core","egit.core-inbox","NEW"," ---","No branches shown for a shallow repositiry","2018-09-03 08:53:25"
538938,"EGit","Core","egit.core-inbox","NEW"," ---","Commit from ""Synchronize"" perspective does not stage ""outgoing additions""","2018-09-17 12:17:34"
539184,"EGit","Core","egit.core-inbox","NEW"," ---","missing history when follow renames","2018-09-18 05:59:05"
540231,"EGit","Core","egit.core-inbox","NEW"," ---","[releng] Discussion: Generify adapters","2018-10-18 17:48:06"
540587,"EGit","Core","egit.core-inbox","NEW"," ---","compare with branch does not follow renames","2018-10-29 18:26:02"
541115,"EGit","Core","egit.core-inbox","NEW"," ---","git operations should not wait for builds to complete","2019-02-28 08:04:23"
541120,"EGit","Core","egit.core-inbox","NEW"," ---","cannot open renamed file from history","2020-06-20 09:46:43"
541124,"EGit","Core","egit.core-inbox","NEW"," ---","IndexDiffCacheTest unstable","2018-11-22 06:19:18"
541233,"EGit","Core","egit.core-inbox","NEW"," ---","Parallel pull leads to half checked out commits","2018-12-29 10:45:17"
541394,"EGit","Core","egit.core-inbox","NEW"," ---","Push to Atlassian Bitbucket Smart Mirror fails","2018-11-21 05:58:47"
542506,"EGit","Core","egit.core-inbox","NEW"," ---","eGit looses origin configuration on cloned repository","2018-12-11 17:41:52"
543041,"EGit","Core","egit.core-inbox","NEW"," ---","Use https for all eclipse links","2019-08-30 07:13:33"
543071,"EGit","Core","egit.core-inbox","NEW"," ---","Existing projects not connected to Git","2019-06-01 06:38:36"
544589,"EGit","UI","egit.core-inbox","NEW"," ---","Help context missing in EGit ""Git Repositories"" View","2019-02-19 11:03:47"
544769,"EGit","Core","egit.core-inbox","NEW"," ---","Cloning: listing branches does not honor URI rewrites from user or system config","2019-02-25 08:01:40"
544791,"EGit","Core","egit.core-inbox","NEW"," ---","Create a branch of the same name on multiple repositories","2019-02-25 13:25:28"
544982,"EGit","Core","egit.core-inbox","NEW"," ---","NullPointerException in ObjectId.isId","2019-03-11 12:16:53"
545215,"EGit","Core","egit.core-inbox","NEW"," ---","setParentRewrite(false) to speed up getConflictCommits()?","2019-03-13 06:44:05"
546003,"EGit","Core","egit.core-inbox","NEW"," ---","Cannot apply stashed commit on a repository with state: REBASING_INTERACTIVE","2019-04-01 09:15:39"
546566,"EGit","Core","egit.core-inbox","NEW"," ---","native pre-push hook called with REMOTE-LOCATION REMOTE-LOCATION instead of REMOTE-NAME REMOTE-LOCATION","2019-05-02 16:32:11"
547150,"EGit","Core","egit.core-inbox","NEW"," ---","Git asks for user credentials again and again and fails to authorise (HTTPS; Microsoft TFS)","2020-08-17 07:23:56"
547405,"EGit","Core","egit.core-inbox","NEW"," ---","TFS Azure Devops not connect EGit","2020-10-05 19:37:21"
547789,"EGit","Core","egit.core-inbox","NEW"," ---","Unable to find a GPG key for signing","2019-06-01 09:12:52"
548678,"EGit","Core","egit.core-inbox","NEW"," ---","EGit does not cache passphrases with Apache Mina sshd","2019-06-28 10:38:10"
550144,"EGit","Core","egit.core-inbox","NEW"," ---","Resource already exists on disk error in the log","2019-08-20 09:12:34"
550430,"EGit","Core","egit.core-inbox","NEW"," ---","Feature request: add quick link to ""Compare with > branch_from_which_the_current_branch_originates""","2019-09-05 08:31:20"
550730,"EGit","Core","egit.core-inbox","NEW"," ---","Provide the ability to force the creation of a branch even if it already exists (git branch --force <branchname>)","2019-09-05 05:04:00"
553221,"EGit","Core","egit.core-inbox","NEW"," ---","Automatic push to wrong Gerrit branch on manual merge commit","2019-11-20 15:21:08"
553428,"EGit","Core","egit.core-inbox","NEW"," ---","Message for post commit hook is misleading","2020-09-14 03:08:55"
553429,"EGit","Core","egit.core-inbox","NEW"," ---","Message for pre push hook is not nice","2019-11-26 14:28:32"
553465,"EGit","Core","egit.core-inbox","NEW"," ---","""Synchronize workspace"" is not displayed at working set level","2019-11-26 04:27:34"
558629,"EGit","Core","egit.core-inbox","NEW"," ---","EGIT 5.6.1 Hook validation message is empty during EGIT pop-up warning","2019-12-26 09:23:09"
559745,"EGit","Core","egit.core-inbox","NEW"," ---","Rebase Operation deletes project from workspace","2020-01-31 07:32:40"
560015,"EGit","Core","egit.core-inbox","NEW"," ---","egit provides duplicate content type for patches","2020-04-06 03:33:57"
560320,"EGit","Core","egit.core-inbox","NEW"," ---","""typechange"" in submodule disables decorators and staging","2020-02-19 10:00:09"
560412,"EGit","Core","egit.core-inbox","NEW"," ---","EGit core activator doing too much","2020-05-22 08:57:03"
560748,"EGit","UI","egit.core-inbox","NEW"," ---","[feature] Support for hiding untrack files in staging view","2020-03-04 14:42:24"
561058,"EGit","Core","egit.core-inbox","NEW"," ---","Missing signing key (after previously working)","2020-03-12 09:17:23"
561384,"EGit","Core","egit.core-inbox","NEW"," ---","EGit loops adding to .gitignore (regression of 421610)","2020-11-07 19:04:23"
561397,"EGit","Core","egit.core-inbox","NEW"," ---","Unable to clone repository containing LFS files","2020-03-24 19:05:37"
562602,"EGit","Core","egit.core-inbox","NEW"," ---","disable rebuild during rebase interactive/reword","2020-12-08 18:35:10"
562607,"EGit","Core","egit.core-inbox","NEW"," ---","Conflict resolution in Eclipse NEVER works! Since years! :-( PLEASE fix this!","2020-04-30 16:36:22"
563554,"EGit","Core","egit.core-inbox","NEW"," ---","Add support to ignore whitespace changes in revision information","2020-05-26 05:09:16"
564262,"EGit","Core","egit.core-inbox","NEW"," ---","Building a project gives OutOfMemoryError if project's grandparent directory is a git repo","2020-06-12 17:38:14"
564476,"EGit","Core","egit.core-inbox","NEW"," ---","Unable to install eGit from the Marketplace on MacOS prior to 2020-06 (missing org.assertj dep)","2020-06-19 10:11:32"
564918,"EGit","Core","egit.core-inbox","NEW"," ---","Help window font sizes are terribly broken","2020-07-04 09:08:02"
564938,"EGit","Core","egit.core-inbox","NEW"," ---","git gc --auto","2020-07-05 14:49:21"
566707,"EGit","Core","egit.core-inbox","NEW"," ---","Rename commit omits 'concurrent' edits","2020-09-07 01:00:50"
567133,"EGit","Core","egit.core-inbox","NEW"," ---","Cherry-pick conflict cannot continue","2020-09-27 10:56:28"
568674,"EGit","Core","egit.core-inbox","NEW"," ---","Pull single file in Synchronize-View","2020-11-11 08:12:17"
568772,"EGit","Core","egit.core-inbox","NEW"," ---","Newly imported eclipse project is marked as dirty but no real change","2020-11-13 10:12:23"
568955,"EGit","Core","egit.core-inbox","NEW"," ---","Git clone or commit reports symlinks permanently as modified","2020-11-25 05:05:59"
569504,"EGit","Core","egit.core-inbox","NEW"," ---","hint what to do next upon failed pull","2020-12-06 06:58:57"
569532,"EGit","Core","egit.core-inbox","NEW"," ---","rebase result dialog freezes Eclipse while build is in progress","2020-12-08 18:35:09"
537453,"EGit","GitHub","egit.github-inbox","NEW"," ---","EGit fails to delete remote branches.","2018-07-28 12:37:44"
540199,"EGit","GitHub","egit.github-inbox","NEW"," ---","Different repos with different username cause password prompt every time","2020-11-01 16:54:52"
548915,"EGit","GitHub","egit.github-inbox","NEW"," ---","Push to upstream does not consider the branch configuration","2019-07-03 10:23:45"
559856,"EGit","GitHub","egit.github-inbox","NEW"," ---","allow to merge across github projects","2020-02-11 16:26:56"
561656,"EGit","GitHub","egit.github-inbox","NEW"," ---","CommitComment has default line 0 which now causes request failure","2020-04-04 10:28:07"
562067,"EGit","GitHub","egit.github-inbox","NEW"," ---","No support for committing changes to a file in a repository","2020-04-14 03:57:08"
562278,"EGit","GitHub","egit.github-inbox","NEW"," ---","Add support for repository invitations API","2020-04-17 19:44:37"
566141,"EGit","GitHub","egit.github-inbox","NEW"," ---","Labels do not stick to a task created using Mylyn GitHub connector.","2020-10-24 18:14:24"
538920,"EGit","Mylyn","egit.mylyn-inbox","NEW"," ---","An exception occurred during push on URI .......: Invalid channel 101","2018-09-11 06:13:58"
562482,"EGit","Mylyn","egit.mylyn-inbox","NEW"," ---","Ensure EGit installs out-of-the-box on EPPs without mylyn","2020-06-08 15:01:46"
536543,"EGit","Releng","egit.releng-inbox","NEW"," ---","PushTest is unstable","2018-11-11 03:11:12"
