"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
536536,"EMF Services","General","emfservices-inbox","NEW"," ---","Missing Photon releases","2020-02-08 15:03:34"
559798,"EMF Services","General","emfservices-inbox","NEW"," ---","Move to Java 8 as minimal Java version","2020-02-03 15:37:13"
538166,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","FilterManager can produce ConcurrentModificationException with StereotypeNotificationFilter","2018-08-22 10:37:28"
539341,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Missing 1.12.0 download","2020-02-08 15:03:10"
532213,"EMF Services","General","pierre-charles.david","NEW"," ---","Please provide ""latest"" composites for update sites or at least clean them up","2020-02-08 15:05:13"
551164,"EMF Services","Transaction","pierre-charles.david","NEW"," ---","WorkspaceCommandStack.isSaveNeeded() does not consider AbstractCommand.NonDirtying","2020-02-08 15:23:04"
545313,"EMF Services","Transaction","emfservices.transaction-inbox","REOPENED"," ---","WorkspaceCommandStackImpl method isSaveNeeded should not return true when all commands have been undone and a save is done","2020-02-08 08:25:00"
552962,"EMF Services","General","emfservices-inbox","RESOLVED","FIXED","Bad index files","2020-05-01 10:53:44"
559767,"EMF Services","General","emfservices-inbox","RESOLVED","FIXED","Build and run tests against multiple target platforms","2020-02-08 07:22:24"
559080,"EMF Services","Transaction","emfservices.transaction-inbox","RESOLVED","FIXED","Switch to EPL 2.0","2020-01-13 15:19:19"
559528,"EMF Services","Transaction","emfservices.transaction-inbox","RESOLVED","FIXED","Remove EMF Query from the EMF Transaction SDK feature","2020-01-24 13:43:04"
558997,"EMF Services","Validation","emfservices.validation-inbox","RESOLVED","FIXED","Switch to EPL 2.0","2020-01-13 15:18:15"
564601,"EMF Services","Validation","emfservices.validation-inbox","CLOSED","INVALID","Batch validation incorrectly recomputes client context and the validation does not work properly","2020-06-24 11:32:28"
