"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
533969,"EMF.EGF","Core","egf-inbox","NEW"," ---","Move to tycho","2018-05-14 08:28:37"
547946,"EMF.EGF","Core","egf-inbox","NEW"," ---","Update emf pattern for 2019-06","2019-06-05 09:36:07"
551695,"EMF.EGF","Core","egf-inbox","NEW"," ---","Fix endline encoding in all repository files","2019-10-04 04:16:52"
551700,"EMF.EGF","Core","egf-inbox","NEW"," ---","Fix packaging issues","2019-10-08 08:18:03"
551710,"EMF.EGF","Core","egf-inbox","NEW"," ---","Move to 2019-09","2019-10-03 04:10:40"
533423,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","[genchain] Add support for cdo generator","2018-05-23 03:12:25"
533536,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","[CDO] refactor generator","2018-05-23 03:12:16"
533707,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","Error with ""reverse codegen"" action","2018-05-23 03:12:05"
533741,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","Add support for photon","2018-05-23 03:11:55"
534136,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","update version to 1.6.0","2018-05-23 03:11:42"
538969,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","release 1.6.0 for oxygen","2018-09-12 05:11:17"
551548,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","Fix bad EPL/SUA 2.0 in all feature.properties","2019-10-12 01:13:32"
553463,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","Move to 2019-12","2019-12-02 11:52:42"
558729,"EMF.EGF","Core","egf-inbox","RESOLVED","FIXED","Backport emf fix into 2019-06","2020-11-03 08:29:19"
533933,"EMF.EGF","Core","egf-inbox","CLOSED","FIXED","Update version to 1.5.1","2018-04-24 10:38:08"
