"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
538697,"EMFCompare","Core","emf.compare-inbox","UNCONFIRMED"," ---","ClassCastException in FeatureMapChangeMerger when FeatureMap.Enry<EStructuralFeature, Boolean> should be removed","2019-03-04 11:21:21"
542959,"EMFCompare","Core","emf.compare-inbox","UNCONFIRMED"," ---","Error when doing SVN compare (from synchronize window) on oomph setup file","2019-02-18 04:06:22"
543707,"EMFCompare","Diagram","emf.compare-inbox","UNCONFIRMED"," ---","[Sirius] Applicability of DiffAccessorFactory/MatchAccessorFactory not specific enough","2019-02-18 04:15:19"
559769,"EMFCompare","Core","emf.compare-inbox","UNCONFIRMED"," ---","DefaultMatchEngine#createResourceMatcher() referenced in doc is deprecated","2020-02-02 13:55:32"
562708,"EMFCompare","Core","emf.compare-inbox","UNCONFIRMED"," ---","IllegalStateException when running Batchmerger.copyAllLeftToRight on two UML models","2020-05-04 07:45:55"
564658,"EMFCompare","Diagram","emf.compare-inbox","UNCONFIRMED"," ---","Export diagram comparison as image file","2020-07-01 10:30:37"
564680,"EMFCompare","Diagram","emf.compare-inbox","UNCONFIRMED"," ---","Diagrams disappear when merging the deletion of Sirius elements","2020-07-01 11:06:19"
532231,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","Potential NPE on the title builder","2018-03-09 06:02:54"
532398,"EMFCompare","Diagram","emf.compare-inbox","NEW"," ---","The Sirius technical elements filter needs to be revised","2018-03-13 09:25:13"
532437,"EMFCompare","Team","emf.compare-inbox","NEW"," ---","Improve Default Model Inclusion Strategy","2018-03-14 06:56:13"
532438,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","Add UI actions to merge all differences at once by getting a side's version","2018-03-16 04:51:12"
532484,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","The EMF Compare UI should allow proxy resolution","2018-03-19 05:52:14"
534250,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","EMF Compare may not needs to handle Ecore XMI Content Type","2018-05-02 05:34:56"
539378,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","Allow intramodel merge in XMI","2018-09-24 08:14:29"
542079,"EMFCompare","Team","emf.compare-inbox","NEW"," ---","Git tests failing","2018-12-04 04:14:54"
545187,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","Insufficient support for add-add conflict resolution","2019-09-09 07:29:49"
547546,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","Saving when the properties CMV is displayed doesn't work","2019-05-22 05:14:37"
549478,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","EMF Compare Oomph setup contains non existing update site","2019-09-11 09:06:49"
552997,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","EMF Compare doesn't display a content merge viewer for comparisons with only added/deleted files","2019-11-13 08:36:14"
558505,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","NPE in EMFCompareConfiguration on UI disposal","2020-01-14 11:04:25"
559633,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","NPE on git merge","2020-02-03 08:50:45"
564765,"EMFCompare","UI","emf.compare-inbox","NEW"," ---","MergeAction is disabled in content viewer","2020-08-24 02:46:57"
568373,"EMFCompare","Core","emf.compare-inbox","NEW"," ---","IllegalStateException in ReferenceChangeMerger: Couldn't add in target because its parent hasn't been merged yet","2020-11-10 11:06:49"
529882,"EMFCompare","Diagram","cletavernier","ASSIGNED"," ---","Allow users to specify the zoom level of diagrams and synchronize the zoom leven","2018-05-01 08:15:50"
530250,"EMFCompare","Team","emf.compare-inbox","RESOLVED","FIXED","RecursiveModelMerger should handle git attributes like RecursiveMerger from Jgit","2018-01-25 08:15:48"
534038,"EMFCompare","Team","emf.compare-inbox","RESOLVED","WORKSFORME","Conflicts on a model cannot be resolved with EGit","2018-06-21 07:02:15"
546023,"EMFCompare","Core","emf.compare-inbox","RESOLVED","FIXED","IMerger.RegistryImpl.remove() does not work due to IllegalArgumentException","2019-04-03 08:39:15"
551217,"EMFCompare","UI","emf.compare-inbox","RESOLVED","FIXED","NPE in AdapterFactoryContentProvider.getPropertySource() when opening model compare","2019-09-19 21:16:27"
529438,"EMFCompare","UI","emf.compare-inbox","CLOSED","FIXED","Memory leak due to non disposed menu action DropDownMergeMenuAction","2018-01-05 03:10:41"
530392,"EMFCompare","UI","emf.compare-inbox","CLOSED","DUPLICATE","Icon for SwitchLeftAndRight button missing","2018-01-29 07:59:35"
532069,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","Invalid logical model when using ""Team > Synchronize workspace""","2018-03-13 04:04:04"
532158,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","NPE trying to show a CMV on matches if the underlying element's item provider returns a ""null"" name","2018-03-13 04:25:47"
532477,"EMFCompare","UI","emf.compare-inbox","CLOSED","FIXED","Add a Structure viewer action to reveal all differences conflicting with the currently selected","2018-03-16 05:01:21"
533467,"EMFCompare","Diagram","emf.compare-inbox","CLOSED","FIXED","[Sirius] Wrong computation of differences when comparing with creation of new diagrams","2018-04-11 11:07:47"
533486,"EMFCompare","Core","emf.compare-inbox","CLOSED","FIXED","Test on content types is do not handle all cases","2018-04-12 04:51:41"
534365,"EMFCompare","Team","emf.compare-inbox","CLOSED","FIXED","EMF Compare should handle binary git attribute properly","2018-06-05 06:35:51"
535200,"EMFCompare","Team","emf.compare-inbox","CLOSED","FIXED","Merging two branches raiseq a 'Duplicate stages not allowed' error","2018-07-18 05:20:43"
536032,"EMFCompare","UI","emf.compare-inbox","CLOSED","WORKSFORME","Eclipse deadlock while replacing GIT files with head.","2018-06-20 05:44:21"
536046,"EMFCompare","UI","emf.compare-inbox","CLOSED","WONTFIX","Inconsistent branding","2018-06-19 11:33:25"
541730,"EMFCompare","UI","emf.compare-inbox","CLOSED","FIXED","UI Freeze when using compare dialog","2018-11-30 04:51:43"
543169,"EMFCompare","Core","emf.compare-inbox","CLOSED","INVALID","Migrate Eclipse EMF compare module from 1.1 to 3.3","2019-02-26 03:24:40"
