"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
534960,"EMFT.Henshin","Codegen","henshin.ck","NEW"," ---","nightly-build p2 repo contains org.eclipse.gmf.tooling.runtime 3.2.0.201502182128","2018-05-22 12:43:52"
537256,"EMFT.Henshin","Interpreter","henshin.ck","NEW"," ---","No error when IN/INOUT parameter is not set","2018-08-15 05:41:25"
537424,"EMFT.Henshin","Interpreter","henshin.ck","NEW"," ---","ParameterKinds IN & VAR readable after Unit application","2018-08-15 05:36:13"
537621,"EMFT.Henshin","Interpreter","henshin.ck","NEW"," ---","Different Rule application behaviour with Wizard and API","2018-10-02 19:20:54"
548752,"EMFT.Henshin","Core","henshin.ck","NEW"," ---","Sign Henshin JARs","2019-06-28 08:07:54"
549397,"EMFT.Henshin","Interpreter","henshin.ck","NEW"," ---","Dependency on UI plugins","2019-07-18 11:33:23"
561126,"EMFT.Henshin","Core","henshin.ck","NEW"," ---","ACAndSubruleUpdate","2020-03-15 05:04:31"
560373,"EMFT.Henshin","Interpreter","schulzs","NEW"," ---","VariabilityAwareEngine detects incorrect matches when a VariabilityRule is passed as an argument","2020-03-05 20:14:28"
564409,"EMFT.Henshin","UI","schulzs","NEW"," ---","""Apply transformation"" menu entry sometimes not displayed","2020-06-18 06:07:19"
567774,"EMFT.Henshin","UI","strueber","NEW"," ---","Henshin Diagram indicates error when Enum Literal is used","2020-10-10 02:52:12"
532431,"EMFT.Henshin","UI","schulzs","RESOLVED","FIXED","UnaryUnits without subunits are automatically deleted","2018-03-14 06:37:24"
533715,"EMFT.Henshin","UI","strueber","RESOLVED","FIXED","Fix broken HTML on Henshin website","2018-04-20 09:23:47"
567524,"EMFT.Henshin","Interpreter","henshin.ck","CLOSED","INVALID","OUT parameter set from a created attribute should read default value","2020-10-01 12:56:53"
535754,"EMFT.Henshin","UI","schulzs","CLOSED","FIXED","Edges of iterated units not drawn on load","2019-12-24 02:57:37"
