"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
538451,"EPF","Tool","epf.tool-inbox","NEW"," ---","Text in Note objects changed alignment","2018-08-31 05:26:48"
539204,"EPF","Tool","epf.tool-inbox","NEW"," ---","P2 Repository improvements needed","2019-10-24 13:07:59"
540390,"EPF","Tool","epf.tool-inbox","NEW"," ---","[EPF Composer] Migration from PDE Build to Tycho","2019-10-14 14:10:09"
552136,"EPF","EPFWiki","epf.tool-inbox","NEW"," ---","Update application Terms of Use to GDPR","2019-10-16 04:31:29"
552668,"EPF","Tool","epf.tool-inbox","NEW"," ---","Link method element clear button greyed out","2019-11-04 10:26:12"
558499,"EPF","Tool","epf.tool-inbox","NEW"," ---","To set up Jenkins CI for EPF builds","2019-12-20 04:32:51"
558523,"EPF","Tool","epf.tool-inbox","NEW"," ---","Fix online help problems for 1.5.*","2019-12-20 13:07:09"
551753,"EPF","Website","epf.website-inbox","NEW"," ---","Fixing broken links at https://www.eclipse.org/epf/","2020-01-10 18:07:29"
552109,"EPF","Website","epf.website-inbox","NEW"," ---","Update the web page style","2019-10-15 08:12:49"
568805,"EPF","Website","epf.website-inbox","NEW"," ---","?","2020-11-13 18:39:32"
534468,"EPF","EPFWiki","epf.tool-inbox","CLOSED","DUPLICATE","Connection Timed Out in http://epf.eclipse.org/wikis/openup/","2019-10-14 13:52:44"
536727,"EPF","Tool","epf.tool-inbox","CLOSED","INVALID","for students","2019-10-14 14:00:28"
538017,"EPF","EPFWiki","epf.tool-inbox","CLOSED","DUPLICATE","epf.eclipse.org","2019-10-16 04:11:22"
547313,"EPF","Website","epf.website-inbox","CLOSED","DUPLICATE","https://www.eclipse.org/epf/ website is broken","2019-05-15 10:07:09"
