"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529616,"EPP","jee-package","epp.packager-inbox","UNCONFIRMED"," ---","issue while testing connection","2018-01-10 14:54:15"
536646,"EPP","rcp-package","epp.packager-inbox","UNCONFIRMED"," ---","Error while copying text from java editor tooltip","2018-07-03 12:38:52"
542725,"EPP","Releng","epp.packager-inbox","UNCONFIRMED"," ---","by default, oomph should detect (and warn about) expired digital certificates","2018-12-13 03:25:14"
544102,"EPP","dsl-package","epp.packager-inbox","UNCONFIRMED"," ---","Short GUI freeze","2019-02-04 15:57:23"
542919,"EPP","Installer","epp.installer-inbox","NEW"," ---","2018-12 CPP IDE download fails","2018-12-19 10:16:01"
543238,"EPP","Installer","epp.installer-inbox","NEW"," ---","Eclipse Installer still starts GTK 2","2019-01-08 04:53:26"
545247,"EPP","Installer","epp.installer-inbox","NEW"," ---","Failed Installation","2019-03-11 09:10:45"
547428,"EPP","Installer","epp.installer-inbox","NEW"," ---","Cannot install Eclipse 2019-3","2019-05-17 07:45:19"
565583,"EPP","Installer","epp.installer-inbox","NEW"," ---","Install a full JDK on macOS EPP packages","2020-07-27 12:49:08"
568890,"EPP","Installer","epp.installer-inbox","NEW"," ---","Update URL should point to https, not http","2020-11-17 08:55:46"
530999,"EPP","android-package","epp.packager-inbox","NEW"," ---","Cannot execute Eclipse.exe after extract","2018-02-10 23:33:02"
532922,"EPP","committers-package","epp.packager-inbox","NEW"," ---","Photon packages show old license EPL1","2018-03-27 01:49:25"
533975,"EPP","jee-package","epp.packager-inbox","NEW"," ---","[Accessibility] issues in Windows ""high contrast"" mode.","2018-04-24 07:18:26"
534592,"EPP","cpp-package","epp.packager-inbox","NEW"," ---","Error create interactive console","2018-05-11 15:51:12"
534619,"EPP","cpp-package","epp.packager-inbox","NEW"," ---","[Photon] [cpp] Include Tip of the Day","2019-01-03 12:11:11"
534638,"EPP","package content","epp.packager-inbox","NEW"," ---","Rename ""Help > Contribute"" to something more meaningful","2018-05-14 07:35:32"
534695,"EPP","scout-package","epp.packager-inbox","NEW"," ---","Harmonize package name to Eclipse IDE for Scout ...","2018-05-15 09:42:05"
534698,"EPP","parallel-package","epp.packager-inbox","NEW"," ---","Harmonize package name to Eclipse IDE for ...","2018-05-21 20:33:45"
534699,"EPP","modeling-package","epp.packager-inbox","NEW"," ---","Harmonize package name to Eclipse IDE for Modelling ...","2018-05-15 09:45:03"
534700,"EPP","rcp-package","epp.packager-inbox","NEW"," ---","Merge RAP+RCP into Committers package","2018-05-15 09:48:16"
535551,"EPP","jee-package","epp.packager-inbox","NEW"," ---","EPP Photon RC2 has duplicate vmargs in eclipse.ini","2018-06-05 07:39:23"
536107,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Cant Delete projects","2018-06-20 18:01:17"
536502,"EPP","Packager","epp.packager-inbox","NEW"," ---","Automating tests to verify upgrade works","2018-07-05 05:50:51"
538811,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Problem Opening Wizard for an installed plugin","2018-09-07 15:10:25"
539281,"EPP","package content","epp.packager-inbox","NEW"," ---","Enable http://download.eclipse.org/releases/latest by default","2018-12-02 10:38:32"
539302,"EPP","dsl-package","epp.packager-inbox","NEW"," ---","Description does not mention inclusion of Buildship","2018-09-20 17:51:31"
539527,"EPP","package content","epp.packager-inbox","NEW"," ---","Add ""import plugins from previous release"" to the welcome page","2018-09-26 15:28:40"
539880,"EPP","modeling-package","epp.packager-inbox","NEW"," ---","Error Running new configuration of Eclipse in macOS Mojave","2019-01-11 05:38:53"
544167,"EPP","dsl-package","epp.packager-inbox","NEW"," ---","Short GUI freeze","2019-02-06 03:39:47"
544627,"EPP","Releng","epp.packager-inbox","NEW"," ---","ITS team has blocked eclipse several operations due to absence of digital signature","2020-04-20 18:23:53"
547329,"EPP","javascript-package","epp.packager-inbox","NEW"," ---","Remove use of 3rdparty plugin requirements in EPP feature.xml","2019-05-15 12:29:29"
548463,"EPP","Packager","epp.packager-inbox","NEW"," ---","Unable to build package using the maven and instructions","2019-06-20 06:56:39"
550264,"EPP","reporting-package","epp.packager-inbox","NEW"," ---","In Eclipse Photon Remote System Explorer and  FTPClient class is missing","2019-08-22 08:10:32"
550519,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Eclipse IDE for Java EE Developers NEON 4.6 - Maven project","2020-04-20 18:26:41"
551096,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Unable to add the jar files are the options are being disabled","2019-09-16 05:39:24"
551621,"EPP","package content","epp.packager-inbox","NEW"," ---","bug run application: org.eclipse.epp.*","2019-09-30 17:53:48"
552178,"EPP","package content","epp.packager-inbox","NEW"," ---","Rust preferences mishandles UTF8 paths","2019-10-22 08:39:28"
558602,"EPP","Releng","epp.packager-inbox","NEW"," ---","Integrate Mac notarisation with EPP builds","2019-12-27 09:13:45"
561569,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Bug into preference","2020-03-30 01:29:16"
563909,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Add @2x windowImages for JEE","2020-06-03 22:23:10"
563917,"EPP","javascript-package","epp.packager-inbox","NEW"," ---","Remove welcome page from JS and Rust package","2020-06-04 05:10:19"
564447,"EPP","java-package","epp.packager-inbox","NEW"," ---","Unsigned webtools bundle in Java IDE 2020-06","2020-07-29 19:47:29"
564688,"EPP","Releng","epp.packager-inbox","NEW"," ---","Available Software Site use http instead of https","2020-06-26 10:41:27"
566337,"EPP","jee-package","epp.packager-inbox","NEW"," ---","org.eclipse.cft has been removed from SimRel and therefore JEE EPP","2020-08-24 23:14:05"
566686,"EPP","php-package","epp.packager-inbox","NEW"," ---","No line style provider for org.eclipse.wst.html.SCRIPT.EVENTHANDLER","2020-09-08 19:18:17"
567037,"EPP","Releng","epp.packager-inbox","NEW"," ---","Add .xml.xz and p2.index to EPP build output","2020-10-15 10:16:12"
567504,"EPP","jee-package","epp.packager-inbox","NEW"," ---","Included JRE does not use system cacerts","2020-10-23 12:10:55"
567916,"EPP","Releng","epp.packager-inbox","NEW"," ---","Make signing warnings in EPP build errors","2020-10-15 19:27:45"
567995,"EPP","committers-package","epp.packager-inbox","NEW"," ---","Repeated flags in eclipse.ini build of ""IDE for Eclipse Committers"" packge","2020-10-19 08:27:23"
568223,"EPP","Releng","epp.packager-inbox","NEW"," ---","Update the macOS archive names","2020-11-05 10:49:03"
569142,"EPP","jee-package","epp.packager-inbox","NEW"," ---","! No se puede ejecutar ""C:\Users\leome\AppData\Local\Temp\Rar$EXa7484.46356\eclipse\eclipse.exe""","2020-11-24 18:04:56"
569268,"EPP","cpp-package","epp.packager-inbox","NEW"," ---","Error when I open C ide.","2020-11-29 10:03:56"
569435,"EPP","Releng","epp.packager-inbox","NEW"," ---","Uninstalling ""main"" product from an EPP deletes eclipse.exe and completely messes up the installation","2020-12-03 11:05:39"
532187,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","TestDatapool","2018-03-08 10:52:10"
532536,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","Errors are reported to eclipse server even though they shouldn't","2018-04-11 03:44:47"
532962,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","can't send bug but reports success","2018-04-04 05:30:40"
533125,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","Incorrect Project Machine to Machine","2018-04-01 04:33:31"
534630,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","Provide more context information for stack trace on problem page","2018-05-14 04:13:56"
534887,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","eclipse grayed out after unsuccessful project create command","2018-05-19 11:43:10"
537646,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","bug reporting tool should check the version a bug was fixed","2018-08-03 04:54:34"
537742,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","org.eclipse.epp.logging.aeri.ide.server’ failed with exception","2019-04-12 09:21:57"
540333,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","Can't create Bugzilla ticket","2018-10-20 16:16:12"
540556,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","Cannot create Bug report.","2018-12-10 07:19:34"
541022,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","aeri is down","2019-01-10 04:51:18"
549792,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","NEW"," ---","epp.logging.aeri.(core|ide) still depend on guava 21","2019-08-05 06:36:54"
534703,"EPP","committers-package","gunnar","NEW"," ---","[Photon] [committers] Include Tip of the Day feature","2018-06-11 12:32:32"
542109,"EPP","website","mknauer","NEW"," ---","Unable to install LDT remote or remote SDK","2018-12-04 18:02:02"
548815,"EPP","website","mknauer","NEW"," ---","Marketplace advertises 2019-03","2019-07-01 03:18:42"
562069,"EPP","website","mknauer","NEW"," ---","Problems with the installation (Error Code: 499)","2020-04-13 11:38:04"
534991,"EPP","Releng","wim.jongman","NEW"," ---","[Tips] Include Tips in EPP Packages","2018-06-05 11:38:40"
535001,"EPP","dsl-package","wim.jongman","NEW"," ---","[Tips] [Photon] [dsl] Include tips in DSL package","2019-01-08 03:32:22"
535781,"EPP","cpp-package","epp.packager-inbox","ASSIGNED"," ---","[EPP Photon RC3] java.lang.NoClassDefFoundError: org/eclipse/linuxtools/docker/core/IDockerConnection","2018-07-03 03:39:17"
567873,"EPP","embedcpp-package","jonah","ASSIGNED"," ---","Create a new package for Embedded C and C++ developers [embedcpp]","2020-10-15 18:01:28"
550637,"EPP","package content","epp.packager-inbox","REOPENED"," ---","Please offer packages which syntax-highlight shell scripts (.sh files)","2019-09-28 13:58:34"
562357,"EPP","jee-package","epp.packager-inbox","REOPENED"," ---","Remove JavaScript preferences","2020-10-21 03:24:02"
533376,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","REOPENED"," ---","AERI is down","2018-07-09 05:17:09"
536280,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","REOPENED"," ---","""Server workload limit reached"" when reporting an error","2019-06-20 18:15:58"
539466,"EPP","Automated Error Reporting Client (AERI)","error-reports-inbox","REOPENED"," ---","AERI not working any more after updating to 2018-09","2019-04-12 09:21:54"
568222,"EPP","Releng","jonah","REOPENED"," ---","AArch64 archive names inconsistent with Intel archives","2020-11-05 15:57:20"
567452,"EPP","java-package","akurtakov","RESOLVED","FIXED","Include Terminal feature in Java EPP","2020-09-29 10:51:40"
