"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
540533,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","ECL Enhancement proposal for adding a nomatch option","2018-11-01 12:44:40"
551540,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","[EVL] Epsilon + Xtext: quick fixes are not shown in Xtext editor","2019-10-01 08:30:26"
569045,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Workflow tasks cannot run in a headless Eclipse","2020-11-23 03:02:32"
548977,"Epsilon","Core","dkolovos","NEW"," ---","Successive else if statements lead to exponential parse time","2020-04-13 20:39:10"
530742,"Epsilon","Core","arcanefoam","NEW"," ---","extension point=""org.eclipse.ui.popupMenus"" deprecated","2018-02-05 11:07:30"
540646,"Epsilon","Core","arcanefoam","NEW"," ---","Make ETL Trace an Model","2018-10-31 05:47:29"
534804,"Epsilon","Core","dkolovos","NEW"," ---","Add auto-detect meta model option to EMF model configuration dialog","2018-05-17 06:15:46"
540395,"Epsilon","Core","dkolovos","NEW"," ---","EmfModel getAllContents loads elements from ALL resources in the ResourceSet","2020-04-18 03:50:57"
540595,"Epsilon","Core","dkolovos","NEW"," ---","Inconsistent displayed license","2020-04-10 09:29:30"
544725,"Epsilon","Core","dkolovos","NEW"," ---","Add InputStream source field for all modules (via AbstractModule)","2019-02-22 10:56:57"
562466,"Epsilon","Core","dkolovos","NEW"," ---","Support pre and post blocks in NamedRule(?)","2020-04-24 09:19:17"
565641,"Epsilon","Core","dkolovos","NEW"," ---","org.apache.commons.csv not found during installation from update site","2020-07-29 07:15:46"
541210,"Epsilon","Core","sinadoom","NEW"," ---","Replace uses of java.lang.reflect with java.lang.invoke","2018-11-15 13:27:49"
541211,"Epsilon","Core","sinadoom","NEW"," ---","Support for simple parameters and lambdas in operation calls","2018-11-15 13:39:05"
567747,"Epsilon","Core","dkolovos","ASSIGNED"," ---","No workflow task and API description for HUTN","2020-10-09 07:44:56"
546226,"Epsilon","Core","jonathan.co","ASSIGNED"," ---","[Workflow] Missing classes when used as plugin dependency","2019-04-09 07:50:25"
564518,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Please fix your setups","2020-06-22 03:55:03"
564611,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Epsilon stack traces are no longer produced on exceptions","2020-10-23 13:41:20"
565082,"Epsilon","Core","dkolovos","RESOLVED","INVALID","EUnit does not check equivalence of models correctly","2020-07-23 10:30:59"
565427,"Epsilon","Core","dkolovos","RESOLVED","INVALID","EPL example regression from 2.1 to 2.0","2020-07-22 09:55:07"
565881,"Epsilon","Core","dkolovos","RESOLVED","FIXED","ClassCastException in NewEmfModelWizardPage#populateRootClassCombo","2020-08-07 05:52:53"
567168,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Regression in Excel EMC driver","2020-09-25 07:41:06"
569508,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Duplicate items in E*L editor outline view","2020-12-06 03:00:03"
531453,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Cannot retrieve Element.all.id","2018-08-12 08:44:16"
532788,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Eugenia] Add label.color to @gmf.node","2018-08-12 08:44:25"
533744,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMF] Keep stack traces of when cached models were acquired/released","2018-08-12 08:45:10"
533754,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Fragmented models are not released completely from the Cache","2018-08-12 08:45:26"
539644,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Exeed] Eclipse 2018-09 produces NPE in Property View for Tree metamodel","2018-09-30 17:18:46"
549628,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Long numerical constants produce string parsing exceptions","2020-05-24 11:12:35"
549729,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMC] Make models AutoCloseable","2020-05-24 11:12:48"
560746,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Use LinkedHashSet in .closure to improve performance","2020-05-24 11:12:41"
538034,"Epsilon","Core","arcanefoam","CLOSED","FIXED","Constraint appliesTo method is invoked twice","2018-10-05 11:40:25"
540424,"Epsilon","Core","arcanefoam","CLOSED","FIXED","InMemoryEmfModel replaces the existing ResourceFactoryRegistry","2020-05-24 11:12:53"
534358,"Epsilon","Core","basp91","CLOSED","DUPLICATE","Proposal to change Cached Model addToCache and removeFromCache methods","2020-05-24 11:12:57"
535936,"Epsilon","Core","basp91","CLOSED","WORKSFORME","Simulink Preferences are not persisted when updated","2020-03-31 18:23:43"
549629,"Epsilon","Core","basp91","CLOSED","FIXED","Simulink Model Type not available when creating new runtime configuration","2020-05-24 11:12:34"
532820,"Epsilon","Core","dkolovos","CLOSED","FIXED","Simulink's engine jar is not ammended to the system's Java library path contents but is overwritten.","2018-08-12 08:45:32"
533492,"Epsilon","Core","dkolovos","CLOSED","FIXED","Quick Fix not appearing for model elements in references resources","2020-05-24 11:12:42"
534149,"Epsilon","Core","dkolovos","CLOSED","FIXED","epsilon.storeModel fails for plain XML model and relative path","2018-08-12 08:45:39"
536972,"Epsilon","Core","dkolovos","CLOSED","FIXED","Update children references on AbstractModuleElement.setParent() instead of on the constructor","2020-05-24 11:12:36"
538063,"Epsilon","Core","dkolovos","CLOSED","WONTFIX","Regression: EtlModule API breakage in Epsilon 1.5","2020-04-09 12:53:46"
538175,"Epsilon","Core","dkolovos","CLOSED","FIXED","EolModelElementType keeps reference to model","2020-05-24 11:12:46"
539444,"Epsilon","Core","dkolovos","CLOSED","FIXED","[Eugenia] Inconsistency when accessing a eugenia model file, between versions 1.4 and 1.5","2020-05-24 11:12:35"
539742,"Epsilon","Core","dkolovos","CLOSED","DUPLICATE","in ECL matches operations invoked to match pairs of collections seems to fail","2018-10-03 03:00:08"
543549,"Epsilon","Core","dkolovos","CLOSED","DUPLICATE","Imports do not resolve variables","2020-04-09 17:22:53"
546289,"Epsilon","Core","dkolovos","CLOSED","FIXED","Flexmi model is wiped when running EGX with storeOnDisposal=true","2020-05-24 11:12:55"
548531,"Epsilon","Core","dkolovos","CLOSED","FIXED","Installing Eugenia should auto-install GMF","2020-05-24 11:12:37"
549624,"Epsilon","Core","dkolovos","CLOSED","FIXED","EVL quick-fixes don't work on Sirius diagrams","2020-05-24 11:12:52"
549627,"Epsilon","Core","dkolovos","CLOSED","FIXED","EVL validation not executed when an EMF validation is performed on a model element","2020-05-24 11:12:52"
549761,"Epsilon","Core","dkolovos","CLOSED","FIXED","Method not found after calling template.append() in EGL","2020-05-24 11:12:42"
549762,"Epsilon","Core","dkolovos","CLOSED","FIXED","Method id() not found on model elements","2020-05-24 11:12:45"
551531,"Epsilon","Core","dkolovos","CLOSED","WONTFIX","[EVL] Using two EVL files that specify validation rules for the same metamodel only executes rules of one of the files.","2020-05-24 11:12:39"
552383,"Epsilon","Core","dkolovos","CLOSED","INVALID","Add Epsilon Model Generation Language (EMG) to Epsilon Family","2019-11-16 15:03:21"
553123,"Epsilon","Core","dkolovos","CLOSED","FIXED","Request to Add Epsilon Model Generation Language (EMG) to the Epsilon Framework","2020-05-24 11:12:45"
558457,"Epsilon","Core","dkolovos","CLOSED","FIXED","Latest interim updatesite cannot be used to install epsilon on clean eclipse 2019 9","2020-05-24 11:12:46"
558543,"Epsilon","Core","dkolovos","CLOSED","FIXED","Calling operations with -> in EGL broken","2020-05-24 11:12:33"
558544,"Epsilon","Core","dkolovos","CLOSED","FIXED","EGL include(...) does not work when called from EGX-invoked template","2020-05-24 11:12:37"
559423,"Epsilon","Core","dkolovos","CLOSED","FIXED","Local variables not disposed in switch cases","2020-05-24 11:12:47"
560290,"Epsilon","Core","dkolovos","CLOSED","FIXED","EGX grammar allows arbitrary number of component blocks","2020-05-24 11:12:48"
560850,"Epsilon","Core","dkolovos","CLOSED","FIXED","[Picto] Static binary folder used in graphviz transformation does not work in unix systems","2020-05-24 11:12:37"
560908,"Epsilon","Core","dkolovos","CLOSED","FIXED","Add a filter to the EPackage registry view","2020-05-24 11:12:56"
561020,"Epsilon","Core","dkolovos","CLOSED","FIXED","Improve dark theme colors for the Flexmi editor","2020-05-24 11:12:41"
561201,"Epsilon","Core","dkolovos","CLOSED","FIXED","Include support for customising color preferences for the Epsilon editors","2020-05-24 11:12:36"
561419,"Epsilon","Core","dkolovos","CLOSED","FIXED","Add a toString method to the ViewTree class to improve debugging","2020-03-25 13:29:10"
