"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
564068,"Equinox","p2","alex.blewitt","NEW"," ---","Check if activator of org.eclipse.equinox.p2.repository is required","2020-06-10 18:54:50"
543594,"Equinox","Compendium","anjum.eclipse","NEW"," ---","[cm] add optional support for coordinations","2019-01-18 15:25:08"
540146,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","[preferences] Race condition initializing properties","2019-04-03 09:04:16"
544335,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","An empty preference value is returned while the preferences are being loaded in another thread","2019-02-12 04:51:15"
545133,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","[http whiteboard] implement support for ServletContainerInitializer","2020-04-01 03:38:08"
545431,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","PreferenceService#getNodes returns more nodes than specified by contexts parameter","2020-08-10 11:15:11"
547390,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","[http] Equinox Http Whiteboard Service ignores resource properties","2019-06-11 01:53:21"
548759,"Equinox","Compendium","equinox.compendium-inbox","NEW"," ---","HttpSessionAdapter does not invalidate the session","2019-06-28 12:05:59"
544370,"Equinox","Components","equinox.components-inbox","NEW"," ---","NoClassDefFoundError: org/apache/sshd/server/auth/AsyncAuthException from SshServ","2019-11-14 09:12:08"
547310,"Equinox","Components","equinox.components-inbox","NEW"," ---","Equinox SDK should ship with the latest Apache Mina SSHD","2019-05-15 06:41:13"
551075,"Equinox","Components","equinox.components-inbox","NEW"," ---","org.eclipse.equinox.http.registry is using CDC-1.0 from 1999 - suggest to update to CDC-1.1.2 or remove complete","2019-09-16 12:25:09"
567461,"Equinox","Components","equinox.components-inbox","NEW"," ---","Please update felix gogo shell to 1.1.4 due to bug in 1.1.0","2020-11-30 11:21:22"
568026,"Equinox","Components","equinox.components-inbox","NEW"," ---","Make IAdapterManager.getAdapter() a default method","2020-10-20 09:36:21"
544430,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Can't access Bundle headers from BundleFileWrapperFactoryHook","2019-02-15 09:20:00"
551241,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","java.lang.ClassNotFoundException: com.sun.xml.internal.bind.v2.ContextFactory","2020-07-13 11:46:44"
552348,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","OSGi install area calculated wrong with symlinks","2020-04-06 14:34:16"
558294,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Equinox starter kit for mac should point to dmg file and ppcle starter kit is missing","2019-12-13 04:45:10"
563372,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Improve tests to capture why a framework does not stop.","2020-05-28 10:30:22"
566142,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Out of Memory at Startup - Increase to Xmx not always works","2020-08-17 23:37:17"
566874,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","[IProgressMonitor] add utility methods for cancellation checks","2020-09-10 14:57:31"
567726,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","coding issue in NativeCodeFinder.findEclipseNativeCode(String libname, String mappedName, String[] altMappedNames)","2020-10-08 15:04:25"
567960,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Frequent log file open calls in org.eclipse.osgi.internal.log.EquinoxLogWriter.log()","2020-10-18 18:32:09"
568017,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Inefficent file locking in ExtensionRegistry.java","2020-10-20 09:31:13"
569434,"Equinox","Framework","equinox.framework-inbox","NEW"," ---","Osgi/BuddyClassing loading broken with Java-11, ThreadContextClassloader and ForkJoinPool","2020-12-07 04:48:07"
529644,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---"," --help should show common options","2018-01-10 14:48:01"
534356,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Eclipse doesn't boot with Custom Java image (with JDK 11-ea)","2019-05-03 04:58:55"
537324,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Eclipse launcher binary's reuse existing Window not working correctly","2020-07-13 08:38:22"
543099,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","build a project from command line success but returns with error","2019-01-06 08:26:25"
543535,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","eclipse not opening","2019-01-19 23:20:39"
544267,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Replace org.eclipse.equinox.launcher.Main#transferStreams with standard Java","2020-06-24 08:48:32"
544416,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Xrunjdwp in eclipse.ini prevents multiple instances from starting","2019-02-13 06:44:01"
544482,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Option to disable the static splash screen in Equinox","2019-02-15 08:58:04"
544648,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Content Assist hint Hover text CTRL + SPACE should be Ctrl + Space","2019-02-21 10:04:03"
545227,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Missing launcher file from download","2019-03-11 00:55:26"
545816,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","Installer crashes with no more handles error","2019-04-15 13:00:33"
546980,"Equinox","Launcher","equinox.launcher-inbox","NEW"," ---","""ucrt.terminate could not be located""","2019-08-22 14:32:54"
