"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529663,"GEF","GEF Cloudio","gef-inbox","NEW"," ---","NPE when executing the org.eclipse.gef.cloudio.internal.ui.actions.SelectAllAction","2018-01-11 06:42:56"
530644,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Graph View - Enhance extensibility of Dot2ZestGraphCopier and Dot2ZestAttributesConverter","2020-02-13 03:01:15"
530996,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","Snippets view broken due to changes made in findMouseEventTargetInDescendantsAt()","2018-04-17 17:47:38"
532839,"GEF","GEF Zest","gef-inbox","NEW"," ---","Zest NodePart - Improve the Stroketype handling","2018-03-23 12:05:46"
533859,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Graph View - wrong edge target position calculation","2019-03-07 05:21:03"
533869,"GEF","GEF MVC","gef-inbox","NEW"," ---","Provide org.eclipse.gef.mvc.tests.fx via separate mvc-test-support feature","2018-10-15 14:09:02"
535556,"GEF","GEF MVC","gef-inbox","NEW"," ---","Refactor BendConnectionPolicy for better extensibility","2018-06-05 07:58:44"
537893,"GEF","GEF Geometry","gef-inbox","NEW"," ---","GEF Geometry Line's boundsInParent is not correct calculated","2019-01-11 10:07:27"
537895,"GEF","GEF Geometry","gef-inbox","NEW"," ---","cannot load icons for Hi-DPI displays in GEF application","2019-01-22 10:20:20"
538088,"GEF","GEF MVC","gef-inbox","NEW"," ---","Possible memory leak in ClickDragGesture","2018-10-17 08:20:16"
538194,"GEF","GEF FX","gef-inbox","NEW"," ---","When the clickable area of a GeometryNode is bound before the geometry is set, then no clickable area will be maintained for that GeometryNode","2018-10-15 14:07:10"
539209,"GEF","GEF MVC","gef-inbox","NEW"," ---","Hover outline has gap on right+bottom side","2018-09-19 02:04:06"
540291,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Editor - improve refactoring support","2019-03-07 05:19:15"
540292,"GEF","GEF DOT","gef-inbox","NEW"," ---","Implement bidirectional selection synchronisation (DOT Editor and DOT Graph View)","2018-11-13 14:01:29"
540599,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Editor - *.dot file save triggers rebuild","2018-11-13 12:55:46"
540920,"GEF","Misc","gef-inbox","NEW"," ---","GEF view gets broken when scrolled (GTK2)","2018-11-08 09:10:50"
541092,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Graph View - No double-click / single+single-click distinction","2019-03-07 11:00:15"
541108,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Graph View - add support for escString (multiline labels) alignment","2018-11-30 12:24:17"
542801,"GEF","Misc","gef-inbox","NEW"," ---","Auto sort order settings should be set in the project settings","2018-12-14 07:13:08"
543878,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","langauge packs for GEF 3 are missing","2019-01-28 02:17:10"
545465,"GEF","GEF Zest","gef-inbox","NEW"," ---","Implement background color/background image support for graphs.","2019-03-16 04:22:17"
547433,"GEF","GEF MVC","gef-inbox","NEW"," ---","Provide birds-eye view that can be associated with a Viewer","2019-05-17 10:42:05"
548760,"GEF","GEF MVC","gef-inbox","NEW"," ---","Ensure adapters are disposed at once during disposal of a viewer (bulk change)","2019-09-13 13:41:54"
549626,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","SWTGraphics constructor has race condition when taking Clipping from GC with a set Transform","2019-07-29 07:26:53"
549945,"GEF","GEF Zest","gef-inbox","NEW"," ---","Graph with Single Node Width Error","2019-08-09 14:22:22"
551062,"GEF","GEF MVC","gef-inbox","NEW"," ---","setViewerContents performance poor due to heavy use of getAdapter","2020-04-15 03:49:48"
551524,"GEF","GEF-Legacy Zest","gef-inbox","NEW"," ---","ScrollableThumbnail behaves wrong on macOS","2019-09-26 09:11:18"
559029,"GEF","GEF MVC","gef-inbox","NEW"," ---","In the MVC Logo example, CloneOnClickHandler selection is overwritten by FocusAndSelectOnClickHandler","2020-01-10 10:10:10"
559727,"GEF","GEF FX","gef-inbox","NEW"," ---","TraverseFocusOnTypeHandler does not handle SHIFT-TAB","2020-01-31 12:34:45"
560206,"GEF","GEF MVC","gef-inbox","NEW"," ---","IndexOutOfBounds Exception in ContentBehavior","2020-03-10 09:17:27"
560894,"GEF","RelEng","gef-inbox","NEW"," ---","Target 2019-12 is invalid","2020-03-08 09:52:41"
561085,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Editor - Add formatter support based on Xtext formatter2 API","2020-05-29 02:07:40"
561478,"GEF","GEF FX","gef-inbox","NEW"," ---","memory leak in adaptable scope framework","2020-03-27 08:20:01"
562890,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","Random draw2d crashes. NoClassDefFoundError: com/ibm/icu/text/Bidi","2020-08-13 06:00:01"
563696,"GEF","GEF DOT","gef-inbox","NEW"," ---","DOT Editor - Add web editor support based on the Xtext API","2020-05-29 02:43:10"
566310,"GEF","GEF MVC","gef-inbox","NEW"," ---","InfiniteCanvasViewer: Extraction of the creation of the InfiniteCanvas class instance in a separate method.","2020-08-24 04:05:03"
566566,"GEF","GEF Geometry","gef-inbox","NEW"," ---","Ellipse should use CurvedPolygon as rotated shape","2020-09-01 12:50:09"
567118,"GEF","GEF FX","gef-inbox","NEW"," ---","Provide a functionally restricted but performance-optimized alternative to Connection.","2020-09-18 18:24:50"
545450,"GEF","GEF MVC","matthias.wienand","NEW"," ---","Move common functionality from IGesture implementations to AbstractGesture","2019-09-12 15:46:16"
541744,"GEF","GEF MVC","hniederhausen","ASSIGNED"," ---","PanOnStrokeHandler throws NPE from an internal AnimationTimer after being aborted","2020-01-25 04:20:27"
540330,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Implement redundant attribute validation rule and corresponding quickfix","2018-11-30 08:29:23"
540508,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Graph View - NullPtrExc Colorscheme Attribute not part of attributeProperty for Dot Graph","2019-05-31 11:08:04"
547639,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add Content Assistant support for the subgraph attributes","2019-05-31 09:49:10"
547809,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","Dot Graph View - Implement Clusterrank support properly","2019-06-07 10:33:18"
547841,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Extend the content assistant support by subgraph template proposals","2019-06-28 08:32:43"
548911,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add mark occurrences support for dot attribute names and values","2019-11-28 04:28:34"
549393,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Improve Content Assistant of the style attribute values","2019-10-24 05:43:03"
549410,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Implement redundant HTML attribute validation rule","2019-11-28 06:11:39"
549412,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add hovering support to dot html-like label color attribute values.","2019-12-05 04:49:41"
552993,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add strike through highlighting for the deprecated attribute values","2020-01-16 04:52:59"
553575,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add content assist support to dot html-like label color attribute values.","2020-01-30 15:41:08"
561084,"GEF","GEF DOT","eclipse","RESOLVED","FIXED","DOT Editor - Add new project wizard / new file wizard based on Xtext","2020-05-07 01:47:10"
562913,"GEF","RelEng","eclipse","RESOLVED","FIXED","Update Licence to EPL-2.0","2020-05-26 08:56:28"
529703,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Incorrect HTML-like-label highlighting causes Eclipse to hang","2018-02-19 17:59:10"
530423,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Add Rename Refactoring support to the DOT Editor","2018-01-28 16:00:37"
530699,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Add Marking Occurrences support to the DOT Editor","2018-02-04 05:18:15"
530990,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Add DOT Attribute support for arrowhead="""" and arrowtail=""""","2018-02-10 06:52:21"
531049,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Add Find References support to the DOT Editor","2018-02-12 09:29:21"
532216,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Improve the DOT Editor formatter","2018-03-09 02:58:01"
532244,"GEF","GEF DOT","gef-inbox","RESOLVED","FIXED","Dot Editor: Double clicking on an element in a DOT attribute value selects the entire value","2018-05-18 04:23:26"
533870,"GEF","GEF Zest","gef-inbox","RESOLVED","FIXED","ZestContentViewer should store a back reference to the original model elements","2019-06-28 08:09:49"
533872,"GEF","GEF MVC","gef-inbox","RESOLVED","FIXED","Implement DragDropGesture to support JavaFX drag and drop events","2019-02-12 10:44:36"
