"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
539284,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","The size of the image cannot go higher than a 17.51cm width","2018-09-20 09:18:08"
559004,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Subdocument with fragments","2020-01-15 10:56:49"
538984,"Gendoc","Core","gendoc-inbox","NEW"," ---","Generate doc from json, (and from REST API)","2018-09-12 09:56:38"
543515,"Gendoc","Others","gendoc-inbox","NEW"," ---","Gendoc tutorial error in static image section","2019-01-17 02:22:18"
535656,"Gendoc","Core","anne.haugommard","RESOLVED","FIXED","[Table] Cell containing multiple values are not displayed correctly in generated document","2018-07-26 03:02:41"
535660,"Gendoc","Core","anne.haugommard","RESOLVED","FIXED","[Table] Table cell containing special characters (<,>...) corrupts the generated document","2018-07-26 03:02:48"
538755,"Gendoc","UI","anne.haugommard","RESOLVED","FIXED","NullPointerException in Gendoc template wizard use","2018-09-06 15:04:45"
560985,"Gendoc","Core","anne.haugommard","RESOLVED","FIXED","AdditionalResourceService does not handle HTML Runnable resource correctly (limitation to image resources)","2020-03-20 10:29:10"
530839,"Gendoc","Core","antonio.campesino.robles","RESOLVED","FIXED","Model URIs are not normalized properly before attempt to load the models","2018-02-08 01:47:43"
530842,"Gendoc","UI","antonio.campesino.robles","RESOLVED","FIXED","When generating a document inside the workbench, the output folder should be refreshed if it is in the workspace.","2018-02-09 13:30:14"
531275,"Gendoc","Core","antonio.campesino.robles","RESOLVED","FIXED","Provide a query to retrieve the papyrus diagrams own by an element.","2018-03-23 07:45:23"
531347,"Gendoc","Core","antonio.campesino.robles","RESOLVED","FIXED","Papyrus Models with no diagrams (Empty notation models) are reported as an error in the log.","2018-03-23 07:46:09"
531348,"Gendoc","UI","antonio.campesino.robles","RESOLVED","FIXED","Open context menu for a UI element that adapts to an EObject which is a proxy throws an exception and the context menu is not shown.","2018-03-23 07:47:26"
529715,"Gendoc","Others","gendoc-inbox","RESOLVED","FIXED","PAPYRUS_DOCUMENTATION_STEREOTYPE_QUALIFIED_NAME out of date for Papyrus","2018-06-12 04:05:56"
535482,"Gendoc","UI","gendoc-inbox","RESOLVED","FIXED","Conflict in handler org.eclipse.gendoc.ui.actions.GenerateDocumentation","2019-10-11 05:32:23"
540469,"Gendoc","Core","gendoc-inbox","RESOLVED","FIXED","[Gendoc] [Sirius] Sirius 6.0.0 throws a clast cast exception to org.eclipse.sirius.diagram.ui.tools.internal.part.SiriusDiagramGraphicalViewer","2018-10-26 07:07:20"
552031,"Gendoc","UI","gendoc-inbox","RESOLVED","FIXED","Menu to launch the Gendoc wizard in Papyrus is not available in context menu.","2019-10-11 05:31:49"
552039,"Gendoc","Core","gendoc-inbox","RESOLVED","FIXED","Models with blanks in the name are not open properly","2019-10-11 10:06:05"
534581,"Gendoc","Core","gendoc-inbox","CLOSED","INVALID","substitute(String r, String t):String only substitutes first occurance","2018-05-11 11:24:30"
538295,"Gendoc","Others","gendoc-inbox","CLOSED","WONTFIX","NumberFormatException in .../gendoc/updates/nightly/latest/mars/compositeContent.xml","2018-10-30 06:39:36"
540401,"Gendoc","UI","gendoc-inbox","CLOSED","FIXED","Generate documentation menu is not visible in Sirius Model Explorer","2018-10-26 07:06:43"
