"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
536825,"JGit","JGit","jgit.core-inbox","UNCONFIRMED"," ---","“No repository found containing: …” error","2019-04-16 13:47:26"
547100,"JGit","JGit","egit.ui-inbox","NEW"," ---","Support in SubmoduleUpdateCommand for submodule.<name>.branch and --remote","2020-06-03 11:07:56"
529415,"JGit","JGit","jgit.core-inbox","NEW"," ---","JGit Status reports ignored directories with Git repositories as untracked","2018-01-04 08:54:37"
529756,"JGit","JGit","jgit.core-inbox","NEW"," ---","Running GarbageCollectionCommand causes file lock in .git/objects directory","2018-01-12 12:23:07"
529763,"JGit","JGit","jgit.core-inbox","NEW"," ---","Reset --hard doesn't reset executable mode of a file","2018-01-12 14:53:58"
530501,"JGit","JGit","jgit.core-inbox","NEW"," ---","Cloning repository with invalid objects without warning","2018-02-11 02:45:05"
530688,"JGit","JGit","jgit.core-inbox","NEW"," ---","Fix null analysis @NonNull/@Nullable issues flagged by Error Prone plugin NullAway","2018-02-03 08:20:10"
530757,"JGit","JGit","jgit.core-inbox","NEW"," ---","Unclosed RevWalks","2018-04-29 18:06:58"
530864,"JGit","JGit","jgit.core-inbox","NEW"," ---","Unable to use API to filter filenames recursively","2018-02-07 18:54:44"
531075,"JGit","JGit","jgit.core-inbox","NEW"," ---","HTTP server does not return WWW-Authenticate header when ServiceNotAuthorizedException is thrown","2018-02-12 21:19:41"
531797,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support user.useConfigOnly","2018-05-13 18:15:50"
531975,"JGit","JGit","jgit.core-inbox","NEW"," ---","RevWalk.next() not cancelable","2018-07-28 15:26:35"
532131,"JGit","JGit","jgit.core-inbox","NEW"," ---","Recursive submodule fetch uses refspecs from wrong repository","2018-03-07 12:03:05"
532352,"JGit","JGit","jgit.core-inbox","NEW"," ---","Error when folder is named config","2018-03-12 10:52:17"
534198,"JGit","JGit","jgit.core-inbox","NEW"," ---","JGIT asks for Username Pwd with BitBucket ignoring CredentialProvider","2018-04-30 03:45:45"
534285,"JGit","JGit","jgit.core-inbox","NEW"," ---","org.eclipse.jgit.merge.CrissCrossMergeTest is flaky","2018-05-07 21:51:37"
534526,"JGit","JGit","jgit.core-inbox","NEW"," ---","org.eclipse.jgit.treewalk.WorkingTreeIterator use FileInputStream but not support non-standand char in path","2018-05-10 10:36:59"
534731,"JGit","JGit","jgit.core-inbox","NEW"," ---","Replace usage of deprecated RefDatabase.getRefs(String) with getRefsByPrefix(String)","2018-10-08 05:17:17"
534978,"JGit","JGit","jgit.core-inbox","NEW"," ---","progress of resolving deltas reaches more than 100 percent","2018-05-24 04:41:56"
535027,"JGit","JGit","jgit.core-inbox","NEW"," ---","CVE-2018-11235: missing path validation on submodule names","2018-05-29 20:07:01"
535041,"JGit","JGit","jgit.core-inbox","NEW"," ---","CGitVsJGitRandomIgnorePatternTest.assertCgitAndJgitMatch fails in Eclipse","2018-05-24 00:19:26"
535042,"JGit","JGit","jgit.core-inbox","NEW"," ---","EGitPatchHistoryTest.testParseHistory fails in Eclipse","2018-05-24 00:20:47"
535184,"JGit","JGit","jgit.core-inbox","NEW"," ---","DirCacheBuildIterator is not resettable","2018-06-01 08:49:31"
535333,"JGit","JGit","jgit.core-inbox","NEW"," ---","Repository.isBare() return true for empty repository","2018-05-30 08:02:50"
535792,"JGit","JGit","jgit.core-inbox","NEW"," ---","clone fails when target directory is on ntfs mounted via vboxsf","2018-06-12 05:08:05"
535814,"JGit","JGit","jgit.core-inbox","NEW"," ---","Missing authentication when org.eclipse.jgit.lfs builtin lfs filter tries to push lfs objects to server via http protocol","2020-11-19 13:39:45"
535850,"JGit","JGit","jgit.core-inbox","NEW"," ---","NEGOTIATE (Kerberos) authentication not working with sslVerify = false","2020-11-30 06:27:38"
535919,"JGit","JGit","jgit.core-inbox","NEW"," ---","Duplicate stages not allowed: 0 subtree/file","2019-05-10 02:50:51"
536108,"JGit","JGit","jgit.core-inbox","NEW"," ---","org.eclipse.jgit.transport.TransportGitSsh plink detection false positive","2018-06-20 18:09:06"
536213,"JGit","JGit","jgit.core-inbox","NEW"," ---","Unable to perfom pull operation from Eclipse for the changes performed in Github","2018-09-12 09:32:03"
536323,"JGit","JGit","jgit.core-inbox","NEW"," ---","DiffEntry.scan() is not cancelable","2018-08-09 06:52:06"
536796,"JGit","JGit","jgit.core-inbox","NEW"," ---","Jgit for z/OS MVS","2018-08-14 09:04:31"
536929,"JGit","JGit","jgit.core-inbox","NEW"," ---","[Feature Request] Add option to make filemode always ignored","2018-07-11 18:08:22"
537036,"JGit","JGit","jgit.core-inbox","NEW"," ---","Windows_FS hook support","2019-10-22 04:45:27"
537199,"JGit","JGit","jgit.core-inbox","NEW"," ---","Hangs with git server 2.14.3 with GIT_SSH set","2018-07-19 12:55:25"
537460,"JGit","JGit","jgit.core-inbox","NEW"," ---","RevCommitList.fill() and fillTo() are not cancelable","2018-07-28 15:26:35"
537692,"JGit","JGit","jgit.core-inbox","NEW"," ---","RefDatabase: allow looking up whether any ref points to a particular ObjectId","2018-08-06 08:08:56"
537883,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support for git describe abbrev length","2018-08-16 08:45:48"
537972,"JGit","JGit","jgit.core-inbox","NEW"," ---","InMemoryRepository does not support reflog","2018-08-15 17:09:45"
538055,"JGit","JGit","jgit.core-inbox","NEW"," ---","GC failed due to unexpected file .git/refs/.DS_Store","2018-08-18 11:32:34"
538563,"JGit","JGit","jgit.core-inbox","NEW"," ---","FILE-GITLINK conflict is reported by IndexDiff as modification even if ignoreSubmodules=all","2019-03-08 11:23:02"
538758,"JGit","JGit","jgit.core-inbox","NEW"," ---","RmCommand cannot remove submodules","2018-09-06 17:32:27"
538783,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support --no-tags in CloneCommand","2018-09-09 19:47:20"
538930,"JGit","JGit","jgit.core-inbox","NEW"," ---","Eclipse Notifies of Update, then Fails","2018-09-12 07:52:07"
539346,"JGit","JGit","jgit.core-inbox","NEW"," ---","NumberFormatException below StashCreateCommand.call (thrown in NumberFormatException.forInputString)","2018-09-23 02:09:14"
539851,"JGit","JGit","jgit.core-inbox","NEW"," ---","DfsReftableDatabase crashes when accepting writes that make the log block span multiple file blocks","2018-10-05 12:54:33"
540046,"JGit","JGit","jgit.core-inbox","NEW"," ---","Existing submodules with name different to path are ignored by UpdateCommand","2018-10-11 08:18:57"
540049,"JGit","JGit","jgit.core-inbox","NEW"," ---","LFS: file handle leak in ObjectDownloadListener","2018-10-15 07:01:21"
540076,"JGit","JGit","jgit.core-inbox","NEW"," ---","CommitCommand will not remove files still on disk if setOnly has been used.","2018-10-12 06:18:54"
540415,"JGit","JGit","jgit.core-inbox","NEW"," ---","Provide public method in TransportHttp class allowing overriding the default sslVerify flag value initialized from the configuration","2018-10-26 05:20:49"
540486,"JGit","JGit","jgit.core-inbox","NEW"," ---","Backport fix for 514095 to 4.7 stream","2018-10-26 17:22:56"
541274,"JGit","JGit","jgit.core-inbox","NEW"," ---","ssh: support for ssh-agent in the Apache MINA sshd client","2019-06-10 01:40:08"
541275,"JGit","JGit","jgit.core-inbox","NEW"," ---","ssh: support for Pageant in the Apache MINA sshd client","2018-11-19 11:06:36"
541327,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support preemptive basic authentication","2020-12-03 11:08:06"
541392,"JGit","JGit","jgit.core-inbox","NEW"," ---","ssh: support hostbased authentication in the Apache MINA sshd client","2018-11-21 06:04:46"
542645,"JGit","JGit","jgit.core-inbox","NEW"," ---","git apply --3way after jgit reset --hard fails","2018-12-14 05:19:57"
542993,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support reading pack index with memory-mapped files","2018-12-21 19:50:59"
543171,"JGit","JGit","jgit.core-inbox","NEW"," ---","Support for includeif in git config","2020-05-07 07:58:14"
543243,"JGit","JGit","jgit.core-inbox","NEW"," ---","[refactoring] change method signatur exactRef in Repository to getExactRef","2019-01-08 06:10:12"
543284,"JGit","JGit","jgit.core-inbox","NEW"," ---","Document git configuration options supported by JGit","2019-01-11 11:19:43"
543546,"JGit","JGit","jgit.core-inbox","NEW"," ---","[releng] Describe GPG signing in New&Noteworthy","2019-01-17 14:17:34"
543784,"JGit","JGit","jgit.core-inbox","NEW"," ---","FetchAndPullCommandsRecurseSubmodulesTest fails on Windows","2019-01-24 07:00:21"
544149,"JGit","JGit","jgit.core-inbox","NEW"," ---","Hang when fetching when plink used for GIT_SSH","2019-02-05 14:13:56"
544326,"JGit","JGit","jgit.core-inbox","NEW"," ---","Many tests fail on windows","2019-07-25 19:28:20"
544336,"JGit","JGit","jgit.core-inbox","NEW"," ---","FetchCommandTest should close repositories","2019-02-11 08:44:46"
