"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
542092,"Jubula","Agent","jubula.agent-inbox","NEW"," ---","Observation mode RCP, click on a table cell drives to an AUT crash","2020-11-27 09:08:03"
546225,"Jubula","Agent","jubula.agent-inbox","NEW"," ---","autagent hangs on macOS ""autagent qui unexpectedly""","2019-04-09 04:41:18"
533611,"Jubula","Core","jubula.core-inbox","NEW"," ---","RCP Example Extension and those RCP extensions created by the Wizard cannot be installed into the ITE","2020-04-06 14:26:08"
544096,"Jubula","Core","jubula.core-inbox","NEW"," ---","The Parameter are not shown in the editor","2019-02-04 08:30:10"
545991,"Jubula","Core","jubula.core-inbox","NEW"," ---","General Database error","2019-04-01 02:39:29"
545992,"Jubula","Core","jubula.core-inbox","NEW"," ---","3004: Unexpected error occurred. null argument:","2019-04-01 02:43:08"
558358,"Jubula","Core","jubula.core-inbox","NEW"," ---","Databases connections are not working with Java 11","2020-01-13 11:03:57"
536697,"Jubula","RC","jubula.rc-inbox","NEW"," ---","Drop operation not starting unless mouse is manually moved","2020-07-16 14:40:51"
548365,"Jubula","RC","jubula.rc-inbox","NEW"," ---","Object Mapping in RCP not working (Linux)","2019-12-10 04:00:15"
548374,"Jubula","Tools","jubula.tools-inbox","NEW"," ---","Extension Wizard generates unnecessary and not compileable code","2019-06-18 04:37:04"
544524,"Jubula","UI","jubula.ui-inbox","NEW"," ---","NP after deleting a Parameter","2019-02-18 03:11:13"
553817,"Jubula","UI","jubula.ui-inbox","NEW"," ---","Java Pop up window not getting recognised by Object Mapping Mode","2020-01-06 05:27:25"
548498,"Jubula","RC","marvin.mueller","NEW"," ---","Tree operations select wrong element on large trees","2019-08-23 13:04:36"
547865,"Jubula","Core","marvin.mueller","CLOSED","FIXED","EPP 2019-06 Jubula can not start because javax.xml.bind via two dependency chains","2019-08-06 02:34:14"
544379,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","RCP/SWT other developer can not create own keyboard mappings","2019-03-19 07:55:36"
547002,"Jubula","Core","jubula.core-inbox","CLOSED","FIXED","running jubula API example failed?","2019-05-17 04:28:08"
529860,"Jubula","RC","jubula.rc-inbox","CLOSED","FIXED","JavaFx menubars with hidden menus are not working correct","2018-01-29 05:55:20"
541552,"Jubula","RC","jubula.rc-inbox","CLOSED","INVALID","textInputComponent replacetext() breaks for maximized eclipse product","2019-01-07 00:48:26"
544377,"Jubula","RC","jubula.rc-inbox","CLOSED","FIXED","RCP/SWT characters (existing in upper and lower case) which are only accessible via modifier are not usable","2019-03-19 07:55:36"
550755,"Jubula","RC","jubula.rc-inbox","CLOSED","FIXED","Crash on exit when Systemtrays are unsupported","2019-09-10 03:18:22"
530586,"Jubula","UI","Marcel.Krauth","CLOSED","FIXED","NP wenn in der Test Result Summary die projekte gewechselt werden","2018-02-05 03:30:42"
539210,"Jubula","RC","marvin.mueller","CLOSED","FIXED","RCP - Component like toolbar items not getting named via Generating Names","2018-09-21 10:08:58"
540863,"Jubula","UI","marvin.mueller","CLOSED","FIXED","AUTs can not be deleted","2019-07-30 01:57:45"
543923,"Jubula","UI","marvin.mueller","CLOSED","FIXED","Copy a Test case with Reference to a Parameter leads to Exceptions","2019-01-29 05:25:06"
545529,"Jubula","RC","marvin.mueller","CLOSED","FIXED","Keyboard Mapping - encoding of File is not used","2019-03-19 07:55:36"
