"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
556200,"Kitalpha","CTK","kitalpha-inbox","NEW"," ---","[Accuracy] Loading constraints at starting of kitalpha throws ConccurrentModificationException","2019-10-24 05:39:18"
555976,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","[VPDSL] error in editor","2018-08-01 05:58:33"
555979,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","Activating Viewpoint does not refresh the contributed Section or Activity","2018-08-28 09:39:36"
555987,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","[VPDSL] Comments are erased in viewpoint artifacts at the regeneration (plugins.xml)","2018-11-06 03:55:34"
555990,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","Capella/Kitalpha enables the Architecture Description Viewpoint for all session even if there is no Capella Nature nor any Capella resource in the session.","2019-03-05 10:14:25"
555991,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","Index out of bounds error when undoing viewpoint selection","2019-11-29 09:04:41"
556060,"Kitalpha","Build","kitalpha-inbox","NEW"," ---","Fix endline encoding in all repository files","2019-10-10 10:59:57"
558778,"Kitalpha","CTK","kitalpha-inbox","NEW"," ---","[eMDE] Backport emf fix into 2019-06","2020-11-03 07:11:16"
565494,"Kitalpha","AF and VP","kitalpha-inbox","NEW"," ---","Memory leak in RichTextEditor","2020-11-03 07:03:32"
566537,"Kitalpha","Build","kitalpha-inbox","NEW"," ---","Update splash screen and about section","2020-11-03 07:13:41"
568756,"Kitalpha","CTK/Doc","kitalpha-inbox","NEW"," ---","[docgen] Erroneous links in ecore documentation","2020-11-12 08:15:19"
569166,"Kitalpha","CTK","kitalpha-inbox","ASSIGNED"," ---","Switch to EPL 2.0","2020-12-01 04:15:16"
569192,"Kitalpha","CTK","kitalpha-inbox","REOPENED"," ---","Add capability to specify a destination folder in Transposer configuration","2020-11-30 07:39:20"
556179,"Kitalpha","CTK","ali.akar82","RESOLVED","FIXED","SWT exception raised when creating/editing rich text description","2018-09-10 11:32:09"
556180,"Kitalpha","CTK","ali.akar82","RESOLVED","FIXED","Externalize the instantiation of RichTextEditor in MDENebulaBasedRichTextWidgetImpl","2018-09-10 11:27:44"
556187,"Kitalpha","CTK","ali.akar82","RESOLVED","FIXED","Enhance Mass actions menu","2018-10-22 05:46:02"
556169,"Kitalpha","CTK","jaubry","RESOLVED","FIXED","[RichText] NPE when deleting a project with a Richtext editor view opened","2018-09-26 07:57:18"
556192,"Kitalpha","CTK","jaubry","RESOLVED","FIXED","[RichText] Not expected behavior when closing an edited Description Editor","2019-04-03 08:29:00"
555971,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","NPE while activate a viewpoint with a missing dependency","2018-02-08 01:17:41"
555972,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL Generator] Require bundles are generated many time in bundle manifests","2018-04-19 04:49:26"
555973,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","UI - Duplicated properties tabs","2018-10-08 04:23:05"
555974,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","DUPLICATE","Additional quotes for Java preconditions of OpenActions in diagram DSL","2018-07-27 07:14:40"
555975,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL] add support for aql","2018-09-26 05:11:07"
555977,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL] Impossible to define eOpposite between simple reference","2018-10-22 12:10:27"
555978,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","Activity Explorer does not display pages defined in the viewpoint","2018-09-26 04:36:44"
555980,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL - Activity Explorer] Automatic completion does not work on icons","2018-09-26 04:28:12"
555981,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[Diagram] Viewpoint DSL Generator does not set some attribute in Odesign","2018-10-19 09:36:05"
555982,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL - Diagram] Fix Mixed AQL expressions","2018-10-19 09:33:07"
555983,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[AF] generate and package does not work","2018-10-19 09:33:26"
555985,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[VPDSL] NPE Thrown while validation","2018-10-19 09:32:47"
555986,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[AD] Unwanted notifications if .amf file does not exist.","2019-03-05 10:15:29"
555988,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","CCE when cast to Metadata with vpms and pvmt addons installed in capella","2018-12-10 03:56:57"
555989,"Kitalpha","AF and VP","kitalpha-inbox","RESOLVED","FIXED","[afm] disable cycle detection","2019-07-17 11:35:35"
556048,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","set version to 1.1.5","2018-03-09 11:30:23"
556049,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","move to oxygen","2018-09-26 05:21:58"
556050,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","set version to 1.3.0","2018-09-26 05:23:06"
556051,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","Display version of kitalpha in about dialog","2018-10-30 11:06:30"
556052,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","Adding NOTICE, CONTRIBUTING and LICENSE files the git repository","2018-11-30 03:19:28"
556054,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","update version to 1.3.1","2019-04-03 08:08:46"
556055,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","move to 2019-03","2019-10-08 09:02:23"
556056,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","AQL is missing","2019-04-03 08:12:13"
556058,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","Publication error in Kitalpha 1.3.x build job","2019-08-02 03:48:46"
556059,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","SVG images in the Help section are sometimes not displayed","2019-10-08 09:04:31"
556146,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext]Exception when using an absolute path in a description","2018-04-10 04:43:53"
556147,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Allow Double click action to open links","2018-09-26 07:55:02"
556148,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Fix the synchronization between different opened richtext editors of the same element","2018-09-26 07:55:12"
556149,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Lost editing description in properties view while changing the selection element","2018-09-26 07:55:27"
556150,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","StackOverFlow exception thrown when opening emf treeviewer editor","2018-09-26 07:49:41"
556151,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Detachment  causes platform crash","2018-03-12 08:25:30"
556152,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[ResourceReuse] override equals and hash codes methods to compare two resources","2018-09-26 07:55:37"
556153,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Add a paste listener to alert user about dirty text","2018-07-05 11:31:24"
556155,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[eMDE] Generation extension Child Extender is not consistent","2018-09-26 05:23:37"
556156,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[genchain] Add support for cdo generator","2018-10-22 07:37:47"
556157,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] The web editor is not closed when the project/element is deleted","2018-05-02 08:16:23"
556158,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Non-saved text in widget viewer is lost at the opened the editor","2018-04-19 04:51:08"
556160,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Detachment] Unknown Sirius Computed Colors are not deleted at detachment","2018-08-06 03:33:11"
556161,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Fix potentiel NPE in MDERichTextHelper#getProjectPath(EObject)","2018-04-19 04:52:00"
556162,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] URL with https cannot be opened by Open Link menu","2018-04-24 07:45:24"
556164,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Editor's dirty state is not correct when the stored feature has not been set","2018-09-26 07:56:39"
556165,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Do not take the focus on editor startup and only set feature content when editor has the focus","2018-09-26 07:56:49"
556166,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Save content before disposing the richtext widget","2018-09-26 07:55:49"
556167,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Backslashes are not persisted in the editor","2018-09-26 07:56:09"
556171,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[emde] Remove dependency on EGF packages","2018-09-26 07:45:18"
556172,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Accuracy] inverting parameters at calling OCLConstraintDescriptor constructor","2018-07-30 11:22:10"
556173,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Add the ability to contribute a customized version of the editor widget","2018-09-26 07:57:46"
556174,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Remove deprecated annotation on « ExtensibleElement :: ownedExtensions »","2018-09-26 07:44:35"
556175,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[GenDoc] Use of Link Note in diagram","2018-09-26 07:43:11"
556176,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Adding Mass Editing and Mass Visualization capabilities to Kitalpha","2018-09-26 05:22:30"
556178,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","WONTFIX","Use DRepresentationDescriptor UID for hyperlink to representation","2018-09-26 04:34:29"
556181,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Fix packaging of richtext in Kitalpha P2","2018-09-26 05:18:43"
556182,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[EMFScheme] restrict visibility of 'load resource' action","2018-09-26 05:18:31"
556183,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Fix feature names","2018-09-26 05:17:24"
556184,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[ResoucreReuse]  fix error level in logging","2018-09-26 05:16:39"
556185,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[ResoucreReuse] improve error handling when there is no metadata available","2018-09-26 05:18:02"
556186,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Unnecessary throwing IllegalArgumentException","2018-10-22 05:41:39"
556188,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Detachment] renaming of file extension by suffix it by .old","2018-10-08 04:27:12"
556189,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Mass View and Editor does not clear elements after closing session","2018-10-22 05:40:58"
556190,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Accuracy]  UI Menu Improvements","2018-10-19 09:53:38"
556191,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Detachment] Cleaning unknown references does not detect/delete Sirius Tables","2019-04-03 08:34:46"
556193,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Mass Visualization 'Group by' operation fails for elements with no value.","2019-04-03 08:29:47"
556194,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[GenDoc] Add mechanism to enhance the ergonomy of search index","2019-04-12 05:26:24"
556196,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","Improve detachment robustness","2019-10-08 09:02:47"
556197,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","WONTFIX","[ResourceReuse] Performance issue at first loading and reading resources","2019-11-22 04:43:38"
556198,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[eMDE] ActionBarContributor is not generated as expected","2019-10-08 09:03:47"
556199,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","""Model Attachment"" feature is obsolete","2019-10-08 12:22:56"
556223,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","[GenDoc] Enhance computing index","2019-12-05 04:40:58"
556224,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","Adapt the clickable zones of a diagram to the auto-scale value","2018-04-23 11:37:55"
556225,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","HTML Gendoc is based on XMI ID rather than UID for diagrams","2018-10-29 15:10:45"
556226,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","Contributing with new HTML pages for model elements","2019-11-12 05:35:10"
556227,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","INVALID","Conflicting Sirius version in Capella Gendoc 1.2.x and Kitalpha Gendoc 1.2.x target platforms","2019-11-06 09:50:58"
556228,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","Navigation from contributed viewpoint elements on diagrams","2019-10-08 09:03:27"
560395,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","New features and improvements in core documentation from XHTML docgen improvements","2020-02-21 10:10:07"
560397,"Kitalpha","CTK/Doc","kitalpha-inbox","RESOLVED","FIXED","Core documentation performances improvement","2020-02-21 10:09:45"
561351,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Asynchronous set / save and load issues","2020-10-15 04:55:28"
561352,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","[Richtext] Editor closing issue","2020-07-21 10:53:11"
562064,"Kitalpha","Build","kitalpha-inbox","RESOLVED","FIXED","Kitalpha downloads area: 54G","2020-07-23 05:29:28"
564411,"Kitalpha","CTK","kitalpha-inbox","RESOLVED","FIXED","The Richtext feature should not include default implementation for link opening strategy","2020-07-21 10:53:19"
