"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
534805,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---",,"2018-05-17 06:40:59"
537848,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","getting error while setting up eclipse kura environment","2018-08-10 05:06:33"
543879,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","unvalid user name and passward accepted","2019-01-28 01:56:46"
549561,"Kura","Core","kura.core-inbox","UNCONFIRMED"," ---","site engineer core network ericsson","2019-07-25 08:11:05"
545832,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Guava CVE-2018-10237","2019-04-09 03:42:50"
545833,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Possible path injection attack in skinServlet","2019-04-09 10:34:25"
545834,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Jetty version reported in Server Reply","2019-04-09 11:56:52"
545835,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Possible XXE attacks to XML parsers","2019-04-09 10:34:18"
545836,"Kura","Core","kura.core-inbox","RESOLVED","FIXED","Kura uses Apache FileUpload version 1.3.2","2019-04-09 03:42:18"
531623,"Kura","Core","kura.core-inbox","CLOSED","INVALID","Support SCR/Declarative Services 1.3+","2018-02-26 12:58:10"
