"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529915,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","m2e-wtp doesn't pick up refreshed webResources","2018-01-27 10:43:47"
530741,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","/src/test/resources bound to WEB-INF/classes","2018-02-05 19:19:52"
535074,"M2E-WTP","overlay","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Deadlock due to OverlayResourceChangeListener","2018-05-24 11:32:18"
537401,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Classpath entry org.eclipse.m2e.MAVEN2_CLASSPATH_CONTAINER will not be exported or published. Runtime ClassNotFoundExceptions may result.","2020-09-29 07:26:29"
538561,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","genTestSrcDir in Deployment Assembly causes test classes and resources to deploy","2018-09-10 08:24:14"
538843,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","m2e-wtp fail to link jar with nested resources in pom.xml and war/ear","2018-09-14 13:02:42"
549164,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","m2e-wtp 1.4.1 Don't uses resources from workspace resolution","2019-07-11 04:26:07"
551467,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","web-fragment JAR is not copied to WEB-INF/lib (omnifaces)","2019-10-02 10:54:35"
551649,"M2E-WTP","documentation","m2e-wtp.core-inbox","UNCONFIRMED"," ---","unable to use Workspace Resolution in multi-module project, latest versions of everything","2020-11-25 22:42:46"
551806,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Classes Missing from Jar","2019-10-05 12:08:10"
560719,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Silently failing project configuration","2020-03-03 07:32:10"
565031,"M2E-WTP","jsf","m2e-wtp.core-inbox","UNCONFIRMED"," ---","maven bug","2020-07-07 15:11:44"
565362,"M2E-WTP","build","m2e-wtp.core-inbox","UNCONFIRMED"," ---","While processing maven update the Deployment Assembly of the project has been resets","2020-07-20 08:24:29"
542693,"M2E-WTP","Core","m2e-wtp.core-inbox","NEW"," ---","Enable context menu for the 'Deployed Resources' node","2018-12-13 10:04:41"
543057,"M2E-WTP","Core","m2e-wtp.core-inbox","NEW"," ---","""Maven -> Update Project"" keeps adding more and more whitespaces and newlines to org.eclipse.wst.common.component","2020-05-11 20:02:07"
553881,"M2E-WTP","build","m2e-wtp.core-inbox","NEW"," ---","Please fix the problems associated with your simrel contribution","2020-08-09 01:38:09"
561783,"M2E-WTP","Core","m2e-wtp.core-inbox","NEW"," ---","Update Maven Project deletes Tomcat reference in .classpath","2020-04-06 19:39:20"
563438,"M2E-WTP","Core","m2e-wtp.core-inbox","NEW"," ---","NullPointerException in VirtualFolder.tagResource(VirtualFolder.java:161)","2020-05-21 13:51:58"
567301,"M2E-WTP","build","m2e-wtp.core-inbox","NEW"," ---","Expired certificates in some m2e wtp components?","2020-09-23 19:00:34"
538559,"M2E-WTP","Core","m2e.core-inbox","NEW"," ---","Importing a Maven project with preconfigured APT results in genTestSrcDir being put into deployment","2018-12-28 11:42:34"
566617,"M2E-WTP","Core","m2e-wtp.core-inbox","REOPENED"," ---","[search] Completions do not show the first time, but do the second time","2020-10-25 21:55:46"
530958,"M2E-WTP","Core","m2e-wtp.core-inbox","RESOLVED","FIXED","Web facet 4.0 support needed for web project configurator","2018-05-16 17:12:12"
534551,"M2E-WTP","jax-rs","m2e-wtp.core-inbox","RESOLVED","FIXED","Add JAX-RS 2.1 Facet detection","2018-05-16 17:13:07"
534779,"M2E-WTP","Core","m2e-wtp.core-inbox","RESOLVED","FIXED","Add support for application client 8","2018-05-16 17:13:47"
534780,"M2E-WTP","Core","m2e-wtp.core-inbox","RESOLVED","FIXED","Add support for web fragment 4.0","2018-05-16 17:14:19"
