"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
562431,"MDMBL","General","mdmbl-inbox","UNCONFIRMED"," ---","[REST] Filter does not work (eg. ""/measurements?filter=Measurement.Id in (1)"")","2020-04-23 05:25:10"
564961,"MDMBL","General","mdmbl-inbox","UNCONFIRMED"," ---","[REST] Make AoSession accessible","2020-07-06 05:45:15"
565286,"MDMBL","General","mdmbl-inbox","UNCONFIRMED"," ---","File seprator '\' with remotePath handling","2020-07-16 21:01:05"
565694,"MDMBL","General","mdmbl-inbox","UNCONFIRMED"," ---","Client crash on /channel response timeout","2020-07-30 04:23:30"
568095,"MDMBL","General","mdmbl-inbox","UNCONFIRMED"," ---","ODSEntityType relation handling broken","2020-10-22 06:42:26"
567802,"MDMBL","General","angelika.wittek","NEW"," ---","Support for 5.1.0","2020-10-12 05:41:53"
561943,"MDMBL","General","m.koller","NEW"," ---","Nodeprovider: Features Prio 1","2020-11-30 10:08:56"
532096,"MDMBL","General","mdmbl-inbox","NEW"," ---","Jenkins: add test coverage to sonar builds","2018-03-07 04:28:46"
544281,"MDMBL","General","mdmbl-inbox","NEW"," ---","Use openJDK 8 for Jenkins builds","2020-01-13 05:45:14"
553228,"MDMBL","General","mdmbl-inbox","NEW"," ---","[REST] Exported ATFX should only contain necessary data","2020-01-13 05:39:22"
553368,"MDMBL","General","mdmbl-inbox","NEW"," ---","Quantity should implement Versionable","2020-01-13 05:32:13"
559494,"MDMBL","General","mdmbl-inbox","NEW"," ---","Export data: extend ATFX files for NVH data","2020-02-05 10:15:53"
559596,"MDMBL","General","mdmbl-inbox","NEW"," ---","Swagger codegen result dose not compile","2020-05-29 03:37:09"
559866,"MDMBL","General","mdmbl-inbox","NEW"," ---","Modularization of the openMDM Web Client and provisioning of so called “extension points” or “hook-ups”","2020-03-05 04:02:05"
559868,"MDMBL","General","mdmbl-inbox","NEW"," ---","Implement ODS Adapter for ASAM ODS 6.0 Standard","2020-02-05 10:27:47"
559869,"MDMBL","General","mdmbl-inbox","NEW"," ---","Provide documentation for the openMDM Application Model","2020-02-05 10:30:07"
560048,"MDMBL","General","mdmbl-inbox","NEW"," ---","Requirements for Nodeprovider","2020-08-12 08:53:59"
561702,"MDMBL","General","mdmbl-inbox","NEW"," ---","Repo restruct: archive old repos","2020-05-25 05:39:15"
564053,"MDMBL","General","mdmbl-inbox","NEW"," ---","[REST] IS_NULL Filter leads to a NullPointerException","2020-06-08 02:49:04"
565072,"MDMBL","General","mdmbl-inbox","NEW"," ---","[Client] TableView for X/Y-Viewer","2020-07-29 06:14:34"
565073,"MDMBL","General","mdmbl-inbox","NEW"," ---","Extend Channels to be tagable","2020-07-29 06:14:54"
565074,"MDMBL","General","mdmbl-inbox","NEW"," ---","Full range of measurement value flags","2020-07-29 06:15:23"
566724,"MDMBL","General","mdmbl-inbox","NEW"," ---","Provide AsciiDoc Documentation Files and Build","2020-09-07 05:15:32"
568947,"MDMBL","General","mdmbl-inbox","NEW"," ---","Remove readValues Request for loading axistype and independent flag in chart-viewer-data.service","2020-11-19 02:48:46"
568979,"MDMBL","General","mdmbl-inbox","NEW"," ---","Add getSourceName() to BaseApplicationContext","2020-11-20 03:25:57"
545737,"MDMBL","General","a.nehmer","ASSIGNED"," ---","[REQU-118] Contributions from ATOS (REST-API, EntityTypes, Relations, TemplateVersions)","2020-02-17 06:44:43"
545738,"MDMBL","General","a.nehmer","ASSIGNED"," ---","Allow custom EntityTypes","2020-09-02 12:27:50"
545740,"MDMBL","General","a.nehmer","ASSIGNED"," ---","Replace PUT with POST for partial updates","2020-01-13 06:12:47"
545741,"MDMBL","General","a.nehmer","ASSIGNED"," ---","JSON format of POST requests (create, update) should correspond with GET response syntax","2020-01-13 06:12:58"
545742,"MDMBL","General","a.nehmer","ASSIGNED"," ---","Relation information missing in JSON-response","2020-01-13 06:13:09"
545744,"MDMBL","General","a.nehmer","ASSIGNED"," ---","Update of relations not possible","2020-01-13 06:13:23"
545764,"MDMBL","General","a.nehmer","ASSIGNED"," ---","TemplateRoot versions cannot be created","2020-01-13 06:13:32"
544574,"MDMBL","General","m.koller","ASSIGNED"," ---","notification regarding a timeout","2020-01-13 05:01:37"
549846,"MDMBL","General","m.koller","ASSIGNED"," ---","[REST] Add DataType attribute to CatalogComponentAttribute response","2020-05-29 04:30:27"
549925,"MDMBL","General","m.koller","ASSIGNED"," ---","[REST] [ATFX] Im-/Export - Add Enumeration Handling","2020-01-13 05:16:47"
552661,"MDMBL","General","m.koller","ASSIGNED"," ---","CatalogAttribute Unit is not set when loading from ODS.","2020-01-20 03:23:02"
561811,"MDMBL","General","m.koller","ASSIGNED"," ---","Update Demo to 5.2.0M1","2020-05-25 05:17:21"
569462,"MDMBL","General","m.koller","ASSIGNED"," ---","Quickviewer and ChartViewer should take flags into account","2020-12-09 03:47:45"
569591,"MDMBL","General","m.koller","ASSIGNED"," ---","Exception if downloading file with empty/invalid mimetype","2020-12-09 11:59:18"
563128,"MDMBL","General","simon.skoczylas","ASSIGNED"," ---","Add swagger documentation to REST endpoints","2020-05-25 05:20:11"
545907,"MDMBL","General","a.nehmer","RESOLVED","MOVED","REST-API tests broken","2019-10-31 05:43:20"
529568,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Junit Tests have to run stand alone","2018-10-16 06:14:58"
529569,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[REQU-103] Using Shopping Basket (Search results)","2018-10-16 06:17:21"
529867,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Jenkins builds fail since 12.01.17","2018-10-16 06:18:03"
529887,"MDMBL","General","angelika.wittek","CLOSED","FIXED","FileUpload throws java.net.UnknownHostException","2018-10-16 06:19:11"
529993,"MDMBL","General","angelika.wittek","CLOSED","WONTFIX","Add shrinkwrap file to the web client project","2019-06-13 10:22:49"
530511,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Missing progress bar","2018-02-26 05:24:55"
530512,"MDMBL","General","angelika.wittek","CLOSED","FIXED","Missing Information after change tabs","2018-10-16 06:11:27"
530713,"MDMBL","General","angelika.wittek","CLOSED","FIXED","[REQU-105] Elasticsearch indexing of multiple datasources","2018-10-16 06:06:42"
530775,"MDMBL","General","angelika.wittek","CLOSED","FIXED","ODS adapter: getParameters exposes sensitive information","2018-10-16 06:03:34"
