"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
534919,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Failed to generate modisco xmi model: java.lang.ClassCastException: org.eclipse.gmt.modisco.java.emf.impl.MethodDeclarationImpl cannot be cast to org.eclipse.gmt.modisco.java.AnnotationTypeMemberDeclaration","2018-05-21 12:55:34"
545880,"MoDisco","Main","modisco.web-inbox","NEW"," ---","NPE when generics are used in inline imports","2019-03-28 04:58:49"
552989,"MoDisco","Main","modisco.web-inbox","NEW"," ---","[tests] Migrate to life support","2020-01-16 11:34:31"
553132,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Refresh documentation build","2019-11-27 02:27:24"
553425,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Create/Refresh OOMPH setup","2019-11-25 09:16:22"
557989,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Accommodate demise of BIRT","2020-01-15 05:55:12"
559115,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Maintain currency with UML 2.5","2020-01-30 12:19:25"
559265,"MoDisco","Main","modisco.web-inbox","NEW"," ---","MoDisco is not a good Eclipse citizen","2020-01-17 09:26:25"
559269,"MoDisco","Main","modisco.web-inbox","NEW"," ---","http://www.eclipse.org/emf/facet/serialization/0.1.incubation wasn't renamed","2020-03-06 12:32:59"
559506,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Debug KDMtoUML for non-trivial models","2020-02-05 05:10:17"
559507,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Maintain KDM currency","2020-01-24 07:47:19"
568144,"MoDisco","Main","modisco.web-inbox","NEW"," ---","[birt] Resolve BIRT dependencies from MAT repo","2020-11-26 15:31:55"
534871,"MoDisco","Main","modisco.web-inbox","RESOLVED","WONTFIX","MoDisco packaging must not use EPL 2.0","2019-11-25 16:25:01"
545748,"MoDisco","Technologies","fgiquel","RESOLVED","DUPLICATE","Java source code generation failed","2019-03-25 12:41:45"
552871,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Bad org.eclipse.emf.ecore.generated_package registration in org.eclipse.modisco.utils.chart.metamodel","2020-02-17 11:12:04"
552988,"MoDisco","UseCases","modisco.web-inbox","RESOLVED","FIXED","Migrate to Life Support, rejoin SimRel","2019-11-25 09:02:30"
553058,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain Antlr currency","2019-11-25 08:42:24"
553066,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Multiple ""Commands should really have a category"" at start up","2019-11-25 08:40:46"
553120,"MoDisco","Main","modisco.web-inbox","RESOLVED","WONTFIX","Rejuvenate existing Modisco Jenkins job","2019-11-17 05:03:10"
553130,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain CDO currency","2019-11-25 08:31:40"
553277,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain Java currency","2019-11-25 08:32:36"
553310,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Migrate plugins from EMF Facet","2020-03-03 15:28:21"
553370,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain Acceleo currency","2019-11-25 08:37:36"
553375,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain org.prefuse, org.apache.lucene currency","2019-11-25 08:29:01"
553387,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintain SMM currency","2020-01-30 12:45:50"
553388,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Migrate to EPL 2.0","2019-11-25 16:25:01"
553390,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","[tests] Intermittent org.eclipse.modisco.java.composition.discoverer.tests,TestMemoryUsage failure","2019-11-26 12:42:11"
553426,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Refresh Gerrit Build","2019-11-25 14:14:49"
559016,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Bug 318638 - Transformation KDM 2 UML : exception EmptyStackException from ATL which was marked closed is still present","2020-02-04 01:41:27"
559109,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Maintenance release fails BundleTEsts","2020-01-13 10:32:52"
559205,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Unstable global EPackage registry","2020-01-28 16:43:05"
559718,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","Archive org.eclipse.modisco.usecase.perfannotatedumlstatechart","2020-01-30 12:28:08"
569036,"MoDisco","Main","modisco.web-inbox","RESOLVED","FIXED","[releng] Maintain platform currency","2020-11-22 17:03:14"
533168,"MoDisco","Main","fgiquel","CLOSED","FIXED","(releng) OutOfMemory during quality postprocessing because large number of checkstyle warnings","2018-05-17 03:46:30"
