"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529753,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","When restarting Eclipse, many closed editor buffers reappear","2018-01-16 17:00:29"
530180,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","TESTEST","2020-06-04 12:56:23"
538435,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","Could mylyn.tasks.index.core be updated to Apache Lucene Queryparser 7.5?","2018-10-26 09:58:14"
539265,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","An error occurred while collecting items to be installed","2020-06-04 12:56:29"
543031,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Eclipse C/C++ IDE : Not able to debug a simple C++ Hello World Application.","2020-06-04 12:56:28"
543643,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Problem with BugzillaRestUiUtil_EnterTitleAndURL1","2020-06-04 12:56:28"
545625,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Report Bug or Enhancement not working","2020-06-04 12:56:22"
546638,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","Task Editor should use new API to make title selectable","2019-04-23 02:43:43"
548452,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","TaskList view failing with  an error in a new workspace","2019-06-20 02:34:45"
552750,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Automated MyLyn Upgrades Apparently Fail because of a conflicting dependency. Is it relevant that version 3.25.0's timestamp is about 3 months before 3.24.2's?","2020-06-06 09:09:43"
558753,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","Unresolved Mylyn bundles on Java 11 due to old org.apache.xmlrpc dependency","2020-03-13 05:07:18"
565002,"Mylyn Tasks","Framework","mylyn-inbox","NEW"," ---","separate editor restoration on task swicth and closing of editors in active task","2020-07-31 05:34:42"
531617,"Mylyn Tasks","Bugzilla","eclipse","ASSIGNED"," ---","Convert Bugzilla Junit3 to junit4 tests","2018-03-28 13:23:43"
549530,"Mylyn Tasks","Framework","eclipse","ASSIGNED"," ---","Add Task Repository... dialog too wide","2019-07-25 13:46:06"
546530,"Mylyn Tasks","Framework","jaxsun.mccarthy","ASSIGNED"," ---","Mylyn will display gold colored Task icon for unassigned tasks when the repository has no username","2019-04-17 16:52:20"
535879,"Mylyn Tasks","Framework","alexei.trebounskikh","RESOLVED","FIXED","[performance] Loading a large tasklist.xml takes a long time","2018-06-22 16:14:59"
537208,"Mylyn Tasks","Framework","alexei.trebounskikh","RESOLVED","FIXED","Task data filename can get too long","2018-12-18 18:23:01"
531317,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","FIXED","Release of Bugzilla 5.1.2, 5.0.4, and 4.4.13","2018-03-02 11:05:50"
532275,"Mylyn Tasks","Framework","eclipse","RESOLVED","FIXED","store the template property values in the task repository","2018-06-28 16:37:33"
534407,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","FIXED","BugzillaRestPostNewTask.TaskAttributeTypeAdapter.write wrong compare","2018-06-28 16:37:33"
534606,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","WONTFIX","[releng] cleanup bugzilla setup","2020-08-01 01:59:29"
549811,"Mylyn Tasks","Trac","eclipse","RESOLVED","FIXED","com.google.gson as dependency","2020-08-01 02:01:08"
558210,"Mylyn Tasks","Framework","eclipse","RESOLVED","FIXED","Task List view “Failed to create the part’s controls”","2020-10-11 07:38:28"
561245,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","fix file upload error","2020-06-06 07:56:11"
561246,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","find the reason","2020-06-06 07:55:44"
561972,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","BugSubmitTest","2020-06-06 07:55:16"
562092,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","Bug","2020-06-06 07:54:33"
563002,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","Task Example","2020-06-06 07:51:29"
563043,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","ExampleBug","2020-06-06 07:50:52"
563044,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","TestBug1","2020-06-06 07:52:01"
563048,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","TrialTask1","2020-06-06 07:52:42"
563049,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","Bugzilla Trial Example 1","2020-06-06 07:53:15"
563052,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","ExampleBug","2020-06-06 07:53:41"
563053,"Mylyn Tasks","Bugzilla","eclipse","RESOLVED","INVALID","exampleBugno2","2020-06-06 07:54:08"
536815,"Mylyn Tasks","Bugzilla","mylyn-inbox","RESOLVED","INVALID","Actualizar Documentación","2018-07-09 04:05:19"
538100,"Mylyn Tasks","Bugzilla","sam.davis","RESOLVED","FIXED","[release] release Mylyn 3.24.2","2018-09-18 16:33:26"
