"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
532737,"Mylyn","Web","alexei.trebounskikh","NEW"," ---","Update to Apache HttpClient 4.5.5","2018-06-15 17:37:39"
548846,"Mylyn","Tasks","eclipse","NEW"," ---","Mylyn should use High Resolution PNGs","2020-11-10 10:11:00"
529862,"Mylyn","Core","mylyn-inbox","NEW"," ---","Exception in org.eclipse.mylyn.internal.tasks.ui.TasksUiPlugin.stop()","2018-01-16 04:43:39"
530159,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","Test","2018-02-11 13:55:13"
530161,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","ievbzoehibv","2018-01-23 05:56:12"
530332,"Mylyn","Java","mylyn-inbox","NEW"," ---","Add visual timer","2018-01-25 14:51:44"
530469,"Mylyn","Trac","mylyn-inbox","NEW"," ---","Mylyn storing Trac ticket-custom time fields as strings - type mismatch breaks updates","2018-01-29 18:17:05"
530604,"Mylyn","Monitor","mylyn-inbox","NEW"," ---","The Monitor is not working properly","2018-02-01 05:54:48"
530642,"Mylyn","Core","mylyn-inbox","NEW"," ---","Task View: ""Activate..."" label 'shortened' to ""Activate...."" (four dots)","2018-02-02 11:08:12"
530646,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","Move Help > Report Bug or Enhancement out of ""tips"" section next to Contribute","2018-02-02 04:35:36"
531529,"Mylyn","UI","mylyn-inbox","NEW"," ---","[dark] Patches of inconsistent background colour when using the dark theme","2018-02-22 05:59:03"
531540,"Mylyn","UI","mylyn-inbox","NEW"," ---","[dark] Incoming comments have white styling","2018-02-22 09:39:07"
531541,"Mylyn","Core","mylyn-inbox","NEW"," ---","Task attachments missing from table","2018-02-22 09:45:32"
533119,"Mylyn","Core","mylyn-inbox","NEW"," ---","First line of commit template ends with superfluous blank","2018-12-14 17:59:27"
533761,"Mylyn","Web","mylyn-inbox","NEW"," ---","Fix broken HTML on Mylyn website","2018-04-18 09:32:34"
534531,"Mylyn","UI","mylyn-inbox","NEW"," ---","[Mylyn] UI Problems in Task List and editor","2018-05-10 05:49:45"
535207,"Mylyn","UI","mylyn-inbox","NEW"," ---","[dark] Better colors for ""All"" and ""New Tasks"" links","2018-05-28 10:26:41"
535210,"Mylyn","UI","mylyn-inbox","NEW"," ---","[Dark Theme] Use updated help icons from eclipse.platform.images","2018-05-28 10:39:57"
535620,"Mylyn","Core","mylyn-inbox","NEW"," ---","Incorrect Auto-switching of source documents in context view","2018-06-06 18:07:10"
536919,"Mylyn","Web","mylyn-inbox","NEW"," ---","Login problem of Generic web-based repository access for Redmine","2018-07-11 11:25:41"
537174,"Mylyn","Core","mylyn-inbox","NEW"," ---","Impossible to update to latest version","2018-08-22 14:47:29"
538257,"Mylyn","Releng","mylyn-inbox","NEW"," ---","Error Performing Updated for Mylyn","2018-09-03 10:28:04"
539794,"Mylyn","Core","mylyn-inbox","NEW"," ---","Size of the Notification Popup is not correct when having a long wrapped label.","2018-10-04 10:14:30"
540322,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","Bugzilla and Trac connector do not work under Java 11","2019-05-09 10:14:39"
540334,"Mylyn","Core","mylyn-inbox","NEW"," ---","Polling news feeds","2018-12-14 12:20:18"
540483,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","Editors Do Not Open on Activate","2018-10-25 14:02:04"
541122,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","TODO Tasks shows 0 results for selected elements, but works while Project->Clean is in progress","2018-11-16 19:46:55"
543486,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","Task list icons too large on 4k screen","2019-01-16 07:28:37"
543715,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","After updating from 4.9 to 4.10 eclipse does not start anymore","2019-01-23 11:22:28"
544703,"Mylyn","UI","mylyn-inbox","NEW"," ---","""Show filtered children"" shows not just children, but","2019-02-22 04:46:34"
544705,"Mylyn","UI","mylyn-inbox","NEW"," ---","nodes removed from context in editor do not disappear and cannot be removed in package view","2019-02-22 04:51:56"
546164,"Mylyn","Releng","mylyn-inbox","NEW"," ---","org.eclipse.mylyn.sdk-feature includes org.apache.lucene 7.1.0 but only requires 6.1.0","2020-10-19 12:48:32"
546359,"Mylyn","UI","mylyn-inbox","NEW"," ---","[Wayland] Due date picker is displayed far from clicked button","2019-04-16 01:24:37"
546753,"Mylyn","UI","mylyn-inbox","NEW"," ---","Wikitext fails to load test Markdown file","2019-04-25 15:35:40"
549699,"Mylyn","Releng","mylyn-inbox","NEW"," ---","[release] Release Mylyn 3.26","2020-06-26 19:37:35"
551379,"Mylyn","Doc","mylyn-inbox","NEW"," ---","Wrong anchor for markdown headers","2019-11-06 11:16:28"
553313,"Mylyn","Releng","mylyn-inbox","NEW"," ---","3.26 snapshot p2 repo is half empty","2019-11-21 09:32:06"
558387,"Mylyn","Java","mylyn-inbox","NEW"," ---","SVN: 'Open Report Editor' operation finished with error","2019-12-17 01:38:34"
561545,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","[Bug Report] Creation of a support request failed. The information for the selected product is incomplete","2020-07-27 21:28:21"
564443,"Mylyn","UI","mylyn-inbox","NEW"," ---","Items colors in Project Explorer are unchangeable","2020-08-04 06:33:14"
564655,"Mylyn","UI","mylyn-inbox","NEW"," ---","Markdown viewer should support simple tables","2020-06-25 10:27:19"
565270,"Mylyn","UI","mylyn-inbox","NEW"," ---","Unpredictable and implausible closing of editors","2020-07-31 06:00:00"
568044,"Mylyn","Core","mylyn-inbox","NEW"," ---","Can not start a jenkins build","2020-10-20 09:18:26"
568614,"Mylyn","UI","mylyn-inbox","NEW"," ---","Problems during content assist org.eclipse.mylyn.java.ui runtime exception","2020-11-07 17:54:10"
569078,"Mylyn","Core","mylyn-inbox","NEW"," ---","Mylyn commons notifications has inconsistent use of jaxb","2020-11-23 15:06:07"
569176,"Mylyn","Releng","mylyn-inbox","NEW"," ---","Marketplace contains incorrect version of Mylyn","2020-11-26 05:07:05"
569208,"Mylyn","Core","mylyn-inbox","NEW"," ---","Mylyn bundles unresolved when launchbar is installed","2020-11-26 07:32:52"
569500,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","test","2020-12-05 15:46:41"
569501,"Mylyn","Tasks","mylyn-inbox","NEW"," ---","New page","2020-12-05 15:50:10"
542870,"Mylyn","Core","alexei.trebounskikh","ASSIGNED"," ---","Mylyn is not compatible with Java 11","2019-01-21 20:33:21"
537024,"Mylyn","Releng","eclipse","ASSIGNED"," ---","update Mylyn to httpclient 4.5.5 and httpcore 4.4.9","2020-08-01 03:29:24"
561838,"Mylyn","Releng","eclipse","ASSIGNED"," ---","fix the failing Mylyn Jenkins Jobs at https://ci.eclipse.org/mylyn","2020-04-09 16:24:27"
563754,"Mylyn","Releng","eclipse","ASSIGNED"," ---","replace http://subclipse.tigris.org with https://dl.bintray.com/subclipse/archive/release/","2020-10-08 02:55:47"
567209,"Mylyn","UI","eclipse","ASSIGNED"," ---","Very long title creates unusable confirmation dialog","2020-11-02 23:32:39"
543815,"Mylyn","Tasks","natasha.carson","ASSIGNED"," ---","Mylyn should use buffered output streams","2019-01-31 17:51:20"
543548,"Mylyn","Bugzilla","alexei.trebounskikh","RESOLVED","FIXED","[release] release Mylyn 3.24.3","2020-06-04 12:52:47"
548295,"Mylyn","Releng","colin.ritchie","RESOLVED","FIXED","[release] release Mylyn 3.25","2020-06-06 09:14:56"
545757,"Mylyn","Core","dawn.baikie","RESOLVED","FIXED","Fix failing Mylyn builds","2019-06-18 18:44:14"
532278,"Mylyn","Releng","eclipse","RESOLVED","FIXED","add Photon to mylyn.setup","2018-03-28 13:13:37"
