"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
566632,"NatTable","Core","nattable.core-inbox","UNCONFIRMED"," ---","ComboBoxCellEditor: Option to focus Filterbox when showing Dropdown Control","2020-09-03 10:29:21"
559187,"NatTable","Core","dirk.fauth","NEW"," ---","Reduce memory consumption and improve performance","2020-12-07 05:11:51"
536758,"NatTable","Core","nattable.core-inbox","NEW"," ---","[Formula] Getting a result even if the formula can't be entirely interpreted","2018-07-09 01:16:20"
553679,"NatTable","Core","dirk.fauth","ASSIGNED"," ---","Linear-time row mapping in AbstractRowHideShowLayer hangs UI thread","2020-12-07 11:43:27"
551861,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Update project setup","2020-11-26 09:16:30"
551868,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Use Java 8 API","2020-04-29 00:59:31"
551900,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Performance grouping - unbreakable groups broken when reordering with hidden edges","2020-03-06 06:01:43"
552558,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Fix warnings","2020-11-26 09:16:02"
552565,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Align hideshow layer interfaces","2019-10-30 13:44:37"
552571,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Support int[] handling in PositionUtil","2019-10-30 12:11:43"
552575,"NatTable","GlazedLists Extension","dirk.fauth","RESOLVED","FIXED","Filter converted data","2019-10-31 02:09:31"
552651,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Content assist popup in TextCellEditor steals focus from cell editor","2019-11-15 02:19:30"
552727,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","TreeLayer tree icons at wrong position on collapse","2020-02-11 05:00:26"
553105,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Selection border rendered in frozen area","2019-11-15 10:52:47"
553341,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Incorrect percentage sizing when increasing last column","2019-11-22 05:44:31"
553731,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","ColumnChooser does not sort column groups","2019-12-04 02:22:04"
558364,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Potential NPE in ComboBoxCellEditor","2019-12-16 08:23:27"
558393,"NatTable","GlazedLists Extension","dirk.fauth","RESOLVED","FIXED","Update GlazedLists dependency to 1.11.0","2019-12-17 07:27:09"
558398,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Performance leak in AbstractTreeRowModel","2019-12-17 08:12:22"
559153,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Update target platform (Eclipse Collections & Nebula 2.3.0)","2020-01-14 08:35:58"
559192,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Incorrect rendering for freeze and performance grouping","2020-01-16 03:45:59"
559249,"NatTable","Nebula Extension","dirk.fauth","RESOLVED","FIXED","RichTextCellEditor drop deprecated usage of ToolbarConfiguration","2020-01-16 07:25:53"
560029,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Harmonize scaling","2020-10-02 06:50:34"
560669,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","ShowColumnPositionsEvent.convertToLocal bug","2020-03-04 08:12:55"
560784,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Add missing style configurations to default themes","2020-04-29 00:57:37"
560802,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Add zoom capability","2020-04-29 00:57:03"
560927,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Hide indicator not rendered with GroupByHeaderLayer","2020-03-09 11:21:44"
560931,"NatTable","E4 Extension","dirk.fauth","RESOLVED","FIXED","Add missing styling options to CSS handling","2020-04-29 00:58:57"
561924,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Remove deprecated classes, fields and methods","2020-04-09 10:41:53"
561953,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Make LabelStack a List<String>","2020-04-09 10:42:02"
562423,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Extend ILayer interface","2020-04-23 10:04:54"
564108,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Enable JUnit5","2020-07-27 12:51:14"
565389,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Issue when clicking enter button in CellEditorDialog using MultiLineTextCellEditor","2020-07-27 13:19:56"
565581,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Fix issues reported by Sonar","2020-12-07 04:54:10"
566069,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Dialog size to small on high dpi","2020-08-14 04:05:10"
566843,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Drop extension.builder project","2020-10-02 00:09:56"
566978,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Replace Apache Commons Logging with SLF4J","2020-09-15 03:19:49"
567237,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","[Scaling] Resize for percentage sized columns/rows not working correctly","2020-09-22 10:36:21"
567510,"NatTable","E4 Extension","dirk.fauth","RESOLVED","FIXED","Editor not activated on tab traversal","2020-10-02 12:03:00"
567540,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","StackOverflow in findColumnPosition/findRowPosition","2020-10-02 06:08:28"
567545,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Spanning incorrect when hiding columns/rows","2020-10-26 05:35:23"
568002,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Column resize in mixed percentage/pixel width configuration incorrect with display scaling","2020-11-03 07:56:01"
568063,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Add abstract wrapping spanning data provider","2020-10-21 06:09:35"
568238,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","CSV export should export according to RFC4180","2020-10-26 05:20:42"
568568,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","SWTError: No more handles when printing without available default printer","2020-12-01 05:31:53"
568712,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Add commands for hiding columns/rows by index","2020-11-11 06:31:40"
568893,"NatTable","POI Extension","dirk.fauth","RESOLVED","FIXED","Update Apache POI to 4.1.1","2020-11-26 08:51:34"
569190,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Column resize broken in mixed mode after resize of fixed size column","2020-11-30 07:31:40"
569429,"NatTable","Core","dirk.fauth","RESOLVED","FIXED","Change String based constants to enums","2020-12-03 11:19:20"
553800,"NatTable","Core","nattable.core-inbox","RESOLVED","FIXED","When there are 3 levels of column group, then NatTable layouts columns strangely","2019-12-05 03:38:47"
560865,"NatTable","Core","nattable.core-inbox","RESOLVED","FIXED","Add inverted checkbox icons","2020-04-29 00:56:31"
561850,"NatTable","Core","nattable.core-inbox","RESOLVED","FIXED","[DateTime] Prevent display glitches when being focussed","2020-04-08 02:22:02"
566306,"NatTable","Core","nattable.core-inbox","RESOLVED","INVALID","Compilation error in the Tycho build","2020-09-01 08:16:54"
567879,"NatTable","Core","nattable.core-inbox","RESOLVED","FIXED","PopupMenuBuilder.withSeparator methods should add ContributionItems that return true on isSeparator","2020-10-19 09:14:03"
561282,"NatTable","E4 Extension","dirk.fauth","VERIFIED","FIXED","NatTableWrapper causes a memory leak with AbstractCSSEngine","2020-03-30 09:30:38"
561523,"NatTable","E4 Extension","dirk.fauth","VERIFIED","FIXED","Memory Leak in NatTableElementAdapter","2020-03-30 09:30:26"
529362,"NatTable","Core","dirk.fauth","CLOSED","FIXED","List performance improvements","2019-09-19 03:15:01"
529407,"NatTable","Core","dirk.fauth","CLOSED","FIXED","Align selection handling with pressed modifier keys","2019-09-19 03:15:08"
529439,"NatTable","Core","dirk.fauth","CLOSED","FIXED","[NatCombo] comma treated as separator in multiselect == false","2019-09-19 03:14:57"
529480,"NatTable","Core","dirk.fauth","CLOSED","FIXED","[Selection] Add command to trigger region selection","2019-09-19 03:15:01"
529745,"NatTable","Core","dirk.fauth","CLOSED","FIXED","Setting ColumnGroupModel.ColumnGroup#collapseable while creation time of ColumnGroupModel","2019-09-19 03:15:04"
529779,"NatTable","Core","dirk.fauth","CLOSED","FIXED","Flickering horizontal scrollbar on window resize with percentage sizing","2019-09-19 03:15:08"
530061,"NatTable","Core","dirk.fauth","CLOSED","FIXED","Make AlternatingRowConfigLabelAccumulator extensible","2019-09-19 03:14:57"
