"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
562273,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Permanent location on C drive without Administrator","2020-11-06 04:21:39"
565026,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Installer Build 4683 fails to create menu/desktop shortcuts","2020-07-17 02:26:24"
565253,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Issue opening eclipse+installer URL on Kubuntu","2020-07-17 03:12:37"
566802,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Accessing setups in enterprise github with SAML authentication","2020-09-16 02:08:25"
567186,"Oomph","Project Configuration","oomph-inbox","UNCONFIRMED"," ---","Configuration for ""org.eclipse.oomph.setup"" stored in the wrong place.","2020-09-23 04:27:08"
569496,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Wrong terminology for Gerrit name used in Variables dialog","2020-12-06 01:24:52"
569513,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Setting up platform-ui SDK environment fails.","2020-12-06 14:13:17"
536533,"Oomph","Docs","Ed.Merks","NEW"," ---","Eclipse Platform SDK Provisioning","2020-05-30 03:35:01"
550361,"Oomph","P2 Management","Ed.Merks","NEW"," ---","Provide support for generating a p2 repository quality report","2020-01-28 01:36:25"
562040,"Oomph","Setup","Ed.Merks","NEW"," ---","Provide support for donation from within the IDE","2020-06-15 10:29:06"
565349,"Oomph","Setup","Ed.Merks","NEW"," ---","Provide support for installing a product's JRE from a p2 update site","2020-08-10 18:34:49"
569111,"Oomph","Setup","Ed.Merks","NEW"," ---","Provide Installer also for aarch64","2020-12-01 06:48:39"
547680,"Oomph","Setup","oomph-inbox","NEW"," ---","JRE with executionEnvironmentDefault=true not overriding existing default","2019-05-27 05:37:47"
550112,"Oomph","Setup","oomph-inbox","NEW"," ---","Oomph configurator should offer Dark Theme","2019-11-14 05:29:01"
551315,"Oomph","Setup","oomph-inbox","NEW"," ---","Register for an URI extension to start Oomph installer by clicking on an URI","2019-11-04 07:15:51"
552245,"Oomph","Setup","oomph-inbox","NEW"," ---","Provide support for reporting on marketplace.eclipse.org","2019-11-22 09:42:14"
558779,"Oomph","Setup","oomph-inbox","NEW"," ---","Allow to specify URI patterns in TextModification tasks","2020-01-04 02:19:10"
558816,"Oomph","Project Configuration","oomph-inbox","NEW"," ---","Enhance project configuration support to be production quality","2020-01-06 01:52:00"
560565,"Oomph","Setup","oomph-inbox","NEW"," ---","Provide support for a branding-based notification button","2020-03-06 03:33:26"
564140,"Oomph","Utilities","oomph-inbox","NEW"," ---","Use https in repository finder","2020-06-10 00:55:20"
564816,"Oomph","Setup","oomph-inbox","NEW"," ---","Many setups need to change to use JRE 11","2020-07-01 04:15:03"
565546,"Oomph","Setup","oomph-inbox","NEW"," ---","Provide support for launching a product with an embedded JRE","2020-08-13 02:06:24"
567423,"Oomph","Setup","oomph-inbox","NEW"," ---","[Dark Theme] Properties table in confirmation dialog not styled dark","2020-09-30 02:14:42"
567828,"Oomph","Setup","oomph-inbox","NEW"," ---","consider adding eclipse to users path to make it work consistently on all platforms","2020-12-03 10:55:40"
568389,"Oomph","Dynamic Working Sets","oomph-inbox","NEW"," ---","Dynamic WorkingSets based on features","2020-10-30 03:53:02"
544340,"Oomph","Setup","Ed.Merks","RESOLVED","FIXED","AWT related fatal error on first run","2019-05-28 03:09:50"
564206,"Oomph","Setup","eclipse","RESOLVED","FIXED","LaunchTask can fail when Job for projects import task is not finished","2020-06-21 07:53:18"
564220,"Oomph","Setup","eclipse","RESOLVED","FIXED","Add Gerrit Config to submodules","2020-06-21 07:38:43"
564485,"Oomph","Setup","eclipse","RESOLVED","FIXED","NPE in EnablementComposite if eclipse.p2.mirrors=false in ini","2020-06-21 06:22:45"
529847,"Oomph","Utilities","Ed.Merks","RESOLVED","FIXED","Improve version builder dependency range checking","2018-01-15 23:33:30"
530083,"Oomph","Setup","Ed.Merks","RESOLVED","FIXED","Add setup for the Eclipse TeXlipse project","2018-06-01 14:59:27"
532062,"Oomph","Setup","Ed.Merks","RESOLVED","FIXED","NullPointerException  at org.eclipse.oomph.resources.backend.BackendResource.getRelativeURI(BackendResource.java:133)","2018-03-07 04:17:04"
532155,"Oomph","Setup","Ed.Merks","RESOLVED","FIXED","TargetPlatformTask does not react to resolution errors","2018-03-14 03:29:18"
