"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529917,"Orion","Git","Carolyn_MacLeod","NEW"," ---","Add selected file count to ""Changes will be discarded"" message","2018-01-16 17:04:38"
544020,"Orion","Editor","grant_gayed","NEW"," ---","make preview pane of Markdown editor zoomable","2019-01-31 13:38:31"
543541,"Orion","Client","libingw","NEW"," ---","Regression : ContentAssist broken for non LSP services after commit 8acdb5c8651688a7d885ee10f9a59d300b82d58f","2020-10-09 03:50:10"
529384,"Orion","Client","orion.client-inbox","NEW"," ---","Bug while dragging transient tab","2018-01-03 13:42:27"
530516,"Orion","JS Tools","orion.client-inbox","NEW"," ---","Support JSDoc synonyms","2018-01-30 11:06:33"
530531,"Orion","Client","orion.client-inbox","NEW"," ---","search results pane has 2 horizontal scrollbars","2018-01-30 14:49:22"
530627,"Orion","JS Tools","orion.client-inbox","NEW"," ---","QuickFix for no-mixed-spaces-and-tabs needs improvement","2018-02-01 14:45:07"
530631,"Orion","JS Tools","orion.client-inbox","NEW"," ---","Support eslint brace-style","2018-02-01 15:01:35"
530633,"Orion","JS Tools","orion.client-inbox","NEW"," ---","Support eslint ""indent""","2018-02-01 15:18:48"
530753,"Orion","JS Tools","orion.client-inbox","NEW"," ---","no-mixed-spaces-and-tabs not reported in html script block with inline code","2018-02-05 15:37:23"
530790,"Orion","Client","orion.client-inbox","NEW"," ---","Search needs an option to ignore node_modules","2018-02-06 10:42:05"
530793,"Orion","JS Tools","orion.client-inbox","NEW"," ---","Update eslint version","2018-02-06 11:35:47"
531757,"Orion","Client","orion.client-inbox","NEW"," ---","Admin cannot delete a user","2018-02-27 15:02:14"
531872,"Orion","Client","orion.client-inbox","NEW"," ---","changing to vi key bindings then back to default keybindings keeps the vi ones around","2018-03-01 13:47:06"
532022,"Orion","JS Tools","orion.client-inbox","NEW"," ---"," @callback fix is not offered for arrow expressions","2018-03-05 10:58:10"
532202,"Orion","Client","orion.client-inbox","NEW"," ---","After creating a New Branch, please select the new branch in the dropdown","2018-03-08 16:19:17"
532965,"Orion","Client","orion.client-inbox","NEW"," ---","Provide a ""Convert to YAML"" action in JSON files","2018-03-27 14:41:19"
532966,"Orion","Client","orion.client-inbox","NEW"," ---","Provide a ""Convert to JSON"" action for YAML files","2018-03-27 14:42:30"
533009,"Orion","Client","orion.client-inbox","NEW"," ---","Provide a YAML outline view","2018-03-28 11:17:48"
534445,"Orion","Client","orion.client-inbox","NEW"," ---","Simplify search folder options","2018-05-07 14:05:28"
534661,"Orion","Client","orion.client-inbox","NEW"," ---","Find/Replace regex ""info"" icon needs improved UX / a11y","2018-05-14 14:55:10"
534689,"Orion","Electron","orion.client-inbox","NEW"," ---","Cannot open Git view on repo","2018-05-15 08:38:50"
536267,"Orion","JS Tools","orion.client-inbox","NEW"," ---","HTML content assist needs to complete end tags","2018-06-25 17:55:11"
544586,"Orion","Electron","orion.client-inbox","NEW"," ---","Account broken, login stuck","2019-02-19 10:52:32"
545868,"Orion","Client","orion.client-inbox","NEW"," ---","""Close"" menu items for tab context menu are only visible when using Shift+F10 in Firefox","2019-03-27 17:11:16"
