"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
535529,"PDE","UI","andrew","NEW"," ---","When test runner is changed from Junit4 to Junit5 test runner, PDE should propose to update build path","2020-08-27 05:53:08"
543517,"PDE","UI","loskutov","NEW"," ---","PDE project settings inconsistent","2019-05-14 02:50:45"
569428,"PDE","UI","loskutov","NEW"," ---","Run as JUnit Plug-in Test adds --limit-modules from .classpath","2020-12-08 13:24:56"
539354,"PDE","UI","michael.keppler","NEW"," ---","Plugin registry view shows bundles multiple times","2019-01-08 10:43:11"
532282,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","304 API errors on SWT in existing workspace (appear and strangely disappear)","2020-11-12 09:21:30"
538318,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Eclipse Standard 4.3.2 - Not Supported for MC OS 10.13.6","2020-09-08 01:32:52"
539513,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Incorrect warning on nested interface","2020-09-16 10:13:40"
539517,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Incomprehensible warning from API tools","2019-06-30 01:53:15"
541518,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","TCF won't output to TCF Debug Terminal while running Raspberry Zero  - arm6 as target.","2020-11-13 05:27:30"
541856,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Why does removal of a useless import require a major version change","2020-11-24 04:39:37"
542902,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Build API Quick fix does not apply to all selections","2020-12-09 09:50:01"
543165,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","PANIC: Unable to open AVD configuration file: (null)\ config.ini","2019-01-04 01:09:26"
543369,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","No repository found at http://oneclicklabs.io/repo/eclipse/plugin/jrest/.","2019-01-11 06:23:44"
545074,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Need new API warning for leaking external types as part of the bundle API","2019-03-28 10:16:07"
545975,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","""view contribution using 3.x API"" wizard","2019-03-31 05:09:27"
546027,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Unable to install axis2 plugins into eclipse photon","2019-04-02 02:35:09"
547649,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Add de-compiler eclipse","2019-05-25 23:01:17"
548326,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Add info to API baseline error which classes have changed","2019-06-20 01:26:53"
551247,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","API check does not recognize changed class hierarchy across dependencies","2019-11-08 07:42:36"
552205,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Incremental build seem not work properly for @since tags at least","2019-10-18 04:19:47"
553847,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Error while updating softwares and plugins","2019-12-05 21:18:48"
561140,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","[14] - Write test cases for record API tools support","2020-11-12 05:45:54"
562022,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","StackOverflowError in org.eclipse.pde.internal.core.DependencyManager.getDependencies(DependencyManager.java:213)","2020-04-11 12:20:51"
564817,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Getting Problems During Content Assist dialogue  box again and again","2020-07-02 03:54:53"
566442,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Intermittent 2 test cases junit failure on windows platform on I20200826-1800","2020-08-27 05:51:02"
566827,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Typo in helpContextId for ConvertJavadocTagsHandler","2020-09-26 09:29:12"
567045,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Failed to execute goal ""api-analysis"" due ""Cannot remove the current profile timestamp""","2020-11-26 02:48:23"
567370,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","RCP Application Runs in Workbench Not When Exported","2020-09-25 18:30:38"
567409,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Scheduled Jobs executed in parallel","2020-09-28 06:29:01"
568302,"PDE","API Tools","pde-apitools-inbox","NEW"," ---","Apitooling baseline.target with private repositories","2020-10-27 19:02:54"
