"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
553785,"Paho","Sandbox","arlen.nipper","UNCONFIRMED"," ---","Sandbox certificate for mqtt.eclipse.org is expired since Oct 17 10:21:17 2019 GMT","2019-12-04 17:31:16"
539885,"Paho","MQTT","icraggs","UNCONFIRMED"," ---","ipv6 support in paho.mqtt.embedded-c","2018-10-06 19:54:44"
543626,"Paho","MQTT","icraggs","UNCONFIRMED"," ---","Possible Vulnerabilities in Eclipse paho.mqtt.c","2019-12-18 21:30:42"
544465,"Paho","MQTT","icraggs","UNCONFIRMED"," ---","Contribute project of MQTT Client for Qt to Eclipse Paho","2019-06-06 09:23:55"
544467,"Paho","MQTT","icraggs","UNCONFIRMED"," ---","Contribute project of CocoaMQTT to Eclipse Paho","2019-06-06 10:26:25"
569411,"Paho","MQTT","icraggs","UNCONFIRMED"," ---","MSRC Case 62416 Elevation of Privilege security vuln due to TLS implementation error for hostname validation","2020-12-02 19:43:01"
537448,"Paho","Website","nick.oleary","UNCONFIRMED"," ---","https://www.eclipse.org/paho/clients/android/sample/","2018-07-27 09:48:43"
564313,"Paho","M2MQTT","ppatierno","UNCONFIRMED"," ---","No way to change the TimeoutOnConnection setting","2020-06-15 23:48:39"
563888,"Paho","MQTT","icraggs","NEW"," ---","Paho mqtt javascript file not opening on my pc","2020-06-03 17:22:13"
534224,"Paho","MQTT","icraggs","RESOLVED","MOVED","Illegal Reflective Access Warning When Using Java 10","2020-05-10 10:55:51"
561627,"Paho","MQTT","icraggs","RESOLVED","WORKSFORME","not able to connect broker","2020-04-01 07:20:14"
561761,"Paho","MQTT","icraggs","RESOLVED","MOVED","Problem in creating Android MQTT app","2020-04-06 05:18:22"
561780,"Paho","MQTT","icraggs","RESOLVED","MOVED","DisconnectedMessageBuffer design polluting disk and making persisted message non-recoverable as long as client process is running","2020-04-06 14:05:41"
529798,"Paho","Website","nick.oleary","RESOLVED","FIXED","Error in the https://www.eclipse.org/paho/ website","2018-01-15 09:51:19"
551283,"Paho","Website","nick.oleary","RESOLVED","FIXED","Move paho vserver to the eclipseprojects.io domain","2020-12-08 16:10:12"
559337,"Paho","Website","nick.oleary","RESOLVED","FIXED","mqtt.eclipse.org SSL cert expired","2020-01-24 05:57:15"
549934,"Paho","MQTT","icraggs","VERIFIED","FIXED","Request for CVE in known hostname validation vulnerability in the MQTT library","2019-09-17 16:30:19"
545251,"Paho","Sandbox","arlen.nipper","CLOSED","DUPLICATE","MQTT Sandbox in iot.eclipse.org link not responding","2020-01-10 11:32:04"
534738,"Paho","MQTT","icraggs","CLOSED","MOVED","return -1 error (SOCKET_ERROR)","2019-08-16 07:37:01"
539886,"Paho","MQTT","icraggs","CLOSED","DUPLICATE","ipv6 support in iot.eclipse.org test server","2019-09-04 12:12:44"
540354,"Paho","MQTT","icraggs","CLOSED","FIXED","Not connected to mqtt broker","2018-10-23 03:45:39"
