"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529905,"Papyrus-rt","General","papyrusrt-inbox","UNCONFIRMED"," ---","Being able to see the whole state machine of a capsule in the same diagram","2018-01-16 13:26:42"
531237,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[codegen] Incorrect field descriptors for static, global and define attributes","2018-02-16 08:23:55"
531238,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[tool] local self transitions are displayed outside a composite state","2018-02-16 08:30:32"
531240,"Papyrus-rt","codegen","papyrusrt-inbox","NEW"," ---","[codegen] local self-transitions validation error","2018-02-16 08:31:11"
531359,"Papyrus-rt","runtime","papyrusrt-inbox","NEW"," ---","[runtime] --controllers command-line option ignored in generated program","2018-02-20 09:08:51"
539725,"Papyrus-rt","core","papyrusrt-inbox","NEW"," ---","[releng]  Create a version that builds against current Papyrus for 2020-06","2020-06-30 09:49:09"
543521,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","cant install eclipse for PapyrusRT contributors","2019-01-17 09:11:08"
539844,"Papyrus-rt","tool","ansgar.radermacher","ASSIGNED"," ---","[StateMachine diagram] When a new SM diagram is created, the initial state is placed outside its region","2020-05-24 17:19:57"
531432,"Papyrus-rt","releng","eposse","REOPENED"," ---","[releng][tp] The build is broken","2020-12-08 09:46:23"
562646,"Papyrus-rt","General","vincent.lorenzo","RESOLVED","FIXED","[Table][Performance] Poor performance when using/changing row filters","2020-05-11 04:42:30"
531300,"Papyrus-rt","core","eposse","CLOSED","FIXED","[core][facade] compilation error in FacadeReference","2018-02-19 15:30:26"
