"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
539908,"QVTo","UI","mmt-qvt.operational-inbox","UNCONFIRMED"," ---","UnsupportedOperationException below QvtOperationalEvaluationEnv.callSetter (thrown in BasicSettingDelegate$Stateless.set)","2018-10-08 04:16:07"
529511,"QVTo","UI","christopher.gerking","NEW"," ---","JavaModelException below ProjectClassLoader.getProjectOutputURL (thrown in JavaElement.newNotPresentException)","2018-10-02 08:45:24"
529689,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","[releng] Change branding to Eclipse QVTo","2018-01-11 11:46:22"
530528,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","[releng] Inconsistent Developer Resources artefacts","2018-01-31 05:37:08"
532446,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Improve naming of examples","2018-03-14 08:46:44"
533565,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Diagnose unresolved proxies","2019-06-06 07:27:04"
533919,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Resolve internal API","2018-11-09 09:02:49"
536604,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Stale generated models","2018-07-02 13:28:30"
536801,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Demonstrate multi-output/configuration better in Simpleuml_To_Rdb","2018-07-08 12:14:49"
536803,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","No diagnosis of missing ObjectExp parts","2018-07-31 08:27:17"
537009,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Unlikely argument types in QvtOperationalVisitorCS and TestQvtParser","2018-07-13 10:43:15"
537040,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Refactor ResourceSet creation","2018-08-01 04:58:01"
537059,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Ensure lazy loading of metamodels","2018-07-16 04:12:58"
537527,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Compiled XMI does not support inter-project references","2018-07-31 05:33:05"
537528,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Provide launch configurations with descriptions","2018-07-31 05:38:32"
537555,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Separate XMI transformations from concrete syntax transformations","2018-08-02 09:54:48"
539871,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","[releng] ZIPs build is too enthusiastic","2018-10-06 05:24:12"
540559,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","[debug] Bad launch should pop-up rather than clutter AERI","2018-10-29 04:57:02"
