"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
530770,"RAP","Other","rap-inbox","NEW"," ---","[Maven] Inexplicit dependencies in final releases 3.1.1 and 3.1.2","2018-02-06 05:36:10"
530897,"RAP","RWT","rap-inbox","NEW"," ---","allow font-size and font-weight css properties","2019-08-05 06:56:44"
531450,"RAP","RWT","rap-inbox","NEW"," ---","Label with Thai text is cropped under certain circumstances","2018-04-05 06:27:33"
537087,"RAP","RWT","rap-inbox","NEW"," ---","Non-moveable text filed cursor while tapping android touch screen","2018-07-17 15:02:52"
538195,"RAP","RWT","rap-inbox","NEW"," ---","FormText widget: problems with ""&amp;""","2018-08-23 04:03:32"
538362,"RAP","JFace","rap-inbox","NEW"," ---","GridEditor not re-layouted on client-side row-height change","2018-08-28 11:21:02"
540934,"RAP","Releng","rap-inbox","NEW"," ---","Provide .target File for RAP Developers","2019-07-08 05:51:39"
541718,"RAP","RWT","rap-inbox","NEW"," ---","Display not disposing","2019-01-28 04:10:43"
542877,"RAP","RWT","rap-inbox","NEW"," ---","TableCursor class does NOT exist on RAP","2019-01-22 04:12:13"
543144,"RAP","RWT","rap-inbox","NEW"," ---","RAP can use TabeCurosr and TreeCursor","2019-01-03 06:52:53"
543448,"RAP","RWT","rap-inbox","NEW"," ---","Wrong focus set because of delayed call to widget.focus in Display.js","2019-01-15 09:26:43"
547234,"RAP","RWT","rap-inbox","NEW"," ---","RWT.BADGE AND COLOR","2020-01-14 09:14:52"
547302,"RAP","Other","rap-inbox","NEW"," ---","Text does not trigger focus event when navigating from Browser widget","2019-05-15 04:51:36"
548093,"RAP","Website","rap-inbox","NEW"," ---","Error ""server seems to be temporarily unavailable"" when downloading a file","2019-10-25 04:40:26"
548670,"RAP","RWT","rap-inbox","NEW"," ---","DateTime widget does not support 12-hour clock with AM/PM indicators","2019-07-08 05:27:49"
550337,"RAP","RWT","rap-inbox","NEW"," ---","Table Viewer using row template does not show the correct tooltip","2020-11-16 08:00:46"
552890,"RAP","RWT","rap-inbox","NEW"," ---","Index out of bound with virtual tree on selection","2020-07-20 11:44:28"
553020,"RAP","RWT","rap-inbox","NEW"," ---","[Browser] Implement missing setURL(String, String, String[]) method","2020-01-13 04:37:01"
559495,"RAP","RWT","rap-inbox","NEW"," ---","Missing resize event on custom widget","2020-04-07 08:55:57"
561064,"RAP","Workbench","rap-inbox","NEW"," ---","NPE at org.eclipse.e4.ui.internal.workbench.UIEventPublisher.notifyChanged(UIEventPublisher.java:59)","2020-04-14 07:28:26"
561185,"RAP","Releng","rap-inbox","NEW"," ---","Upgrade RAP build: Apache Maven 3.6.1 can not build Rap runtime","2020-03-17 06:53:04"
562427,"RAP","JFace","rap-inbox","NEW"," ---","org.eclipse.jface.fieldassist.ControlDecoration does not provide showHoverText(String) method","2020-04-23 04:09:55"
565470,"RAP","RWT","rap-inbox","NEW"," ---","Make Twistie images themeable","2020-07-23 06:40:32"
565576,"RAP","RWT","rap-inbox","NEW"," ---","ComboBox and TabFolder","2020-07-29 10:47:12"
565876,"RAP","RWT","rap-inbox","NEW"," ---","Touch-Scrolling not working correctly (iOS) AND position: fixed and the virtual keyboard","2020-08-10 10:27:44"
566671,"RAP","RWT","rap-inbox","NEW"," ---","[Template][Table] Unusable horizontal scroll in Table with RowTemplate","2020-09-04 07:59:16"
568751,"RAP","RWT","rap-inbox","NEW"," ---","NPE in LifeCycleServiceHandler.shutdownUISession hides other RuntimeException","2020-11-16 08:02:06"
569046,"RAP","RWT","rap-inbox","NEW"," ---","Menuitem with SWT.CASCADE without a submenu looks and behaves differently from SWT","2020-11-23 02:04:40"
529704,"RAP","RWT","rap-inbox","ASSIGNED"," ---","Implement support high-res/scaling support for Canvas","2018-01-15 12:01:50"
531464,"RAP","JFace","rap-inbox","ASSIGNED"," ---","MessageDialog indicates default button only the first time the dialog is opened","2018-02-27 08:38:39"
533504,"RAP","JFace","rap-inbox","ASSIGNED"," ---","Chinese button texts are truncated in JFace Dialog","2018-04-18 10:20:38"
535755,"RAP","RWT","rap-inbox","ASSIGNED"," ---","Text widget: Text jumps to bottom when trying to scroll it (Firefox, Chrome, Edge) or clicking it (Chrome)","2019-01-28 07:22:00"
540729,"RAP","RWT","rap-inbox","ASSIGNED"," ---","Request-Ordnering broken when using browser-functions","2019-02-13 02:45:11"
542478,"RAP","Other","rap-inbox","ASSIGNED"," ---","Upgrade org.apache.commons.fileupload to latest version (1.3.3)","2019-01-22 08:42:44"
561155,"RAP","RWT","rap-inbox","ASSIGNED"," ---","[CTabItem] Custom variant styling on CTabITem does not set the foreground","2020-07-27 06:05:26"
561420,"RAP","JFace","rap-inbox","ASSIGNED"," ---","RAP JFace should provide icons in HiDPI","2020-07-01 05:51:33"
552111,"RAP","RWT","rap-inbox","REOPENED"," ---","Enhancement for CALENDAR DateTime constrained with setMinimum/setMaximum: Make excluded days stylable with CSS","2020-08-10 06:04:28"
560351,"RAP","RWT","rap-inbox","REOPENED"," ---","ServerPushSession breaks session timeout handling","2020-07-31 03:27:32"
562827,"RAP","RWT","rap-inbox","REOPENED"," ---","Remove ICU4J from Eclipse RAP","2020-07-10 05:17:10"
552137,"RAP","RWT","rap-inbox","RESOLVED","FIXED","[DateTime] RAP crashes in the browser when using a DropDown DateTime in a certain way","2019-10-16 11:17:07"
553067,"RAP","RWT","rap-inbox","RESOLVED","FIXED","Accidental XSS possible with HTML MARKUP_ENABLED in RAP","2020-01-02 15:38:24"
558756,"RAP","RWT","rap-inbox","RESOLVED","FIXED","Mouse Wheel Scrolling Causes Error in Chrome","2020-01-13 04:34:41"
529408,"RAP","RWT","rap-inbox","RESOLVED","FIXED","RFE: Add title attribute to allowed HTML Markup (at least for <span>)","2018-01-04 07:22:15"
530564,"RAP","RWT","rap-inbox","RESOLVED","FIXED","[Combo] Selection is incorrect after adding item before selection","2018-02-21 09:17:31"
