"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
549484,"Sirius","Diagram","anis.kharchi","UNCONFIRMED"," ---","[PERFORMANCE] Optimization of semantic candidates evaluation","2019-07-24 11:39:27"
535377,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Implement a resource strategy in the plugin which contain Odesign cause an error","2018-06-08 05:52:32"
541360,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Undo operation makes inconsistency between diagram and model","2018-11-20 06:32:17"
547034,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Undoing a add model into project dependencies does not remove the added resource from the session resourceSet","2019-05-07 05:17:32"
547111,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","When a project reference another project, deletion of referenced project doesn't remove deleted elements","2019-05-17 09:51:01"
547537,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","IItemColorProvider does not apply","2019-06-11 09:51:35"
547869,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","We can not access the class of diagram at ElkGraphlayout","2019-10-29 10:56:18"
566743,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","Issue when the predicate, in the sortedBy() service, returns null","2020-09-07 12:52:49"
566745,"Sirius","Core","sirius.core-inbox","UNCONFIRMED"," ---","The choice of a Java service (identically named) is not predictive, among several VSM","2020-09-07 13:01:49"
529670,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","GridLayoutProvider throws IndexOutOfBoundsException","2018-02-13 04:16:53"
530198,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","[Decorator] Decorator group may contain more than the expected decorator number","2018-01-25 05:10:46"
540372,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Memory leak after delete modeling project","2019-01-08 11:03:52"
544143,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Deactivate a VP leads to an invalid behavior for the layer selector in diagram","2019-02-14 12:16:35"
545917,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Diagram sirius and progress bar","2019-03-29 05:00:33"
547987,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","[ELK] algorithm selection is not applied to containers","2019-10-29 11:15:17"
562264,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Dark mode support on diagrams : change edges & labels","2020-06-05 11:43:10"
565942,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Mapping Filter , Filter Kind option COLLAPSE is not working.","2020-08-10 05:04:55"
569505,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Edges display - Bug","2020-12-06 00:38:45"
569507,"Sirius","Diagram","sirius.diagram-inbox","UNCONFIRMED"," ---","Edges display using containers - Bug","2020-12-06 02:10:48"
538886,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Selection Wizard does not invoke a service from the 'Elements to Select' property","2019-01-11 09:36:38"
553532,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Editing double attributes with text-widget leads to unnecessary error message","2019-11-27 07:24:33"
561655,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","When you reuse group descriptions or extend page, group, container, control... descriptions, the operation descriptions inside them are not retrieved","2020-04-07 08:26:36"
562213,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","A group, which contains a forced refresh dynamic mapping, prevents the folding/unfolding of all the groups of the related page","2020-04-30 05:09:25"
562665,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The Widget and Toolbar Action improvements (similar to Button)","2020-05-04 11:05:35"
564746,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","""Is Enabled Expression"" not interpreted in a Dialog Button","2020-06-29 13:22:19"
566198,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Focused text fields are not updated on OK button on MacOS","2020-08-19 11:37:35"
566740,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The toolbar actions can not be filtered","2020-09-07 12:25:05"
566741,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","No group instantiated in a dialog opened from an other dialog","2020-09-07 12:31:03"
566742,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","The groups in a dialog are not updated when the model changes","2020-09-07 12:40:29"
567241,"Sirius","Properties","sirius.properties-inbox","UNCONFIRMED"," ---","Text field does not refresh on failure","2020-09-22 06:18:34"
552167,"Sirius","Tree","sirius.tree-inbox","UNCONFIRMED"," ---","On a Drop tool, variable oldcontainer unusable if dragging from Model","2019-10-17 04:06:44"
560559,"Sirius","Diagram","laurent.redor","NEW"," ---","[ELK] Wrong layout for container with regions (vertical stack or horizontal stack)","2020-03-20 05:25:38"
569385,"Sirius","Diagram","maxime.porhel","NEW"," ---","ClassCastException in Sequence MoveSwitch","2020-12-04 11:23:39"
529582,"Sirius","Core","pierre-charles.david","NEW"," ---","Remove support for OCL interpreted expressions","2020-11-04 05:27:18"
530373,"Sirius","Core","pierre-charles.david","NEW"," ---","Move from Require-Bundle to Import-Package","2018-08-27 11:27:25"
542859,"Sirius","Core","pierre-charles.david","NEW"," ---","Modernize the interpreter API","2019-02-19 02:46:10"
543017,"Sirius","Core","pierre-charles.david","NEW"," ---","Remove IMetamodelExtender and all the associated infrastructure/indirections","2019-09-18 08:59:11"
547419,"Sirius","Diagram","pierre-charles.david","NEW"," ---","Add support for semantic traceability on exported SVG elements","2020-05-05 11:06:43"
553864,"Sirius","Releng","pierre-charles.david","NEW"," ---","Archive old releases and remove obsolete snapshots and milestones","2019-12-07 09:32:54"
529509,"Sirius","Core","sirius.core-inbox","NEW"," ---","Completion on model type feature fails when user filter selection","2018-01-10 11:23:54"
529898,"Sirius","Core","sirius.core-inbox","NEW"," ---","[content assist] Switch completion mode from INSERT to REPLACE","2020-07-07 01:05:33"
530380,"Sirius","Core","sirius.core-inbox","NEW"," ---","Enable automatic opening of the aird editor","2018-08-21 09:59:46"
533064,"Sirius","Core","sirius.core-inbox","NEW"," ---","Potential OperationCanceledException","2018-03-30 05:59:58"
533447,"Sirius","Core","sirius.core-inbox","NEW"," ---","Editors automatically opening when a session is opened can be annoying","2018-09-05 08:35:23"
534052,"Sirius","Core","sirius.core-inbox","NEW"," ---","Closing a unsaved representation when aird editor is opened","2018-10-26 10:52:15"
534199,"Sirius","Core","sirius.core-inbox","NEW"," ---","NPE when applying a viewpoint","2018-06-05 05:49:25"
