"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
562442,"Statet","R IDE","statet-inbox","UNCONFIRMED"," ---","Label overlaps values on the X axis when using ggplot","2020-04-23 17:02:42"
538941,"Statet","R IDE","statet-inbox","NEW"," ---","Some tests for RValueFormatter fail","2020-09-07 04:42:00"
538951,"Statet","R IDE","statet-inbox","NEW"," ---","[SourceEditor] Use Platform's asynchronous content assist","2019-12-09 09:24:46"
539029,"Statet","R IDE","statet-inbox","NEW"," ---","Improve compatibility with CSS styling / Eclipse dark theme","2018-09-13 14:01:05"
542730,"Statet","R IDE","statet-inbox","NEW"," ---","[R-Help] Automatic help update is not started if a package is removed","2018-12-13 01:58:28"
546324,"Statet","General","statet-inbox","NEW"," ---","Review and improve support of high dpi displays","2019-04-11 04:35:01"
552872,"Statet","General","statet-inbox","NEW"," ---","Remove workarounds for Bug 473941","2019-11-27 05:01:58"
565589,"Statet","Docmlet","statet-inbox","NEW"," ---","document preview with internal Eclipse viewer does not reflect most recent changes","2020-08-13 16:21:59"
566718,"Statet","R IDE","statet-inbox","NEW"," ---","Adapt formatting to removement of ICU in platform","2020-09-07 03:34:08"
567221,"Statet","RJ","statet-inbox","NEW"," ---","[RJ-Servi] (Re)add detection of lost client connections","2020-09-30 15:49:53"
567531,"Statet","R IDE","statet-inbox","NEW"," ---","[R-Help] Check/Fix compatibility of R help view with Chrome browser","2020-10-07 03:50:50"
567683,"Statet","RJ","statet-inbox","NEW"," ---","[RJ-Servi] Update to Commons Pool 2.9","2020-10-07 14:16:14"
569587,"Statet","RJ","statet-inbox","NEW"," ---","[REnv] RPkgDescription should directly support multiple URLs","2020-12-09 10:32:32"
561336,"Statet","R IDE","sw","ASSIGNED"," ---","[R-Help] Starting R nodes fails when running help server with Java 11","2020-12-10 06:44:48"
567591,"Statet","General","sw","ASSIGNED"," ---","Update and adapt StatET to Eclipse 2020-12","2020-10-12 12:43:58"
567592,"Statet","R IDE","sw","ASSIGNED"," ---","[R-Help] Update and adapt server to Spring Boot 2.3","2020-11-04 04:42:15"
567660,"Statet","General","sw","ASSIGNED"," ---","Change target platform to Java >= 11","2020-10-10 06:52:04"
567730,"Statet","RJ","sw","ASSIGNED"," ---","[RJ-Servi] Shutdown R engine of nodes gracefully","2020-12-04 06:00:58"
567736,"Statet","General","sw","ASSIGNED"," ---","Switch more file operations to NIO","2020-11-04 14:44:40"
568008,"Statet","General","sw","ASSIGNED"," ---","Update to JUnit 5.6","2020-10-30 04:15:34"
568167,"Statet","RJ","sw","ASSIGNED"," ---","[RJ-Data] Add unit tests for data stores","2020-12-04 07:06:35"
568296,"Statet","RJ","sw","ASSIGNED"," ---","[RJ-Data] Simplify use of raw/byte array data","2020-10-27 08:04:39"
569493,"Statet","RJ","sw","ASSIGNED"," ---","[RJ-Servi] Shutdown R engine of nodes gracefully (Backport to 4.2)","2020-12-05 10:49:47"
567188,"Statet","General","sw","RESOLVED","FIXED","[RMI] Improve start of separate registry","2020-11-12 05:12:51"
567643,"Statet","General","sw","RESOLVED","FIXED","Add Automatic-Module-Name to MANIFEST files","2020-10-29 06:21:50"
568187,"Statet","RJ","sw","RESOLVED","FIXED","[RJ-Data] Add constants for min and max values of R integer and raw data","2020-10-29 06:13:14"
568190,"Statet","RJ","sw","RESOLVED","FIXED","[RJ-Data] Add constants for common encodings of true and false to RLogicalStore","2020-10-29 06:13:35"
568193,"Statet","RJ","sw","RESOLVED","FIXED","[RJ-Data] RCharacterStore.getLogi does not detect all string representations supported by R","2020-10-29 06:16:26"
568202,"Statet","RJ","sw","RESOLVED","FIXED","[RJ-Data] RRawStore.isNA and RRawStore.isMissing do not check the index","2020-10-29 06:17:34"
568203,"Statet","RJ","sw","RESOLVED","FIXED","[RJ-Data] Add default implementation of RRawStore.getLogi","2020-10-29 06:18:11"
567103,"Statet","R IDE","statet-inbox","CLOSED","INVALID","Bugs with StatET Eclipse IDE 2020-9 - R Console Launch configuration and R help","2020-09-24 13:19:38"
538857,"Statet","R IDE","sw","CLOSED","FIXED","[SourceEditor] Improve support for special use cases in LTK SourceEditorViewerConfiguration","2019-07-20 04:14:38"
538859,"Statet","R IDE","sw","CLOSED","FIXED","[TreePartitioner] Enhance debug options in TreePartitioner","2019-07-20 04:14:41"
538861,"Statet","R IDE","sw","CLOSED","FIXED","[TreePartitioner] Add support for flags to TreePartitions","2019-07-20 04:14:39"
538862,"Statet","R IDE","sw","CLOSED","FIXED","[TemplateEditor] Add support for HTML formatted descriptions of editor template variables","2019-07-20 04:14:41"
538863,"Statet","Docmlet","sw","CLOSED","FIXED","[Wikidoc-Editor, Commommark] Partitioning of headings is sometimes wrong","2019-07-20 04:14:40"
538864,"Statet","R IDE","sw","CLOSED","FIXED","[NiConsole] Error when opening the data viewer","2019-07-20 04:14:42"
538865,"Statet","R IDE","sw","CLOSED","FIXED","[NiConsole] NullPointerException in ToolProgressGroup","2019-07-20 04:14:38"
538866,"Statet","R IDE","sw","CLOSED","FIXED","Make affordance messages and hovers more robust","2019-07-20 04:14:41"
538867,"Statet","R IDE","sw","CLOSED","FIXED","[R-DataEditor] IDates no longer format as Dates in the Data Viewer","2019-07-20 04:14:39"
538868,"Statet","R IDE","sw","CLOSED","FIXED","[R-Source] Fix length when parsing R args","2019-07-20 04:14:40"
538869,"Statet","R IDE","sw","CLOSED","FIXED","[NiConsole] Remove the copyright statement from ConsoleTextStylesPreviewCode.txt","2019-08-09 03:12:37"
538878,"Statet","R IDE","sw","CLOSED","FIXED","Update and adapt StatET to Eclipse 2018-09","2019-08-09 03:14:25"
538943,"Statet","R IDE","sw","CLOSED","FIXED","[SourceEditor, NiConsole] Context information popups are not closed in some situations","2019-12-09 09:24:15"
538945,"Statet","Docmlet","sw","CLOSED","FIXED","[Wikitext] Add logging to MarkupLanguageManager","2019-07-20 04:14:39"
538946,"Statet","R IDE","sw","CLOSED","FIXED","[R-Refactoring] Use always code style preferences for arg assign in R refactoring","2019-07-20 04:14:39"
