"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529333,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Strange unstable singled out serialization comment","2018-01-10 17:16:27"
529574,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","NullPointerException in XtextResource.update","2018-01-09 08:19:10"
530607,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","getURIFragmentRootSegment implementations inconsistent","2018-02-01 15:21:23"
531330,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","LinkageError in Modules2.mixin","2018-02-19 03:55:22"
531366,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","PartInitException below LanguageSpecificURIEditorOpener.open (thrown in EditorReference.getEditorInput)","2018-02-20 03:40:36"
532926,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","IllegalStateException in DirtyStateEditorSupport.initializeDirtyStateSupport","2018-03-27 02:15:50"
534182,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Imports do not work if the Import rule/EObject is not defined as an immediate child of the root EObject","2018-05-04 14:39:40"
536034,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Xtext builder runs during saving workspace state.","2018-06-19 05:48:05"
537427,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","NullPointerException in StandardTypeReferenceOwner.<init>","2018-07-26 16:27:57"
538116,"TMF","Xtext Errors","tmf.xtext-inbox","NEW"," ---","NullPointerException below QueuedBuildData.rollback (thrown in ArrayList.addAll)","2018-08-21 14:23:29"
542655,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Inadequate ContentHandler / content description support","2018-12-11 06:12:21"
542909,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Livelock rewording while building","2018-12-20 06:53:14"
545786,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","[xbase] Missing validation for package/variable conflict","2019-03-27 06:12:21"
546269,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Updating resource descriptions chunk x of xx takes several minutes to build the project","2019-05-09 06:20:08"
548307,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","""Building workspace"" can take a very long time without further details","2019-06-16 13:44:34"
551650,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Xtext Build fails for projects with cyclic dependency","2019-10-11 03:49:36"
552035,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Unhelpful org.eclipse.xtext.util.EmfFormatter list index 'stabilization'","2019-10-16 06:24:31"
552216,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","IllegalArgumentException in CompareInputResourceProvider","2020-10-02 03:39:40"
559597,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","NPE in JdtBasedTypeFactory.createAnnotationValue","2020-01-28 04:48:57"
560269,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Inopportune warning about org.eclipse.xtext.ui.editor.outline.QuickOutline command","2020-02-22 06:28:12"
561489,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Xtend editor - Code Error indicator popup persists","2020-03-27 02:05:52"
564229,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Deprecate and remove the old Xtext generator infrastructure.","2020-06-12 04:52:22"
564230,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","The new XtextGeneratorStandaloneSetup does not support generated models","2020-06-12 03:49:01"
564254,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","New formatter is not implementable with unrestricted public API","2020-11-26 14:13:24"
565093,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Replace Action in grammar by multi-productions","2020-12-02 04:06:44"
565523,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Quickfix fails with an error indicating serialization failure","2020-07-24 09:11:06"
565524,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Incorrect proposals show up for an undefined hidden token","2020-07-24 09:14:58"
566702,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Memory leak for open Xtend editors","2020-10-02 03:32:13"
567383,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Contribute the Declarative Serializer/Formatter from OCL","2020-11-26 07:59:12"
568819,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","UML2Ecore2Xtext is not adequately tested.","2020-11-23 07:52:15"
568910,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Issues with serialization while saving model to file","2020-12-08 04:32:03"
569273,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Strange Xtext Grammar formulation of parenthesised terms","2020-11-29 13:03:19"
569520,"TMF","Xtext","tmf.xtext-inbox","NEW"," ---","Infinite loop when parsing invalid code","2020-12-09 05:51:14"
529759,"TMF","Releng","karsten.thoms","ASSIGNED"," ---","Inconsistent providerName","2018-01-23 03:22:27"
533359,"TMF","Xtext","tmf.xtext-inbox","ASSIGNED"," ---","org.antlr.runtime_3.2.0.v201101311130.jar needs to be signed again","2019-10-21 14:34:22"
567161,"TMF","Xtext","tmf.xtext-inbox","REOPENED"," ---","Cannot develop a new grammar using Ecore until referenced metamodel is installed","2020-09-25 08:37:21"
539605,"TMF","Website","Arne.Deutsch","RESOLVED","FIXED","Eclipse Xtext website is showing logos of companies that are not Eclipse Foundation members","2018-10-01 06:19:00"
539532,"TMF","Xtext Errors","karsten.thoms","RESOLVED","FIXED","SWTException below AbstractPreferencePage.updateFieldEditors (thrown in Widget.checkWidget)","2018-10-10 12:22:45"
539677,"TMF","Xtext Errors","karsten.thoms","RESOLVED","FIXED","NullPointerException in SimpleAttributeResolver$2.apply","2018-10-10 11:31:08"
543438,"TMF","Releng","karsten.thoms","RESOLVED","FIXED","Stale downloads","2019-02-15 06:59:50"
548382,"TMF","Website","karsten.thoms","RESOLVED","FIXED","Unhelpful index files","2019-06-25 07:20:02"
