"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
556345,"Time4sys","General","time4sys-inbox","NEW"," ---","Unable to install one project of the example because zip missing","2018-03-14 04:58:07"
556347,"Time4sys","General","time4sys-inbox","NEW"," ---","Pb Data Links","2018-03-27 09:21:06"
556351,"Time4sys","General","time4sys-inbox","NEW"," ---","bug with phase 0ps in periodic activation pattern","2018-03-30 07:16:59"
556353,"Time4sys","General","time4sys-inbox","NEW"," ---","Modelling FPGA and related treatments","2018-04-03 05:27:46"
556355,"Time4sys","General","time4sys-inbox","NEW"," ---","Parse GEV into NFPDuration string","2018-10-10 04:05:15"
558311,"Time4sys","General","time4sys-inbox","NEW"," ---","Building locally fails","2019-12-13 14:24:35"
556343,"Time4sys","General","time4sys-inbox","ASSIGNED"," ---","Impossibility to create DATA links between 2 Step","2018-03-14 04:54:16"
556344,"Time4sys","General","time4sys-inbox","ASSIGNED"," ---","Impossibility to specific a latency constraint with data exchanges","2018-03-14 04:50:45"
556354,"Time4sys","General","time4sys-inbox","ASSIGNED"," ---","A root pom.xml would be handy","2018-05-09 11:57:37"
556346,"Time4sys","General","aurelien.didier51","RESOLVED","FIXED","Missing ""Delay"" Concept","2018-03-29 11:31:44"
556348,"Time4sys","General","aurelien.didier51","RESOLVED","FIXED","Pb during deleting links between steps","2018-04-04 09:28:48"
556349,"Time4sys","General","aurelien.didier51","RESOLVED","FIXED","Impossibility to change/custom the corlor of the full EndToEndFlow","2018-04-04 09:29:22"
556350,"Time4sys","General","aurelien.didier51","RESOLVED","FIXED","impossibility to define a reference to an Activation Pattern in the interface Time4Sys","2018-04-04 09:30:15"
556352,"Time4sys","General","aurelien.didier51","RESOLVED","FIXED","Bug Data links have 2 arrows (should be only one)","2018-04-04 09:41:16"
