"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529524,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","Invoking functions from specific places are not covered with warnings or errors","2020-06-09 11:16:24"
538149,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","dual port bug","2018-08-22 04:44:50"
562849,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","RAW codec: Odd behavior of PADDING attribute","2020-06-07 03:56:16"
569238,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","xsd2ttcn creates cyclical definitions","2020-12-02 11:23:23"
537168,"Titan","Core","titan-inbox","NEW"," ---","incorrect error message for useunion attribute","2018-07-19 03:21:51"
537169,"Titan","Core","titan-inbox","NEW"," ---","incorrect code generated by the xsd conversion","2018-07-19 03:25:34"
537177,"Titan","Core","titan-inbox","NEW"," ---","titan requires prototype(fast) functions for translation ports","2018-07-19 06:29:46"
537846,"Titan","Plug-ins","titan-inbox","NEW"," ---","ttcn2java: Unhandled exception type Exception is JRE dependent (from J2SE-1.7 it disappears)","2018-08-10 04:57:35"
540177,"Titan","Core","titan-inbox","NEW"," ---","ASN.1 presence constraint is ignored by the compiler","2018-10-16 07:30:12"
553219,"Titan","Plug-ins","titan-inbox","NEW"," ---","add support for JSON to the Java code generator","2019-11-19 07:26:33"
553220,"Titan","Plug-ins","titan-inbox","NEW"," ---","Main Controller in pure Java","2019-11-19 07:36:56"
558719,"Titan","Core","titan-inbox","NEW"," ---","supporting reference types in structured types","2020-01-02 05:42:16"
558720,"Titan","Core","titan-inbox","NEW"," ---","upcoming TTCN-3 standard will include a change in how partially initialized templates are handled","2020-01-02 05:49:13"
558721,"Titan","Core","titan-inbox","NEW"," ---","TTCN-3 standard extended with a map type","2020-01-02 05:52:58"
558722,"Titan","Core","titan-inbox","NEW"," ---","allowing ""any"" type as a formal parameter to external functions","2020-01-02 05:59:15"
558724,"Titan","Core","titan-inbox","NEW"," ---","new features in the Object Oriented extension","2020-01-02 06:24:05"
559512,"Titan","Plug-ins","titan-inbox","NEW"," ---","ttcn2java: wrong handling of permutation in case of compatible integer template arrays","2020-01-24 09:50:23"
559585,"Titan","Plug-ins","titan-inbox","NEW"," ---","Incremental parser bug: False error marker 'Duplicate definition' after pushing enter","2020-01-27 10:01:33"
559750,"Titan","Plug-ins","titan-inbox","NEW"," ---","Semantic analyzer: false error message "" `omit' value is not allowed in this context""","2020-01-31 09:01:33"
559832,"Titan","Plug-ins","titan-inbox","NEW"," ---","Semantic analyzer puts false error markers ""Reference to a non-existent field"" onto an open type value","2020-02-04 09:08:36"
560000,"Titan","Plug-ins","titan-inbox","NEW"," ---","ASN.1 false semantic error on generated information object type ""oneErrorObject-Type""","2020-02-11 03:57:13"
561714,"Titan","Core","titan-inbox","NEW"," ---","Rework 'rearrange_init_code' functions","2020-04-02 12:32:20"
561729,"Titan","Core","titan-inbox","NEW"," ---","Clean-up after reference refactoring","2020-04-03 06:56:05"
562085,"Titan","Core","titan-inbox","NEW"," ---","Faulty subtype checking","2020-04-14 03:06:55"
562102,"Titan","Core","titan-inbox","NEW"," ---","Incorrect order in TTCN-3 record  generated by xsd2ttcn","2020-04-14 06:48:14"
563159,"Titan","Plug-ins","titan-inbox","NEW"," ---","is this handling of references with multiple encodings correct?","2020-05-14 04:35:49"
563226,"Titan","Core","titan-inbox","NEW"," ---","add support for assigning values to sets with value list notation","2020-05-15 11:52:15"
563289,"Titan","Core","titan-inbox","NEW"," ---","Titan Logger timestamp problem after 2038","2020-05-22 04:12:19"
564193,"Titan","Other","titan-inbox","NEW"," ---","decvalue for RFC4826 XML fails","2020-06-25 09:27:31"
564280,"Titan","Plug-ins","titan-inbox","NEW"," ---","jump to definition issue in for loops","2020-06-14 09:38:52"
564731,"Titan","Plug-ins","titan-inbox","NEW"," ---","performance improvements thanks to parallelization","2020-06-29 10:13:38"
565300,"Titan","Core","titan-inbox","NEW"," ---","Debugger uplift","2020-07-17 09:22:45"
565542,"Titan","Core","titan-inbox","NEW"," ---","FATAL ERROR is thrown by uninitialized array index","2020-07-25 14:14:51"
566118,"Titan","Core","titan-inbox","NEW"," ---","Float string representation precision problems","2020-11-18 12:19:38"
568419,"Titan","Plug-ins","titan-inbox","NEW"," ---","generate Java code in parallel for even faster build","2020-11-01 07:53:31"
568420,"Titan","Plug-ins","titan-inbox","NEW"," ---","generater more optimal code for crosstags for Diameter","2020-11-01 08:03:47"
568421,"Titan","Plug-ins","titan-inbox","NEW"," ---","idea for performance experiment: generate the classes out for optionals","2020-11-01 08:11:12"
568433,"Titan","Core","titan-inbox","NEW"," ---","refactoring of tests for reducing compilation time","2020-11-02 05:52:50"
568435,"Titan","Plug-ins","titan-inbox","NEW"," ---","Visualizing project structure for multi-project hierarchies","2020-11-02 06:23:35"
568436,"Titan","Plug-ins","titan-inbox","NEW"," ---","connecting definition comments to their definitions","2020-11-02 06:28:48"
568438,"Titan","Plug-ins","titan-inbox","NEW"," ---","remove code quality checks from the designer that are already present in Titanium","2020-12-07 11:40:03"
568440,"Titan","Plug-ins","titan-inbox","NEW"," ---","semantic checking of configuration files","2020-11-02 06:43:55"
568442,"Titan","Plug-ins","titan-inbox","NEW"," ---","help users getting started with active help pages in Eclipse","2020-11-02 07:29:42"
568444,"Titan","Plug-ins","titan-inbox","NEW"," ---","writing a newer simpler ANTLR plugin","2020-11-02 07:55:37"
568445,"Titan","Plug-ins","titan-inbox","NEW"," ---","improved semantic checking performance for project hierarchies","2020-11-02 08:13:50"
568456,"Titan","Plug-ins","titan-inbox","NEW"," ---","code completion with multiple pages","2020-11-02 14:13:10"
568519,"Titan","Plug-ins","titan-inbox","NEW"," ---","syntax highlight based on semantic information in Designer","2020-11-04 04:43:53"
568694,"Titan","Core","titan-inbox","NEW"," ---","OOP-Private member functions in multiple classes are conflicting","2020-11-10 16:17:50"
568714,"Titan","Core","titan-inbox","NEW"," ---","OOP-reusing identifiers of members","2020-11-11 08:18:57"
568716,"Titan","Core","titan-inbox","NEW"," ---","OOP_public methods shall be overridden only by public methods","2020-11-11 08:45:10"
568742,"Titan","Core","titan-inbox","NEW"," ---","OOP-protected methods may be overridden by public or protected methods only","2020-11-12 03:33:37"
568743,"Titan","Core","titan-inbox","NEW"," ---","OOP-a public member function can only be overridden by another public member function","2020-11-12 03:38:07"
568744,"Titan","Core","titan-inbox","NEW"," ---","OOP-passing of object references","2020-11-12 04:56:33"
568745,"Titan","Core","titan-inbox","NEW"," ---","OOP-subtyping","2020-11-12 04:57:40"
568748,"Titan","Core","titan-inbox","NEW"," ---","OOP-Object references passed as actual parameters","2020-11-12 05:47:45"
569201,"Titan","Plug-ins","titan-inbox","NEW"," ---","automated refactoring suggestions for code quality improvement","2020-11-26 06:51:58"
569202,"Titan","Plug-ins","titan-inbox","NEW"," ---","detailed user interaction logging to improve usability","2020-11-26 06:57:36"
569203,"Titan","Plug-ins","titan-inbox","NEW"," ---","add more descriptive names to the image files used in the documentation","2020-11-26 07:01:47"
569204,"Titan","Plug-ins","titan-inbox","NEW"," ---","Lets use the semantic information known to Titan to generate unit tests to TTCN-3 code automatically","2020-11-26 07:08:57"
569205,"Titan","Plug-ins","titan-inbox","NEW"," ---","quickly build the config file into the binary before execution","2020-11-26 07:13:39"
569206,"Titan","Plug-ins","titan-inbox","NEW"," ---","much simpler test execution workflow for cloud environments on the Java side","2020-11-26 07:23:12"
569207,"Titan","Plug-ins","titan-inbox","NEW"," ---","new refactoring feature: detect constructs that could be classes and extract such classes out of them","2020-11-26 07:29:00"
569209,"Titan","Plug-ins","titan-inbox","NEW"," ---","code comments should also be checked","2020-11-26 07:57:20"
569210,"Titan","Plug-ins","titan-inbox","NEW"," ---","Adding ""special"" support for intra JVM communication between PTC -s running on the same machine","2020-11-26 08:04:53"
569211,"Titan","Core","titan-inbox","NEW"," ---","Could Titan use GPUs to speed up encoding/decoding messages?","2020-11-26 08:08:57"
569213,"Titan","Plug-ins","titan-inbox","NEW"," ---","improve the granularity of parallel semantic checking to module internal parts","2020-11-26 08:28:21"
569215,"Titan","Core","titan-inbox","NEW"," ---","Automatically maximalizing information about failing tests in CI systems","2020-11-26 09:12:53"
569216,"Titan","Plug-ins","titan-inbox","NEW"," ---","Extend the Java native Main Controller to visualize the connections in the running test setup dynamically","2020-11-26 08:45:45"
569217,"Titan","Plug-ins","titan-inbox","NEW"," ---","add support for debugging the Java Native Main Controller","2020-11-26 08:49:16"
569218,"Titan","Plug-ins","titan-inbox","NEW"," ---","Generating code for semantically erroneous modules might be an idea to investigate","2020-11-26 09:06:31"
569244,"Titan","Plug-ins","titan-inbox","NEW"," ---","Java plug-ins: automatic execution of regression tests from Java command line","2020-11-27 08:07:58"
569457,"Titan","Plug-ins","titan-inbox","NEW"," ---","Add support for headless build and export of Titan Java projects","2020-12-04 05:52:42"
560028,"Titan","Plug-ins","arpad.lovassy","ASSIGNED"," ---","Semantic analyzer: false error message on encvalue(x,"""",""JSON"") where x is BIT STRING","2020-02-11 10:45:53"
561106,"Titan","Plug-ins","arpad.lovassy","ASSIGNED"," ---","Support for ETSI's JSON module","2020-03-13 12:16:57"
561795,"Titan","Plug-ins","arpad.lovassy","ASSIGNED"," ---","Big unicode characters in TitanUniversalCharString","2020-04-06 02:35:55"
529608,"Titan","Plug-ins","balaskojenoattila","ASSIGNED"," ---","Create automated test environment for dynamic test of ttcn2java compiler","2020-02-04 08:57:37"
568899,"Titan","Core","botond.baranyi","ASSIGNED"," ---","Object-oriented features (continuation2)","2020-12-03 10:45:13"
569445,"Titan","Plug-ins","arpad.lovassy","RESOLVED","FIXED","Runtime CFG preparser missing quotes around charstring","2020-12-04 03:48:46"
533260,"Titan","ProtocolModules","balaskojenoattila","RESOLVED","FIXED","CoAP_CNL113829.tpd allignment for iottestware.coap","2018-12-12 06:23:05"
541634,"Titan","Core","balaskojenoattila","RESOLVED","FIXED","Missing html pages in the on-line help","2018-11-28 06:58:29"
560973,"Titan","Other","botond.baranyi","RESOLVED","FIXED","Errors overlooked checking templates not sufficiently defined","2020-04-20 10:44:49"
546045,"Titan","ProtocolModules","titan-inbox","RESOLVED","FIXED","MQTT Decoding of remaining length","2020-05-14 07:58:59"
547165,"Titan","Website","titan-inbox","RESOLVED","FIXED","contributor guidelines state ""add reviewers"" but not whom to dd","2019-05-13 03:14:55"
544820,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Export properties has wrong default value and enabling","2019-03-04 07:12:44"
559580,"Titan","Plug-ins","alovassy","CLOSED","FIXED","ttcn2java: Wrong generated code: JSON cannot be resolved to a variable","2020-01-27 09:12:36"
529359,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","NPE when deleting from a char quadruple","2018-01-03 06:15:13"
533419,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","StringIndexOutOfBoundsException in PredefFunc.is_utf8()","2018-04-18 10:35:33"
535800,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","Decmatch should be accepted by the syntax checker according to the standard","2018-06-21 06:26:56"
559441,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","new feature: ttcn2java JSON encoder/decoder for recordof","2020-01-28 10:38:19"
559442,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","new feature: ttcn2java JSON encoder/decoder for record","2020-01-28 11:18:54"
559630,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","bugfix: TitanOctetString.JSON_encode() returns wrong encoded value","2020-01-28 11:31:16"
559652,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","False semantic error for encvalue() of value of anytype","2020-02-11 10:01:57"
564805,"Titan","Plug-ins","arpad.lovassy","CLOSED","FIXED","Locale dependent decimal point in JSON encoded float","2020-07-03 04:58:25"
529399,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Wrong universal charstring triggers an NPE in semantic checker","2018-01-05 09:29:33"
529424,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","unichar2int(arg): arg universal charstring initialized with charstring triggers an NPE in semantic checker","2018-01-05 09:27:25"
529455,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Faulty semantic error marker on argument of sizeof if the argument is func parameter value","2018-01-30 03:43:05"
529636,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Semantic analyzer: NPE at string concatenation if second operand is missing","2018-01-30 03:42:20"
530221,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Install Guide: Minimal Eclipse version shall be changed for 4.2.0, suggested version: 4.7.1a","2018-02-08 09:06:54"
530487,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","ConsoleTimeStampFormat in cfg file freezes the running of the executable","2018-01-30 08:50:51"
530541,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","ConsoleTimeStamp is not filtered out from TITAN notification","2018-02-02 05:33:21"
530656,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","ConsoleTimeStamp is not supported by the cfg file editor","2018-02-12 10:44:14"
531343,"Titan","Plug-ins","balaskojenoattila","CLOSED","WONTFIX","Stack overflow for long string concatenation","2018-03-06 06:52:54"
531391,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Faulty property change handling in builder","2018-02-20 10:01:54"
531416,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Faulty type check for formal parameters of type 'sequence of'","2018-02-21 02:55:18"
531569,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Faulty semantic error marker on match(vl_integers,?)","2018-02-23 02:53:12"
531904,"Titan","Core","balaskojenoattila","CLOSED","FIXED","Document new tpd tag disableUserInformation in the referenceguide.doc","2018-03-02 03:16:57"
531906,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Update Designer to support the new tpd element 'disableUserInformation'","2018-04-18 10:32:11"
531933,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Symlink creation should be forced for external Makefile generation","2018-04-18 10:34:47"
534431,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Semantic analyzer: NPE at the first re-analyzing","2018-12-12 06:23:59"
536130,"Titan","Core","balaskojenoattila","CLOSED","FIXED","License upgrade to EPL 2.0","2020-01-17 06:05:18"
536132,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","License upgrade to EPL 2.0 in plugins","2018-10-02 09:34:49"
536582,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Spaces are removed from free strings of files .TITAN_properties and .tpd","2018-12-12 07:31:39"
537537,"Titan","Core","balaskojenoattila","CLOSED","FIXED","Prepare titan.core for release 6.4.1","2018-10-02 09:36:15"
539450,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Check and update titan documentation migrated into asciidoc format","2018-12-12 07:32:35"
540217,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Template module parameter should not accepted in value comparison","2018-10-18 03:52:59"
540255,"Titan","Core","balaskojenoattila","CLOSED","FIXED","Matching optional field having value ""omit"" with template anyOrOmit (*) caused DTE","2020-06-08 01:16:38"
541836,"Titan","Core","balaskojenoattila","CLOSED","FIXED","MyExample2.cfg is missing from the demo folder but it is referred","2018-12-03 10:17:31"
545019,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Compiler version info collector: Modify the processing of the output of ""compiler -v""","2019-04-09 08:30:46"
546143,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Wrong tpd default value settings of GNUMake and incrementalDependencyRefresh","2019-04-09 08:24:25"
547116,"Titan","Plug-ins","balaskojenoattila","CLOSED","FIXED","Semantic analysis error for permutation-all_from-array","2020-08-04 04:44:45"
559408,"Titan","Plug-ins","balaskojenoattila","CLOSED","INVALID","ttcn2java: version extension handling error, java code is not generated","2020-01-23 04:46:38"
