"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
532972,"Tracecompass","Core","patrick.tasse","UNCONFIRMED"," ---","feature: Make CPU Resources view more easy to read for Android trace","2018-06-15 21:21:48"
537631,"Tracecompass","pcap","tracecompass-inbox","UNCONFIRMED"," ---","""Event in selection"" pie chart disappeared when swithcing from a view to another view","2018-08-02 15:56:24"
537961,"Tracecompass","CTF","tracecompass-inbox","UNCONFIRMED"," ---","TraceCompass 4.0 is hang when switching from glxgears-cyg-profile trace to glxgears-cyg-profile-fast","2018-08-15 10:00:07"
537965,"Tracecompass","LTTng","tracecompass-inbox","UNCONFIRMED"," ---","Wrong export from trace to .csv file","2018-08-15 11:54:43"
537970,"Tracecompass","LTTng","tracecompass-inbox","UNCONFIRMED"," ---","Missing header when clicking on up/down icon beside of Disk Name column of Disk I/O Activity bar","2018-08-15 16:21:15"
538040,"Tracecompass","CTF","tracecompass-inbox","UNCONFIRMED"," ---","Trace (analysis stubs) import failed, but no error/warning dialog box is displayed","2018-08-17 11:00:47"
538802,"Tracecompass","CTF","tracecompass-inbox","UNCONFIRMED"," ---","Control flow not updating to reflect sched_switch event (should change to orange - wait for CPU).","2019-04-27 19:38:06"
542893,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Trace seems to close on rename","2018-12-18 13:08:09"
543702,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Cannot enter time offset with ""advanced"" mode","2019-01-22 14:54:10"
543758,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Maximum vertical zoom should match view height","2019-01-23 23:59:11"
543759,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Cannot un-apply view filter","2019-01-24 00:03:38"
547784,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Intersect time intervals in experiments","2019-05-30 10:29:40"
548187,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","OpenTracingTrace cannot read JSON files with multiple traces","2019-06-12 10:50:25"
548412,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","[TMF] Time range selection : delta cannot be negative on certain views","2019-08-02 15:36:56"
549124,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","TC freezes on closing experiment after erroneous EASE script","2019-07-16 15:44:21"
550562,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Allow custom fonts in TimeGraphControl","2019-08-29 11:08:25"
550946,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","[TMF] Entering a window span of 1ns in Histogram View should be invalid","2019-09-23 13:32:20"
551224,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Remove button of experiment is of abnormally large size","2019-09-18 16:49:42"
553190,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Bookmark color does not work","2019-11-19 11:29:17"
558820,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Build Trace Compass 5.2.0 - No available bundle exports package 'org.apache.commons.cli'","2020-01-06 10:01:01"
562035,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","trace compass can not read overall raw textual","2020-04-13 09:07:05"
563235,"Tracecompass","Core","tracecompass-inbox","UNCONFIRMED"," ---","Selection bug after sorting table","2020-09-25 13:21:40"
564306,"Tracecompass","LTTng","tracecompass-inbox","UNCONFIRMED"," ---","File descriptor analysis","2020-06-15 13:28:40"
564860,"Tracecompass","BTF","tracecompass-inbox","UNCONFIRMED"," ---","BTF traces with timescale ms cause internal error","2020-07-02 09:22:26"
565096,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","Time graph arrows disappear when filtering","2020-07-09 17:55:03"
565247,"Tracecompass","TMF","tracecompass-inbox","UNCONFIRMED"," ---","[Filtering] Cannot filter based on Trace or State","2020-10-20 18:18:07"
