"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
535782,"Virgo","unknown","virgo-inbox","NEW"," ---","Product should be released as a docker images","2018-06-11 16:51:03"
536917,"Virgo","runtime","virgo-inbox","NEW"," ---","Update Apache Tomcat to version 8.5.32 or later","2018-07-11 08:55:43"
546942,"Virgo","runtime","virgo-inbox","NEW"," ---","Replace endorsed standards override mechanism","2019-11-12 02:59:58"
548504,"Virgo","runtime","virgo-inbox","NEW"," ---","Update equinox OSGi runtime to latest version 3.13 to support latest R7","2019-06-21 05:42:57"
552729,"Virgo","runtime","virgo-inbox","NEW"," ---","Clean start without deleting serviceability folder","2019-11-06 05:20:10"
536567,"Virgo","samples","fwaibel","ASSIGNED"," ---","Update recipes to test 3.7.3.RELEASE with Spring 4.3.18.RELEASE","2018-07-02 04:12:14"
564807,"Virgo","runtime","virgo-inbox","ASSIGNED"," ---","Update to Gemini Web 3.0.6.RELEASE or later","2020-07-23 18:16:44"
546611,"Virgo","virgo-build","fwaibel","RESOLVED","FIXED","Use BND to generate OSGi metadata for Virgo bundles","2019-11-08 15:57:51"
535730,"Virgo","runtime","virgo-inbox","RESOLVED","FIXED","Add postfix 'hprof' to Virgo heap dumps","2019-10-05 07:34:33"
532222,"Virgo","runtime","fwaibel","CLOSED","FIXED","Prepare OSGi bundles of Spring Framework 5.0.x and dependencies for Gemini Blueprint 3 upgrade","2018-08-10 04:10:21"
535697,"Virgo","runtime","fwaibel","CLOSED","FIXED","Remove proxy check during CI build","2018-06-08 10:38:52"
535704,"Virgo","runtime","fwaibel","CLOSED","FIXED","Bump JaCoCo Plugin Version - Current version is incompatible with Virgo JIPP","2018-06-08 10:38:12"
535765,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update bundlor to 1.1.3.M01 or later","2018-06-26 17:49:35"
535989,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update Spring Framework to 4.3.18.RELEASE","2020-05-20 03:55:20"
536104,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update Java profile to Java 8","2020-05-20 03:55:34"
536590,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update Gemini Blueprint to 3.0.0.M01","2019-08-11 10:16:07"
542556,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update Gemini Web to 3.0.4.RELEASE or later","2020-05-20 03:55:48"
542569,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update Spring Framework to 4.3.21.RELEASE or later","2020-05-20 03:56:01"
546603,"Virgo","runtime","fwaibel","CLOSED","FIXED","[Spring-Cleaning] Discontinue Virgo RAP","2019-08-11 10:15:33"
546613,"Virgo","jetty","fwaibel","CLOSED","FIXED","[Spring-Cleaning] Discontinue Virgo jetty Server","2019-08-11 10:15:21"
546940,"Virgo","runtime","fwaibel","CLOSED","FIXED","Update JavaVersionChecker - with 3.8.x we target the LTS versions 8 and 11","2019-08-11 10:17:48"
549091,"Virgo","unknown","fwaibel","CLOSED","FIXED","Eclipse Gradle import problem with duplicate project names","2019-10-03 16:08:28"
551713,"Virgo","unknown","fwaibel","CLOSED","FIXED","Virgo build fails: downloadVirgoBuildTools - archive is not a ZIP archive","2019-10-03 15:43:12"
551921,"Virgo","virgo-build","fwaibel","CLOSED","FIXED","rewriteJar task fails on Windows","2019-10-17 16:23:12"
551989,"Virgo","virgo-build","fwaibel","CLOSED","FIXED","[org.eclipse.virgo.repository] Access restriction on com.sun.net.httpserver","2019-10-21 01:14:18"
561574,"Virgo","tooling","gm.romanato","CLOSED","FIXED","Virgo Tools do not work on Eclipse 2019-06 or later","2020-03-31 03:22:05"
537017,"Virgo","tooling","virgo-inbox","CLOSED","DUPLICATE","Virgo Tools do not work on Photon","2020-03-30 05:44:40"
