"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
542472,"WTP ServerTools","wst.server","wst.server-inbox","UNCONFIRMED"," ---","Test resources are deployed to web server","2020-01-06 10:10:13"
532128,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Adding Project to Tomcat Server","2019-08-22 15:36:21"
533331,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Folders in server configuration aren't published to the configured path (workspace metadata)","2018-04-06 15:09:37"
535126,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","eclipse tomcat integration: ""... .server is not a valid server""","2018-05-29 03:44:17"
536654,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Tomcat server - Context menu for restarting Tomcat module is never enabled","2020-10-11 10:42:44"
537259,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Why does Neon1 start empty Tomcat9 Server 900ms while Oxygen and Photon start it need 20000ms?","2018-07-26 20:53:08"
537403,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Eclipse does not regonize TomCat start when configured with a custom connector","2018-07-26 05:35:16"
537901,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Tomcat ""Serve modules without publishing"" fails with m2e and custom webXml path","2019-11-26 13:38:53"
539647,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","starting or stopping tomcat can prevent using eclipse editor","2018-09-29 11:03:06"
547960,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","NPE when using Tomcat 9 in latest 2019-06 M3 epp smoketest","2019-10-29 15:53:37"
548177,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Invalid ""classpath entry will not be exported or published"" warning","2019-06-12 03:56:02"
548196,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Pre-launch check blocks the startup of Wildfly server","2020-03-06 10:35:20"
548743,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Something in WTP points to an invalid JBoss-URL","2019-06-28 08:50:30"
548856,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Tomcat9 useAprConnector not completes starting and then stops","2019-07-02 05:21:28"
550860,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Offer to deploy the ROOT application for Apache Tomcat instances","2019-09-07 10:48:42"
552889,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Update ""J2EE"" module naming","2019-11-10 21:27:17"
564110,"WTP ServerTools","jst.server","jst.server-inbox","NEW"," ---","Tomcat v9.0 Server at localhost"" is always resetting the local machine catalina configuration when resync.","2020-06-09 04:09:14"
565922,"WTP ServerTools","jst.server","thatnitind","NEW"," ---","endorsed VM argument should be removed when launching with Java 9 and newer","2020-08-17 15:26:14"
529922,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Unable to start Tomcat, Any Version","2018-06-04 20:09:18"
534465,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Update Liberty Tools discovery site to point to Photon site","2018-05-09 11:12:05"
534937,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Server view: Port number fields don't turn into input fields","2018-08-02 11:18:28"
535271,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","google cloud sdk is not installed in eclipse oxygen","2018-05-31 16:37:13"
546917,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Publish fails with Error ex. copying file WEB-INF\lib\commons-discovery-0.5.jar: C:\apps\mfgapps\efir\tomcat\temp\tmp18370677893626869112.jar (The process cannot access the file because it is being used by another process)","2020-03-31 12:50:39"
547641,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Layout issues on Run/Debug on Server wizard","2019-06-10 09:00:29"
558985,"WTP ServerTools","wst.server","wst.server-inbox","NEW"," ---","Web Module Path Reverts","2020-01-10 09:50:35"
