"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
561466,"WTP Source Editing","jst.jsp","jst.jsp-inbox","UNCONFIRMED"," ---","[jsp editor] Opening path | source in file explorer multiple times when typing or focusing ""<c:""","2020-03-26 09:14:42"
536615,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP validation: incorrect warning: The import XX is never used","2018-07-03 12:41:24"
538736,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","The method getEquals() is undefined for the type String","2018-09-06 10:04:12"
541783,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Bogus ""fragment not found"" error when using jsp:include pointing to a controller method","2018-12-01 16:50:56"
543892,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP editor keeps showing error after correcting code","2019-01-28 09:18:04"
547836,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Eclipse is not responding on ctrl + c and ctrl + v (copy/paste).","2020-03-05 11:24:47"
549540,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Error:Jsp page outline view click JavaScript method !!!","2019-07-26 17:32:34"
549951,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","No Default Proposals error inside Java/JSP command inside tag","2019-11-22 08:42:17"
565328,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","JSP translator must account for Jakarta EE 9 package change","2020-07-18 23:10:54"
566324,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","Eclipse reporting errors in javascript code for pdf-lib","2020-08-24 16:45:28"
568723,"WTP Source Editing","jst.jsp","jst.jsp-inbox","NEW"," ---","[Validation] JSP validation is incorrectly warning about <div> tags shouldn't be inside <a> tags in HTML5.","2020-11-11 10:40:39"
536808,"WTP Source Editing","wst.dtd","Platform-UI-Inbox","NEW"," ---","Photon produces conflicting dependencies","2018-07-11 09:55:59"
534093,"WTP Source Editing","wst.sse","thatnitind","NEW"," ---","Duplicated keybinding context name","2020-08-21 01:25:05"
543211,"WTP Source Editing","jst.jsp","thatnitind","NEW"," ---","[validation] Unable to validate jsp:useBean with Map type","2020-08-21 01:25:12"
544127,"WTP Source Editing","wst.xml","thatnitind","NEW"," ---","Generating autocomplete from XSD crashes Eclipse","2019-06-13 05:47:28"
550071,"WTP Source Editing","wst.xsd","thatnitind","NEW"," ---","Generating autocomplete from XSD crashes Eclipse","2020-08-21 01:25:09"
537190,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","[CSS3] Add support for CSS Grid Layout Module","2018-07-19 10:29:46"
537206,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS Formatter removes line breaks between selectors","2018-07-20 04:05:53"
542786,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS preference to disable automatically closing brackets as you type","2018-12-13 18:12:11"
548122,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","[CSS] Some selectors aren't correctly formatted","2019-06-11 08:42:40"
562877,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS editor preference to turn-off automatically closing of braces","2020-05-06 06:09:22"
562878,"WTP Source Editing","wst.css","wst.css-inbox","NEW"," ---","CSS editor: automatically closing brace / parenthesis / bracket is buggy resp. backspace","2020-05-06 06:19:15"
569122,"WTP Source Editing","wst.dtd","wst.dtd-inbox","NEW"," ---","Tab completion not working for DTD files. DTD files in XML catalog loose initial slash","2020-12-10 03:39:39"
