"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
567717,"Working Groups","OpenHW Group","denis.roy","NEW"," ---","Backup OpenHW Github repos","2020-10-22 10:27:19"
567322,"Working Groups","openPASS","sharon.corbett","NEW"," ---","Updates to the OpenPass Steering Committee <openpass-sc@eclipse.org> mailing list","2020-09-30 11:45:40"
567852,"Working Groups","JakartaEE","sharon.corbett","NEW"," ---","[Jakarta EE Working Group Agreements] Name Fixes","2020-10-13 20:35:02"
567008,"Working Groups","JakartaEE","jakarta.wg-inbox","RESOLVED","NOT_ECLIPSE","Can I be added to the eclipse-ee4j org on GitHub?","2020-09-21 09:17:50"
547020,"Working Groups","OpenADX","openadx.wg-inbox","RESOLVED","FIXED","Create an openADx.eclipse.org website","2019-06-21 09:55:36"
560022,"Working Groups","OpenADX","openadx.wg-inbox","RESOLVED","FIXED","Login to OpenADx Wiki not possible","2020-02-13 02:04:11"
567457,"Working Groups","OpenMDM","openmdm.wg-inbox","RESOLVED","INVALID","test","2020-09-29 13:14:21"
545486,"Working Groups","OpenMDM","webdev","RESOLVED","FIXED","openMDM.org website - admin permissions","2019-03-20 13:57:54"
552856,"Working Groups","Polarsys","webmaster","RESOLVED","FIXED","Migrate polarsys download page","2020-01-23 14:06:51"
552857,"Working Groups","LocationTech","webmaster","RESOLVED","FIXED","Migrate locationtech websites to eclipse.org","2019-12-13 14:59:26"
567494,"Working Groups","JakartaEE","webmaster","RESOLVED","FIXED","Request of committers addition for jakartaee/collateral project","2020-10-21 15:14:44"
568261,"Working Groups","OpenMDM","webmaster","RESOLVED","FIXED","Deprecate openmdm-wg-members Mailing List","2020-10-30 09:40:23"
532949,"Working Groups","LocationTech","locationtech.wg-inbox","CLOSED","FIXED","Additional committers for locationtech/rasterframes","2018-07-20 15:32:51"
549796,"Working Groups","OpenADX","openadx.wg-inbox","CLOSED","FIXED","Git or GitHub repository for the steering committee","2020-07-02 06:22:36"
547509,"Working Groups","openMobility","openmobility.wg-inbox","CLOSED","WONTFIX","GitHub Repository for Eclipse openMobility Working Group","2019-05-24 05:08:49"
545132,"Working Groups","openPASS","webmaster","CLOSED","FIXED","openPASS website -  update issues","2019-03-06 10:55:07"
