"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
529447,"eTrice","Core","etrice.core-inbox","NEW"," ---","[newfsmgen] remove the deprecated name of message data","2018-08-17 03:33:05"
539704,"eTrice","Core","etrice.core-inbox","NEW"," ---","DCParser endless loop","2019-08-30 11:49:06"
540602,"eTrice","Core","etrice.core-inbox","NEW"," ---","Add genmodel and ecore files to jars","2019-08-30 11:43:30"
546280,"eTrice","Core","etrice.core-inbox","NEW"," ---","[core] Detect ambiguous imported names","2019-08-30 10:55:02"
550960,"eTrice","Core","etrice.core-inbox","NEW"," ---","[editor] genmodel validation for single resource is validating whole project","2020-05-26 02:08:56"
564529,"eTrice","Core","etrice.core-inbox","NEW"," ---","reduce warnings, deprecation warnings in particular","2020-06-22 06:21:55"
564609,"eTrice","Core","etrice.core-inbox","NEW"," ---","[core] organize imports doesn't consider references of SPPs","2020-06-24 04:31:28"
542797,"eTrice","Documentation","etrice.documentation-inbox","NEW"," ---","[doc] complete feature reference documentation","2019-08-30 11:47:11"
545233,"eTrice","Documentation","etrice.documentation-inbox","NEW"," ---","[doc] Provide documentation for import statements without uris","2020-05-26 02:08:57"
549590,"eTrice","Documentation","etrice.documentation-inbox","NEW"," ---","[doc] Generate separate interface and implementation documentation","2019-08-30 10:28:54"
534573,"eTrice","Generators","etrice.generators-inbox","NEW"," ---","DataClass ctor is not generated","2018-08-17 03:33:23"
536603,"eTrice","Generators","etrice.generators-inbox","NEW"," ---","[generator.c] Incomplete ProtocolClass inheritance","2018-08-17 03:33:02"
541361,"eTrice","Generators","etrice.generators-inbox","NEW"," ---","[Usability] Provide hint for untranslated message calls","2020-05-26 02:08:53"
550961,"eTrice","Generators","etrice.generators-inbox","NEW"," ---","[gen.c] Remove accessors macros for attributes and operations","2020-05-26 02:08:55"
547956,"eTrice","RelEng","etrice.releng-inbox","NEW"," ---","Use BOM for gradle build","2020-06-17 11:15:19"
550615,"eTrice","Runtime","etrice.runtime-inbox","NEW"," ---","[runtime] remove sync logging in runtime","2020-05-26 02:08:58"
563939,"eTrice","Runtime","etrice.runtime-inbox","NEW"," ---","[runtime.c] improve performance for multi-threaded systems","2020-06-04 10:53:46"
540511,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[diagram] Dialog initial size is to small and position is misplaced","2019-08-30 11:47:24"
540515,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[diagram] remove transition trigger group","2019-08-30 11:43:52"
541143,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[diagrams] diagrams should use platform uris","2019-08-30 11:35:42"
541349,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[Usability] Content assist should append semicolon","2019-08-30 11:29:12"
543335,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[diagrams] race conditions on save","2020-05-26 02:08:56"
549587,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[generators, ui] find a more flexible solution for user code","2019-08-30 10:41:18"
549589,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[doc] support different markup languages","2019-08-30 10:36:40"
563571,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[ui] create a viewer for instance trees","2020-05-26 02:40:59"
563637,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[ui] in textual models show all references in italics","2020-05-27 10:25:11"
565137,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","Improve ui support for imports in the mapping model and physical model","2020-07-10 14:34:14"
567745,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","Contentassist for states in transitions shows states that are out of scope","2020-10-09 05:39:15"
567904,"eTrice","UserInterface","etrice.userinterface-inbox","NEW"," ---","[ui] investigate the feasibility of a multi page editor for source and diagrams","2020-10-15 06:34:35"
532533,"eTrice","UserInterface","etrice.userinterface-inbox","ASSIGNED"," ---","update images for (online) documentation","2019-08-27 08:00:03"
534211,"eTrice","Core","hrr","ASSIGNED"," ---","unify Detail Code parsing","2020-04-27 05:36:06"
536769,"eTrice","UserInterface","hrr","ASSIGNED"," ---","[room.ui] Use new DC tools for content assist","2019-08-22 06:47:13"
545392,"eTrice","Core","jan.belle","ASSIGNED"," ---","[genmodel] Repl ports cannot be delgated","2020-05-26 02:08:55"
565107,"eTrice","Runtime","juergen.haug","ASSIGNED"," ---","[runtime.c] etFixedSize available memory should be known","2020-07-10 06:25:01"
550253,"eTrice","Generators","etrice.generators-inbox","REOPENED"," ---","In the generaded C code inherited operations are missing in extending DataClasses","2020-05-26 02:08:52"
563658,"eTrice","Documentation","christian.hilden","RESOLVED","FIXED","[Documentation] Add documentation for PortClasses","2020-05-29 04:43:04"
536975,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","2.00 Does not work with Oxygen 3","2018-07-18 04:49:53"
540718,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","[core] documentation fields should be added to SAP and SPP","2018-11-02 08:20:49"
540720,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","Consolidate model documentation approach","2019-09-27 09:39:00"
541499,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","Ensure consistent versions of eclipse plugins and gradle jars","2019-10-11 10:22:50"
543468,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","Add FSM states and transitions as annotation targets","2019-07-26 06:26:14"
545232,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","[core] Revise fsm diagnostician","2019-07-26 06:24:37"
545314,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","[core] get rid of 'protocol don't match'","2019-07-26 06:24:27"
546281,"eTrice","Core","etrice.core-inbox","RESOLVED","WONTFIX","[core] Detect ambiguous names on modelpath","2019-08-30 10:52:40"
550141,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","[room] improve implementation of scoping (avoid dispatching by name)","2019-08-17 13:51:50"
558626,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","Problems setting properties of threads through the pthread library","2020-03-27 04:01:06"
559790,"eTrice","Core","etrice.core-inbox","RESOLVED","WONTFIX","[core] order of top level elements in RoomModel","2020-07-03 16:25:06"
562962,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","[core] Replace deprecated xtext generators (mwe2 components) with the current XtextGenerator component","2020-11-14 09:10:02"
563215,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","Add validation for bindings between replicated ports","2020-05-22 04:04:21"
569188,"eTrice","Core","etrice.core-inbox","RESOLVED","FIXED","StackOverflowError occures if a model contains a ""choice point loop""","2020-11-28 06:25:47"
541517,"eTrice","Documentation","etrice.documentation-inbox","RESOLVED","FIXED","[doc] improved usability of tutorials/getting started section","2018-12-07 06:28:42"
543564,"eTrice","Documentation","etrice.documentation-inbox","RESOLVED","FIXED","[doc.gen] add operations in generated documentation","2019-02-08 11:32:56"
532878,"eTrice","Generators","etrice.generators-inbox","RESOLVED","FIXED","[generator] Platform resource imports cause standalone documentation generator to throw an exception","2018-06-15 08:56:15"
532881,"eTrice","Generators","etrice.generators-inbox","RESOLVED","WONTFIX","[generator] Platform resource imports mixed with relative imports cause protocols don't match errors","2019-11-02 13:26:24"
540707,"eTrice","Generators","etrice.generators-inbox","RESOLVED","FIXED","[generator.*] introduce switch for old style generation of transition data variable name","2018-11-02 08:01:09"
542796,"eTrice","Generators","etrice.generators-inbox","RESOLVED","FIXED","[generator.doc] improve documentation generator","2019-07-26 06:52:26"
546030,"eTrice","Generators","etrice.generators-inbox","RESOLVED","FIXED","[doc.gen] Improve preview of documentation comments","2019-07-26 06:48:01"
