"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
534322,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","Avoid additional LSP instance for nested sub-projects, reuse existing one","2018-05-03 11:26:56"
536820,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Changes to configuration of language server should be effective in real-time","2018-08-14 03:04:35"
537154,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Add support for 'textDocument/onTypeFormatting'","2018-07-18 11:44:29"
539126,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Random freeze when LSP logs on console","2019-02-05 03:53:43"
542814,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","NPE on ""rename"" action","2018-12-14 12:10:33"
545005,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","Implementing StreamConnectionProvider causes stability issues.","2019-10-05 05:24:01"
545449,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","Tolerate URIs that contain spaces","2019-03-18 05:37:44"
547879,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","Folding update does not work correctly","2019-10-25 15:01:34"
548366,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","LSP4E icons (Symbolkind) are not compatible with LSP4J","2019-06-18 06:01:17"
548729,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","[Highlight] Set orange color for Write kind annotation","2019-06-28 04:22:01"
548881,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Remove Hover timeout","2019-07-04 09:45:08"
551240,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Outline view does not update when editor caret is moved with hierarchical symbols","2019-09-19 09:20:01"
551625,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Provide extension point to manage custom uri on client side","2019-09-30 08:36:13"
552743,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Support code format on save","2020-02-13 16:28:24"
560832,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","BadLocationExcpetion while refreshing Outline in CNFOutlinePage.labelProviderChanged","2020-05-18 06:17:30"
563543,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Render 'textDocument/documentLink' as underlined text","2020-05-25 06:05:27"
564503,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","Allow alphabetical sorting in Outline view","2020-06-22 12:25:07"
569255,"lsp4e","IDE","lsp4e-inbox","UNCONFIRMED"," ---","[feature] add support for custom icons for symbols by lsp plugins","2020-11-27 11:46:34"
569372,"lsp4e","General","lsp4e-inbox","UNCONFIRMED"," ---","TimoutException on HyperlinkDetector, especially when just opening the file","2020-12-03 06:27:47"
561533,"lsp4e","IDE","mistria","UNCONFIRMED"," ---","In outline view,the expanded node(like js class) will be collapsed automatically","2020-05-26 12:12:58"
535429,"lsp4e","General","lsp4e-inbox","NEW"," ---","Allow linking to a specific language server's preference page","2018-06-05 03:55:56"
553823,"lsp4e","IDE","andrew","NEW"," ---","[LSP4E] Quick assist does not refresh when code Actions have finished computing on LS","2020-10-07 07:23:35"
540531,"lsp4e","IDE","eclipse","NEW"," ---","[Dark Theme] ""LSP Text Occurrences"" background color not adapted","2019-01-22 11:03:05"
530229,"lsp4e","Debug Adapter Protocol","lsp4e-inbox","NEW"," ---","""Inspect"" and ""watch"" context-menu actions","2018-02-06 04:21:15"
530269,"lsp4e","General","lsp4e-inbox","NEW"," ---","Add documentation page linked to the project page","2018-01-25 05:03:39"
530896,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","After each completion a new line delimiter is insterted","2018-06-05 03:42:06"
532701,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Improve lsp4e behaviour when language server failed on start","2019-03-20 17:49:41"
533584,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Provide LocalStreamConnectionProvider (for language server written in Java)","2018-04-19 04:47:19"
533803,"lsp4e","General","lsp4e-inbox","NEW"," ---","Revise wrapper lifecycle","2018-04-19 04:56:59"
536215,"lsp4e","General","lsp4e-inbox","NEW"," ---","Make LanguageClientImpl public API","2018-06-25 23:02:16"
536232,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Toggle Higlight doesn't work","2019-07-29 14:19:23"
536788,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","[Rename menu] can block the UI thread waiting on a response from the server","2019-02-18 11:09:43"
537198,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Deadlock during editor open","2018-07-24 12:10:40"
537366,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","LanguageServersRegistry.getInstance().canUseLanguageServer doesn't take care of base content type","2018-08-01 06:03:20"
537707,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Add support for 'textDocument/implementation'","2019-01-22 11:03:33"
538036,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Rename file resource fails some operation of language server","2018-09-06 08:52:58"
538244,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","[rename] F2 doesn't open rename dialog on Windows OS","2020-02-03 04:30:54"
538856,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Allow support for LSInspector log format","2019-06-26 13:09:09"
543370,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","NPE parsing ""textDocument/rename"" response from RLS","2019-01-17 11:38:14"
543627,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Implement file watching","2019-01-22 10:54:40"
544082,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Close Console when Language Server associated is stopped","2020-03-23 11:19:12"
544449,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Missing quick-fixes on non-workspace files","2019-02-14 10:48:37"
545140,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","RLS stops working altogether, lots of BLOCKED lsp4e threads","2019-03-07 06:35:39"
545454,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","getInitializedServer called on UI thread. Hangs ui for seconds at a time","2019-11-20 17:17:50"
545657,"lsp4e","Debug Adapter Protocol","lsp4e-inbox","NEW"," ---","When variable has hover and value in Debug hover window size is to small","2019-06-14 05:36:32"
546106,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","""Show Tooltip description""/F2 seems non functional","2019-04-04 05:04:16"
549321,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Using a base-type in a content-type causes lsp4e to produce reconcile errors for the base-type","2019-07-29 05:49:22"
549859,"lsp4e","IDE","lsp4e-inbox","NEW"," ---","Consider Renaming LSPTextHover back to LSBasedHover","2019-08-07 17:37:26"
