"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
546801,"m2e","Core","m2e.core-inbox","UNCONFIRMED"," ---","Could not calculate build plan: Plugin org.apache.maven.plugins:maven-compiler-plugin:3.1 or one of its dependencies could not be resolved.","2019-04-29 01:27:00"
564520,"m2e","Core","jdt-core-inbox","NEW"," ---","Eclipse produced class files incompatible with OpenJDK compiler for java.nio.ByteBuffer.flip().","2020-11-17 12:25:52"
529607,"m2e","ui","m2e.core-inbox","NEW"," ---","When opening a pom file from a non-m2e project with m2e editor, propose to configure project","2018-01-10 04:10:01"
530587,"m2e","Core","m2e.core-inbox","NEW"," ---","Maven Extensions in .mvn folder are ignored","2020-09-30 07:13:24"
532016,"m2e","ui","m2e.core-inbox","NEW"," ---","Set default Java execution environment when creating a new project","2019-12-09 04:08:52"
533170,"m2e","build","m2e.core-inbox","NEW"," ---","A build providing quality dashboard on sonar.eclipse.org","2018-04-03 09:34:59"
533176,"m2e","Core","m2e.core-inbox","NEW"," ---","After updating from Oxygen.2 to Oxygen.3 I get an exception: java.lang.ClassNotFoundException: ch.qos.logback.core.rolling.RollingFileAppender cannot be found by ch.qos.logback.classic_1.1.2.v20160208-0839","2018-12-22 15:09:31"
533398,"m2e","jdt","m2e.core-inbox","NEW"," ---","Infer source encoding from embedded META-INF/IDE/encoding file","2018-04-09 17:28:28"
533816,"m2e","jdt","m2e.core-inbox","NEW"," ---","JDT annotation paths and source exclusion rules are lost when .classpath is regenerated","2019-09-19 12:55:23"
534022,"m2e","Core","m2e.core-inbox","NEW"," ---","Cannot use -pluginCustomization feature to define runtime nodes","2020-07-21 14:53:18"
534072,"m2e","editors","m2e.core-inbox","NEW"," ---","With scala ide plugin, the Maven Pom Editor crashes.","2020-08-02 12:19:24"
534613,"m2e","Core","m2e.core-inbox","NEW"," ---","Maven not downloading any jars even after reinstalling the whole system","2020-03-24 04:03:53"
534772,"m2e","Core","m2e.core-inbox","NEW"," ---","m2e does not involve project's maven.config file when building the effective POM","2020-05-26 07:57:27"
534792,"m2e","ui","m2e.core-inbox","NEW"," ---","OutOfMemory error when retrieving Maven Archetypes","2019-03-14 09:40:34"
534873,"m2e","Core","m2e.core-inbox","NEW"," ---","M2E eclipse maven logger console doesn't work","2020-03-31 07:50:35"
535302,"m2e","jdt","m2e.core-inbox","NEW"," ---","NPE in maven classpath initializer on eclipse startup","2020-05-19 08:25:34"
535334,"m2e","ui","m2e.core-inbox","NEW"," ---","Cannot launch arbitrary pom file","2018-05-30 15:19:44"
535410,"m2e","Core","m2e.core-inbox","NEW"," ---","Duplicate maven-surefire classpath entry","2020-05-21 09:56:44"
535432,"m2e","Core","m2e.core-inbox","NEW"," ---","Invalid ZIP archive","2020-07-03 00:23:07"
535491,"m2e","Core","m2e.core-inbox","NEW"," ---","Convert to Maven Project ignores dependencies","2020-05-24 01:45:25"
535534,"m2e","Core","m2e.core-inbox","NEW"," ---","Share m2e index folder between diffrent workspace.","2018-06-05 03:36:17"
535587,"m2e","editors","m2e.core-inbox","NEW"," ---","""Open XML page in the POM editor by default"" not working on first opening, but ok on second","2020-05-27 12:02:30"
535650,"m2e","jdt","m2e.core-inbox","NEW"," ---","Update Project removes add-export declarations in Java 9 projects","2019-08-14 22:06:17"
535973,"m2e","Core","m2e.core-inbox","NEW"," ---","Build order in eclipse is alphabetical ignoring dependencies between maven projects","2019-09-09 10:27:47"
536178,"m2e","ui","m2e.core-inbox","NEW"," ---","[m2e] Unable to import maven projects  which has name with special characters","2020-06-12 18:18:03"
536179,"m2e","build","m2e.core-inbox","NEW"," ---","Maven errors on Eclipse start","2020-06-12 15:25:16"
536195,"m2e","editors","m2e.core-inbox","NEW"," ---","Enhancement - In POM.XML editor extract version to property in pom files","2019-07-11 02:57:02"
536314,"m2e","Core","m2e.core-inbox","NEW"," ---","import of pom.xml with empty sourceDirectory creates incorrect path in .classpath file","2020-06-16 13:46:54"
536748,"m2e","ui","m2e.core-inbox","NEW"," ---","Rename artifact in project heriting values from parent pom","2020-06-26 10:05:20"
536865,"m2e","Core","m2e.core-inbox","NEW"," ---","Build order broken when AspectJ is used","2020-09-23 09:39:08"
