"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
486198,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Renaming of elements","2016-01-20 15:03:12"
491690,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","There's no way to delete single test in the FBTester","2016-04-14 08:40:11"
510731,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Many instances of Forte running is not easy to detect","2017-01-20 05:03:41"
512145,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Virtual DNS: non existing variable","2017-02-13 16:26:33"
512336,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Monitoring icon does not appear correctly in system explorer","2020-05-27 03:02:48"
513680,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Type export should have a 4th button in order to cancel the export","2020-05-29 10:49:31"
513734,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Find FB in project","2019-07-23 09:55:37"
514104,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Window ""Watches"". Let's make it more convenient to use.","2017-03-23 04:55:46"
515119,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Replace With with many-to-many opposite reference in model","2017-04-11 16:18:11"
515125,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Separate adapters from variable declarations in model","2017-04-11 16:17:50"
515256,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Automatic application saving","2017-04-13 16:32:46"
516985,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Bootfile Importer","2017-05-19 10:02:16"
520464,"4DIAC","FORTE","4diac-inbox","UNCONFIRMED"," ---","forte_printer needs tester","2020-06-04 11:03:44"
520796,"4DIAC","4DIAC-IDE","4diac-inbox","UNCONFIRMED"," ---","Improve 4diac deployment console readability","2017-08-10 02:22:29"
525318,"4DIAC","FORTE","4diac-inbox","UNCONFIRMED"," ---","Manage multiple connections with MQTT","2017-09-28 08:10:44"
489307,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Fix monitoring of adapter events","2017-07-11 05:25:58"
490601,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","Model Clean-up","2020-04-02 18:19:08"
490691,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","Clean-up LibraryElementModel","2017-02-11 17:23:52"
490695,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","New Subapplication Model","2019-01-10 00:25:03"
500577,"4DIAC","FORTE","4diac-inbox","NEW"," ---","dynamic loadable types with LUA","2018-01-16 11:37:45"
501817,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Some IEC 651131-3 Functions are not Accepting raw data values","2018-08-22 12:42:58"
503403,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","Missing Adapter Types Should be Indicated at FB","2016-10-04 10:46:30"
506434,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Possible null pointer de-referenced in composite FB with unknown compositee","2018-08-28 07:38:53"
507837,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support segment - segment links","2017-01-13 08:28:18"
508604,"4DIAC","General","4diac-inbox","NEW"," ---","add documentation for beagle bone black","2016-12-02 07:40:48"
509045,"4DIAC","4DIAC-SYS","4diac-inbox","NEW"," ---","add 4diac examples to eclipse example wizard","2016-12-11 16:13:04"
510233,"4DIAC","Web Page","4diac-inbox","NEW"," ---","add timeline of 4diac development","2017-01-11 03:00:21"
510234,"4DIAC","Web Page","4diac-inbox","NEW"," ---","add screenshots","2017-01-11 03:02:20"
510366,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support testing for subapplications","2017-12-01 10:19:15"
510941,"4DIAC","FORTE","4diac-inbox","NEW"," ---","support DurationLiteral in Lua","2017-01-24 06:31:13"
510954,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","dynamic loadable types with LUA","2018-01-10 03:40:05"
510956,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support DurationLiteral in Lua export","2019-08-07 06:52:14"
511088,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Add Module for RevolutionPI IO System","2019-12-03 05:56:11"
519445,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","Adapters do not work within CFB","2017-07-11 05:34:37"
519615,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","rework monitoring","2017-12-01 10:24:00"
519619,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","remove all button in watches view","2017-07-13 08:17:42"
519622,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","icon overlay for devices","2017-07-13 08:23:46"
527628,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Pesisten download/delete applications commands missing","2017-11-22 10:38:07"
528020,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support monitoring for subapps","2018-10-26 16:57:32"
529054,"4DIAC","FORTE","4diac-inbox","NEW"," ---","Allow modules to set the device to be used in a FORTE","2018-01-22 06:00:44"
529304,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support attributes","2018-01-10 03:10:31"
529310,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support type modification of attributes","2017-12-30 04:31:13"
529311,"4DIAC","4DIAC-IDE","4diac-inbox","NEW"," ---","support creation of attributes for events","2017-12-30 04:46:47"
529313,"4DIAC","FORTE","4diac-inbox","NEW"," ---","restructure modules folder","2020-07-04 13:28:51"
509298,"4DIAC","4DIAC-IDE","cabral","ASSIGNED"," ---","Watching of active ECC states","2019-11-21 03:54:49"
517172,"4DIAC","FORTE","4diac-inbox","REOPENED"," ---","Implement a generic architecture initialization interface","2018-08-24 03:18:11"
511011,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","import mapping for equal application and device names","2018-01-14 13:00:36"
519951,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","code cleanup for resource editor","2018-01-14 13:17:19"
522284,"4DIAC","FORTE","melik-merkumians","CLOSED","FIXED","MSVC expects constant for array size in ForteBootFileLoader","2017-11-22 06:20:52"
483708,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","When closing 1.8.0 M1","2017-06-23 09:44:39"
484006,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","FIXED","Tooltip update of FBs","2018-05-23 01:15:56"
484643,"4DIAC","4DIAC-IDE","4diac-inbox","CLOSED","WONTFIX","provide jre together with the 4diac-ide","2019-02-01 15:00:13"
484644,"4DIAC","4DIAC-SYS","4diac-inbox","CLOSED","WONTFIX","structure of the mechPress example","2019-01-25 10:10:11"
