"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
30561,"AJDT","UI","adrian.colyer","REOPENED"," ---","improper syntax highlighting","2009-08-30 02:48:04"
46653,"AJDT","UI","aclement","RESOLVED","FIXED","autobuild and <ctrl>b build invocation do not work","2004-05-14 10:00:41"
37033,"AJDT","Core","adrian.colyer","RESOLVED","FIXED","AJDT 1.1.1 fails if project name != leaf directory name","2003-06-09 08:58:14"
41535,"AJDT","Core","adrian.colyer","RESOLVED","FIXED","File Not Found ekception when building projects that do not use a separate source directory","2012-04-03 13:58:51"
41712,"AJDT","Doc","adrian.colyer","RESOLVED","FIXED","Lack of documentation makes this plugin unusable","2003-08-28 08:15:34"
21473,"AJDT","Core","mik.kersten","RESOLVED","INVALID","Need to open an CDR File Can some one help me ?","2002-07-11 22:19:09"
41538,"AJDT","Core","mik.kersten","RESOLVED","FIXED","Can't create project output in a jar file when the project doesn't use src folders","2003-08-28 08:16:06"
45088,"AJDT","Core","mik.kersten","RESOLVED","INVALID","compiler produces wrong bytecode with Eclipse 3.0 M4","2003-10-23 10:14:31"
42848,"AJDT","UI","aclement","RESOLVED","FIXED","bug with ASM build suppression","2003-09-22 04:42:37"
44153,"AJDT","Core","aclement","RESOLVED","FIXED","Incremental compilation fails in Eclipse 3.0M3","2004-08-09 06:17:08"
44190,"AJDT","Core","adrian.colyer","RESOLVED","FIXED","illegal error - duplicate resource: 'non-java-resource-file' - is NOT an error!!","2003-11-11 11:19:40"
45185,"AJDT","Core","adrian.colyer","RESOLVED","FIXED","Classes deleted from text still seen by compiler","2003-11-11 11:22:15"
37034,"AJDT","Core","juliew","RESOLVED","DUPLICATE","AJDT 1.1.1 failed if target VM != bootstrap VM","2003-06-06 15:56:14"
40600,"AJDT","UI","juliew","RESOLVED","FIXED","automate post-install steps","2003-08-28 08:18:52"
24637,"AJDT","Doc","mik.kersten","RESOLVED","FIXED","""use javac.."" option fails to produce .class files","2003-08-28 08:16:16"
37628,"AJDT","Core","mik.kersten","RESOLVED","FIXED","ajdt doesnt work on osx","2003-08-28 08:16:26"
39628,"AJDT","Core","mik.kersten","RESOLVED","FIXED","Compiler settings do not change AJC","2003-08-28 08:16:39"
40343,"AJDT","Core","mik.kersten","RESOLVED","FIXED","AspectJ compiler does not honour Java Compiler settings","2003-08-28 08:16:51"
40380,"AJDT","Core","mik.kersten","RESOLVED","FIXED","AspectJ does not honour libraries defined via Project Properties","2003-08-28 08:17:04"
40448,"AJDT","Core","mik.kersten","RESOLVED","FIXED","handle a missing output folder properly","2003-08-28 08:17:20"
40492,"AJDT","Core","mik.kersten","RESOLVED","INVALID","Error creating the build configuration file","2003-07-29 11:26:56"
40602,"AJDT","UI","mik.kersten","RESOLVED","FIXED","eclipse 2.1 per-project compiler options are ignored","2003-08-28 08:17:32"
40868,"AJDT","Core","mik.kersten","RESOLVED","FIXED","AspectJ builder sometimes blocks external tools builders from running","2003-08-28 08:17:44"
43709,"AJDT","Core","mik.kersten","RESOLVED","FIXED","structure view crash when extending library aspects","2003-09-26 01:23:56"
43783,"AJDT","Core","mik.kersten","RESOLVED","FIXED","AJDT not very stable when confronted with java/aspect errors.","2003-10-22 12:22:11"
40684,"AJDT","Core","swhiting","RESOLVED","FIXED","tasks associated with wrong project when using injars","2004-07-27 04:45:47"
21858,"AJDT","UI","aclement","RESOLVED","FIXED","AJ build button in resource perspective","2002-12-11 06:43:33"
21998,"AJDT","Core","aclement","RESOLVED","FIXED","AJDT put .class files under the workspace even if my project is in different place","2012-04-03 14:01:25"
22258,"AJDT","UI","aclement","RESOLVED","FIXED","getting following message Attempt to load class ""org.eclipse.ajdt.internal.builder.Builder"" from deactivated plugin ""org.eclipse.ajdt.ui""","2002-09-19 07:29:04"
22339,"AJDT","UI","aclement","RESOLVED","FIXED","External tool builder has an empty name","2002-08-14 05:20:44"
22340,"AJDT","Core","aclement","RESOLVED","FIXED","Failure to import AJDT project from CVS","2002-09-19 07:36:36"
23062,"AJDT","Core","aclement","RESOLVED","FIXED","memory use in Eclipse for AspectJ","2003-01-29 14:47:01"
23857,"AJDT","Core","aclement","RESOLVED","WORKSFORME","Not using source folder for build","2002-12-05 03:02:08"
