"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
443801,"Acceleo","User Interface","accceleo-inbox","UNCONFIRMED"," ---","Unable to create an Acceleo Project or to toggle the Acceleo nature on an existing project","2016-04-15 09:40:49"
458401,"Acceleo","Core","accceleo-inbox","UNCONFIRMED"," ---","query  - return type and expression type mismatch is not reported as an error","2015-01-26 07:26:22"
472511,"Acceleo","User Interface","accceleo-inbox","UNCONFIRMED"," ---","Exception during Acceleo template execution goes unnoticed","2015-07-13 09:10:12"
431602,"Acceleo","Core","accceleo-inbox","NEW"," ---","Please add index in help contents on operations list","2016-04-13 07:56:52"
435104,"Acceleo","Core","accceleo-inbox","NEW"," ---","[Generator] popup does not go away.","2016-04-19 09:08:51"
439569,"Acceleo","Core","accceleo-inbox","NEW"," ---","Make JMerge configuration modifiable","2016-04-14 10:52:15"
466976,"Acceleo","Maven","accceleo-inbox","NEW"," ---","The maven launcher should have a dependency to org.eclipse.equinox.preferences","2015-05-11 05:09:23"
472505,"Acceleo","User Interface","accceleo-inbox","NEW"," ---","Acceleo generated UI project uses deprecated extension points","2016-04-19 08:49:45"
473080,"Acceleo","Core","accceleo-inbox","NEW"," ---","Check Plugin and EMFPlugin use from Acceleo to enhance headless support","2016-04-19 09:57:14"
475353,"Acceleo","Maven","accceleo-inbox","NEW"," ---","Provide an Equinox based launcher application","2017-06-20 11:20:13"
480112,"Acceleo","User Interface","accceleo-inbox","NEW"," ---","""Acceleo"" generated contextual menu to launch a generator should rename to ""Generates""","2016-04-20 05:24:13"
372052,"Acceleo","Core","acceleo-inbox","NEW"," ---","ConcurrentModificationException in builder","2016-04-07 08:13:41"
374040,"Acceleo","Core","acceleo-inbox","NEW"," ---","a quickfix could be useful to convert double cote "" to single cote '","2012-03-13 04:48:29"
374041,"Acceleo","Core","acceleo-inbox","NEW"," ---","When the user choose an URI in his module file, the OSGi dependancies should be set automaticly","2012-03-13 04:49:09"
374393,"Acceleo","Core","acceleo-inbox","NEW"," ---","Handling the result of super","2016-04-07 09:01:17"
378509,"Acceleo","Core","acceleo-inbox","NEW"," ---","Documentation of Juno OCL library additions","2012-05-04 11:41:06"
380259,"Acceleo","Core","acceleo-inbox","NEW"," ---","Highlight matching acceleo tags","2016-04-08 05:50:28"
381859,"Acceleo","Core","acceleo-inbox","NEW"," ---","Acceleo build and build and build and build","2016-11-15 06:04:21"
384808,"Acceleo","Core","acceleo-inbox","NEW"," ---","[editor] Indicates unused imports","2016-04-08 09:31:09"
387341,"Acceleo","Core","acceleo-inbox","NEW"," ---","User types occlude built in types in Acceleo constructs","2012-08-16 01:45:43"
387343,"Acceleo","Core","acceleo-inbox","NEW"," ---","Missing support for name escaping","2012-08-16 01:20:45"
387967,"Acceleo","Core","acceleo-inbox","NEW"," ---","[editor] let instruction strange highlight","2016-04-12 05:16:18"
390336,"Acceleo","Core","acceleo-inbox","NEW"," ---","Cannot nest ""let"" blocks within ""if"" blocks","2016-04-12 07:48:14"
395280,"Acceleo","Core","acceleo-inbox","NEW"," ---","Lack of good embedded reference documentation & tutorials.","2013-02-13 07:20:48"
402836,"Acceleo","Core","acceleo-inbox","NEW"," ---","Support use of Complete OCL documents","2013-03-10 09:17:15"
409557,"Acceleo","Core","acceleo-inbox","NEW"," ---","Bad encoding used to read and merge protected areas","2016-04-13 05:16:09"
412512,"Acceleo","Core","acceleo-inbox","NEW"," ---","Acceleo ""Getting Started"" tutorial flow is wrong (@main needed before introduced)","2019-03-18 18:19:19"
478514,"Acceleo","Query Language","stephane.begaudeau","NEW"," ---","Add support for Styled Strings for the completion proposals","2015-09-28 05:19:00"
481030,"Acceleo","Query Language","yvan.lussaud","NEW"," ---","Weird font in AQL documentation","2016-04-20 05:57:42"
433738,"Acceleo","Core","accceleo-inbox","NEW"," ---","wrong error on string ';' in template local variables block","2016-04-13 08:26:16"
462841,"Acceleo","Core","accceleo-inbox","REOPENED"," ---","Setting Breakpoints in Template doesn't work","2016-08-10 13:47:28"
395300,"Acceleo","Core","acceleo-inbox","REOPENED"," ---","Can not load multiple input models.","2016-04-19 03:30:22"
416928,"Acceleo","Core","acceleo-inbox","REOPENED"," ---","Compiled EMTF file references platform:/plugin URI instead of original URI","2014-04-25 04:07:13"
433069,"Acceleo","Core","accceleo-inbox","RESOLVED","FIXED",".ecore in my workspace are making Acceleo choke","2015-07-16 08:51:10"
