"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
542442,"Amalgam","UI","amalgam.ui-inbox","UNCONFIRMED"," ---","Installation issue","2018-12-07 07:08:41"
485634,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Session switch in Activity Explorer editor leads to errors","2016-02-10 04:38:41"
485654,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Activity Explorer editor is opened when a session is opened","2016-01-18 05:55:17"
486039,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Name of the first page","2016-01-18 08:58:53"
486811,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Model change triggers session load","2016-02-08 08:46:44"
486814,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Resource deletion triggers session load","2016-01-29 08:31:51"
487210,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] spaces are inset between Activity Explorer Elements at switch","2020-02-20 05:20:06"
487226,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Performance/blinking issues at refreshing the editor","2020-02-20 05:20:11"
487319,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","ContextualExplorer IQuery API","2016-02-05 06:03:53"
487984,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] ConcurrentModificationException when closing a session amongst several opened sessions","2020-02-20 05:20:15"
487986,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Opening editor preference","2016-02-18 04:07:50"
489629,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Editor Preferences are not responsiveness","2016-03-15 06:01:58"
489647,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] NPE at Disposing Overview page","2020-02-20 05:20:18"
491084,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Contextual Explorer] Queries are computed several times (performance problem)","2016-04-05 09:28:13"
499532,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Removing automatic opening","2020-02-20 05:20:22"
499556,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Clone Diagram command doesn't compute a right name","2020-02-20 05:20:25"
499557,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Shortcuts (F2, delete) doesn't works","2020-02-20 05:20:29"
499618,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Migration to Sirius 4.1","2020-02-20 05:20:37"
499969,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Problem of On/Off refresh when passing over an imagine","2016-08-19 04:48:58"
501079,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","The save action of Activity Explorer should use the Eclipse entry point StatusManager for all statuses to be reported in the user interface","2016-10-18 12:11:14"
501355,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Use deprecated constructor to get a root semantic model from sessioin","2016-09-14 08:55:26"
504049,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Remove ""- Activity Explorer"" from title","2016-10-06 02:34:37"
517642,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","It's impossible to install components from the Discovery UI","2017-06-01 09:07:56"
522623,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","'Save all' command with Activity Explorer and Sirius editor open ends up with parallel saves","2018-02-15 10:56:43"
522724,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Customizable titles for contextual explorer","2020-02-20 05:21:09"
525270,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","The ""Select in open editor"" action is created only after selected on element from the ""Current element"" panel","2017-09-27 10:05:12"
526127,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","ActivityExplorer not dirty after a change after a restart of Eclipse","2017-10-17 05:28:36"
530716,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","When creating a Model Element link, if the selected element is a diagram, the dialog box browse the AirdResource","2018-02-05 04:20:56"
531477,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Activity Explorer becomes ""Process Map"" after a restart with null session","2018-03-07 07:30:52"
531789,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Unclear cause of failure in discovery if installation fails","2018-12-21 06:08:43"
535932,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Deprecated methods with no obvious alternatives","2018-07-12 04:34:36"
539178,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","[Activity Explorer] Header of activity explorer is not complete","2018-09-18 05:01:29"
548847,"Amalgam","UI","amalgam.ui-inbox","NEW"," ---","Allow activation of extra diagram layers / filters through hyperlinks","2019-07-04 04:46:17"
485662,"Amalgam","UI","faycal.abka","NEW"," ---","Management of zero or several semantic models","2016-08-17 08:55:03"
525992,"Amalgam","Releng","amalgam.releng-inbox","REOPENED"," ---","Since the migration to Jenkins, the build timestamp is replaced by the build number","2018-03-12 05:24:09"
499598,"Amalgam","Releng","amalgam.releng-inbox","RESOLVED","FIXED","Amalgam releng maintenance","2018-03-21 05:01:37"
542991,"Amalgam","Releng","amalgam.releng-inbox","RESOLVED","FIXED","Amalgam not present in 2018-12 release","2019-12-08 06:46:47"
487942,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","Improve the creation diagram wizard to include the name of the diagram type","2016-05-17 06:49:42"
508196,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","[REGRESSION] Diagram Viewer of Activity Explorer does not provide menus right clicking on representations (Diagram/Scenario/Table)","2017-05-30 12:17:07"
515898,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","Add VIATRA to the Modeling Discovery","2017-06-01 10:11:54"
518790,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","Saving from the Activity Explorer Editor should rely on the Saveables provided by Sirius","2017-08-03 06:13:07"
539150,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","[Activity Explorer] Add support for hyperlinks in descriptions","2018-09-22 12:38:00"
548897,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","[ActivityExplorer] Allow localization of activity names and sections","2020-11-25 09:11:41"
549610,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","Pages, Sections, Activities should be filtered from UI via Workbench Activity Support / Capabilities","2020-11-25 09:11:24"
551512,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","The label of representation needs to be translated by Sirius Translator","2020-11-25 09:10:18"
566440,"Amalgam","UI","amalgam.ui-inbox","RESOLVED","FIXED","Handle specific ""connection lost"" problem that can appear when using Amalgam with collaborative environment (Team for Capella for example)","2020-11-25 09:11:00"
539949,"Amalgam","UI","minhtutonthat","RESOLVED","FIXED","Activity Explorer is not closed after Eclipse is restarted and the session is closed","2020-11-25 09:13:56"
559142,"Amalgam","UI","minhtutonthat","RESOLVED","FIXED","[Activity Explorer] Add the access to the current section in section predicates","2020-11-25 09:10:44"
512811,"Amalgam","UI","amalgam.ui-inbox","VERIFIED","FIXED","ViewPart loses focus after opening Activity Explorer","2017-05-30 12:16:59"
485651,"Amalgam","UI","amalgam.ui-inbox","CLOSED","FIXED","Negative index page contribution","2016-02-09 04:00:41"
486038,"Amalgam","UI","amalgam.ui-inbox","CLOSED","FIXED","[Activity Explorer] Robustness of activity explorer","2016-02-09 03:59:54"
501729,"Amalgam","UI","amalgam.ui-inbox","CLOSED","FIXED","[Activity Explorer] Null pointer Exception when called by workbench auto save","2017-05-30 12:17:16"
510762,"Amalgam","UI","amalgam.ui-inbox","CLOSED","FIXED","[Activity Explorer] Open action doesn't open the Activity Explorer Editor when a diagram editor is opened","2017-05-30 12:16:48"
535175,"Amalgam","UI","amalgam.ui-inbox","CLOSED","FIXED","[Activity Explorer] An exception is thrown when setting Activity Explorer as default editor on the session file","2018-06-01 04:00:32"
549609,"Amalgam","UI","amalgam.ui-inbox","CLOSED","DUPLICATE","Pages, Sections, Activities should be filtered from UI via Workbench Activity Support / Capabilities","2019-07-28 08:23:26"
485652,"Amalgam","UI","faycal.abka","CLOSED","FIXED","Overview visibility never checked","2016-02-09 04:00:28"
