"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
496223,"BIRT","Report Designer","Birt-ReportDesigner-inbox","UNCONFIRMED"," ---","Birt Error","2016-06-16 03:13:31"
494591,"BIRT","Report Designer","Birt-ReportDesigner-inbox","NEW"," ---","NPE when trying to open Report Design perspective","2016-09-27 05:01:34"
494896,"BIRT","Build","bgamble","NEW"," ---","MANIFEST in birt runtime invalid","2016-08-31 14:33:51"
486613,"BIRT","Build","Birt-Build-inbox","NEW"," ---","No run-time for 4.5.1","2016-04-07 05:03:00"
490555,"BIRT","Build","Birt-Build-inbox","NEW"," ---","BIRT contains too much of other projects in its repository","2016-03-29 02:45:51"
492546,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Unable to render images in Post Scripts","2016-04-27 09:27:19"
500297,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Support 4.7 release for BIRT Open Source","2016-08-30 13:01:49"
506994,"BIRT","Build","Birt-Build-inbox","NEW"," ---","NullPointerException when joining two datasets from an XML source","2016-11-03 14:36:21"
507879,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Missing dependencies in BIRT 4.6.0 Maven build","2017-06-20 09:00:36"
517562,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Contribute Gson 2.7 to Oxygen","2017-05-31 10:22:23"
517662,"BIRT","Build","Birt-Build-inbox","NEW"," ---","org.eclipse.birt.report.viewer plugin requires org.eclipse.jetty.* plugins but not included in any features","2019-10-10 09:44:23"
518732,"BIRT","Build","Birt-Build-inbox","NEW"," ---","org.eclipse.birt.data.oda.mongodb requires com.mongodb plugins but not included in any features","2017-12-15 12:55:14"
519027,"BIRT","Build","Birt-Build-inbox","NEW"," ---","org.eclipse.birt.runtime 4.6.0-20160607 breaks QueryDsl annotation processing in maven","2017-06-30 07:11:42"
520124,"BIRT","Build","Birt-Build-inbox","NEW"," ---","ScriptEngineFactory extension point schema file is missing in built artifacts","2017-07-25 00:32:54"
521309,"BIRT","Build","Birt-Build-inbox","NEW"," ---","BIRT contributes outdated org.apache.lucene.core 6.1.0 to Oxygen.1 simrel repository","2017-08-23 08:20:12"
528054,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Application URL is not working at all","2017-12-02 05:36:06"
528232,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Shaker Screen Spring Cushion","2017-12-07 00:20:24"
534391,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Security Vulnerability Unsigned Jar","2018-06-04 15:27:30"
539031,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Missing maven artifact for BIRT runtime 4.8.0 (org.eclipse.birt.runtime)","2019-04-24 01:33:23"
539708,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Found vulnerable version of Apache Batik 1.6.0.","2018-10-02 11:02:26"
542614,"BIRT","Report Engine","Birt-Build-inbox","NEW"," ---","Generated Pdf ignores height set (and shown) in report Editor","2020-04-23 18:56:10"
546927,"BIRT","Build","Birt-Build-inbox","NEW"," ---","BIRT is not compatible on Eclipse Photon 4.8","2019-05-02 11:10:34"
547007,"BIRT","Build","Birt-Build-inbox","NEW"," ---","[SECURITY] HTTP Resolution of dependencies in build expose BIRT build to MITM attack compromise","2020-01-10 11:41:51"
548022,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Missing Git tags for version 4.8 and 4.9 at GitHub","2019-06-07 02:27:47"
551143,"BIRT","Build","Birt-Build-inbox","NEW"," ---","Wrong Date is converted for the date on or before 01 Jan 1900","2019-09-17 01:06:46"
563600,"BIRT","Build","Birt-Build-inbox","NEW"," ---","org.eclipse.birt.runtime contains Slf4J implementation inside of its jar","2020-05-26 12:09:37"
486052,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","DataPointHints class has no setter method for oSeriesValue instance variable","2016-01-18 11:28:27"
487953,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","x-Axis Datetime format short, has comma between date and time","2016-11-11 02:45:46"
498038,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","[Linux CentOS] Malformed SWT Bar Chart","2016-07-18 05:00:40"
511212,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Aggregation is disabled in charting - Cannot aggregate - Birt v4.6","2017-02-11 10:00:51"
515156,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Birt Charts not able to display Chinese Character.","2017-04-12 04:21:06"
517094,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","CVE-2017-5662 XXE vulnerability","2018-07-06 10:33:21"
527050,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","check mercury tour defect.","2017-11-09 07:43:51"
529578,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Charts saved as PNG type blocked in Internet Explorer with ""nosniff""","2018-01-16 22:47:04"
532444,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","High CPU Usage (100 %) on org.eclipse.birt.chart","2018-04-02 13:17:01"
533853,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Dates are not shown correctly on X-axis when using a advance format pattern without a day","2018-04-20 04:30:32"
534498,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Charts not rendered, error","2018-05-09 06:18:11"
540121,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Chart output format defaulting to SVG regardless of browser compatibility","2018-10-15 01:22:03"
546628,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Infinate do while loop in birt charting library.","2019-04-22 11:20:53"
565034,"BIRT","Chart","Birt-Chart-inbox","NEW"," ---","Can't use Aggregation Button when creating Chart","2020-07-08 00:13:48"
521270,"BIRT","Converters","Birt-Converter-inbox","NEW"," ---","Converting report to pdf doesn't work for attached report since version 4.6.0.v201609152029","2017-09-20 19:23:32"
