"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
378997,"BPEL","UI","bpel.default-inbox","NEW"," ---","Remove usage of internal packages and fix Juno build","2015-09-08 15:20:33"
121101,"BPEL","UI","bbrodt","NEW"," ---","unknown extensionActivities should be treated as an Empty","2012-04-18 13:58:05"
349152,"BPEL","Model","bbrodt","NEW"," ---","About Assign's fixed value","2011-08-01 05:26:33"
351936,"BPEL","UI","bbrodt","NEW"," ---","Provide an extension point to add editpolicies","2011-07-13 09:33:09"
357214,"BPEL","UI","bbrodt","NEW"," ---","Error marks on reference to correct types","2011-09-09 07:18:27"
377207,"BPEL","API","bbrodt","NEW"," ---","Proposal to develop a BPEL Process visualization tool","2012-04-19 11:46:33"
391913,"BPEL","API","bbrodt","NEW"," ---","reintroduce expression editors","2013-09-06 03:48:16"
395840,"BPEL","API","bbrodt","NEW"," ---","Embeddable Xtext editors","2012-12-06 10:27:43"
398651,"BPEL","API","bbrodt","NEW"," ---","Add Target Platforms for indigo, juno and kepler","2013-01-21 11:16:22"
118867,"BPEL","UI","bpel.default-inbox","NEW"," ---","OASIS11: Query in <to> close should allow assigning to new locations","2012-04-18 13:32:43"
118868,"BPEL","Model","bpel.default-inbox","NEW"," ---","OASIS11.1: Extensibility in Assign should be more flexible","2012-04-18 13:32:23"
118874,"BPEL","UI","bpel.default-inbox","NEW"," ---","OASIS46: Namespace for the document fragment representing a part","2012-04-18 13:56:28"
119099,"BPEL","UI","bpel.default-inbox","NEW"," ---","OASIS92: Mandatory & Optional BPEL Extensibility","2012-04-18 13:31:43"
119115,"BPEL","Model","bpel.default-inbox","NEW"," ---","OASIS110: Different attribute values for correlation pattern attributes","2012-04-18 13:31:27"
119117,"BPEL","UI","bpel.default-inbox","NEW"," ---","OASIS111: Extensible activities","2012-04-18 13:55:55"
119120,"BPEL","UI","bpel.default-inbox","NEW"," ---","OASIS112: Message unbundling","2012-04-18 12:03:37"
