"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
401553,"Babel","Plugins","babel.core-inbox","NEW"," ---","Message-Editor: Keys that are unused do not get marked as such","2019-01-25 14:04:43"
401554,"Babel","Plugins","babel.core-inbox","NEW"," ---","Message.Editor: Clicking the ""="" icon on a key with a duplicate-value-issue does nothing","2019-01-25 13:01:47"
402133,"Babel","Plugins","babel.core-inbox","NEW"," ---","Enhancement Request: ""Remove Language from Project"" should allow removal of default language","2019-02-02 13:03:45"
402151,"Babel","Plugins","babel.core-inbox","NEW"," ---","NPE when trying to add the first key to a newly created resource bundle","2019-02-01 12:05:47"
403505,"Babel","Plugins","babel.core-inbox","NEW"," ---","Enable babel tools for running under Eclipse Version >= 3.6","2019-02-15 01:14:09"
473009,"Babel","Website","babel.core-inbox","NEW"," ---","Re-design of the translation post screen","2019-11-13 14:15:56"
481593,"Babel","Website","babel.core-inbox","NEW"," ---","Consider creating Marketplace Entries for some/all languages","2019-11-02 16:51:00"
392570,"Babel","translations","babel.server-inbox","NEW"," ---","Babel should join the release train","2020-09-23 14:40:26"
404495,"Babel","Server","babel.server-inbox","NEW"," ---","Leverage the Project Management Infrastructure to provision releases","2020-03-10 04:02:28"
469131,"Babel","Website","ramat","ASSIGNED"," ---","Ability to search for a specific bundle","2019-11-13 14:16:18"
473010,"Babel","Website","ramat","ASSIGNED"," ---","Job Queue for database update","2020-01-22 12:58:36"
463293,"Babel","Server","babel.server-inbox","RESOLVED","FIXED","Babel should use OpenID","2019-09-25 21:36:13"
385436,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Header Change to ResourceBundleNewWizardPage.java","2012-07-18 16:14:55"
386645,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Babel Language Pack for Eclipse Juno corrupts JSP template automatic generation","2012-08-15 10:33:37"
388337,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Provide zipped version of p2 repositories","2012-09-24 09:43:21"
396515,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Support for internationalization-key refactoring","2012-12-13 11:25:43"
397123,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Isolate SWT specific classes of babel editor into a separate fragment","2013-01-06 12:01:35"
397868,"Babel","Website","babel.core-inbox","RESOLVED","WONTFIX","Babel requests bugzilla account","2019-09-25 21:41:44"
400269,"Babel","Plugins","babel.core-inbox","RESOLVED","INVALID","babel juno provides NL fragments for hosts that don't exist (anymore)","2013-02-11 11:04:12"
401558,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","""Remove Language from Project"" throws an Exception","2015-02-22 05:07:43"
402136,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","PartInitException for ResourceBundleView during startup","2013-03-01 09:25:14"
402139,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","NPE in MessagesViewState","2013-03-01 09:47:27"
402140,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","NPE in ResKeyTreeLabelProvider","2013-03-01 09:53:10"
411125,"Babel","EnglishStrings","babel.core-inbox","RESOLVED","FIXED","Mistake in german translation at org.eclipse.ui.workbench.nl_de","2013-06-19 14:16:54"
414585,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Installation link is invalid","2014-03-27 10:26:02"
425633,"Babel","Plugins","babel.core-inbox","RESOLVED","FIXED","Machine translation suggestions for Babel editor","2014-01-17 05:44:47"
433035,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Contribute links to a 404 page","2014-04-21 10:52:11"
437356,"Babel","translations","babel.core-inbox","RESOLVED","FIXED","Please add EMF projects ECP and EMFStore","2014-09-20 19:55:29"
437360,"Babel","Website","babel.core-inbox","RESOLVED","WORKSFORME","First Google hit while searching for the project does not lead to site","2014-06-13 09:16:18"
437819,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Archived Downloads goes away","2014-06-26 16:22:33"
450195,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Serve Babel downloads over HTTPS","2018-11-18 12:35:48"
463285,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Enable Mars Release Train for Babel","2015-04-01 12:22:58"
473760,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Can't register soa.bpmn2-modeler","2015-08-03 22:21:13"
476613,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","Missing org.eclipse.team.svn.* in released versions","2015-10-06 17:26:29"
477040,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","How to add Graphiti 0.12.0?","2015-10-07 01:35:16"
478499,"Babel","EnglishStrings","babel.core-inbox","RESOLVED","FIXED","add egit 4.0 into Babel for Mars","2015-09-29 00:07:10"
479720,"Babel","Website","babel.core-inbox","RESOLVED","FIXED","can't login in the babel page","2017-07-10 10:20:15"
372082,"Babel","translations","babel.server-inbox","RESOLVED","WONTFIX","help_home.html and page_not_found.html are missing in Japanese org.eclipse.help.base NLS fragment","2012-02-20 23:20:58"
373203,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Dutch strings consistently have bad translations","2017-09-12 10:19:55"
373527,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Strange {0}' pattern in Traditional Chinese","2012-03-19 01:12:08"
374171,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Menu underline wrongly placed (Traditional Chinese)","2012-03-14 09:50:52"
375380,"Babel","translations","babel.server-inbox","RESOLVED","WONTFIX","Wrong Translation for Properties view title for russian language pack.","2012-04-05 14:03:51"
381002,"Babel","Server","babel.server-inbox","RESOLVED","FIXED","A ""kepler"" release train spec is missing for Babel","2014-03-27 10:23:16"
385692,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","improving german translation","2015-08-01 09:20:20"
392393,"Babel","Server","babel.server-inbox","RESOLVED","FIXED","Please add Basque language to Babel","2012-11-28 15:11:22"
393180,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Add %completed to p2 desc, explicitly state translations are community in details","2020-09-23 14:43:33"
394921,"Babel","Server","babel.server-inbox","RESOLVED","FIXED","Malayalam Localisation","2012-11-27 00:05:43"
397522,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Typing error in the German Babel Translations for Eclipse","2013-01-07 11:45:54"
404383,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","Wrong translation in new JPA Entity","2013-03-26 18:02:06"
405330,"Babel","translations","babel.server-inbox","RESOLVED","WONTFIX","Klingon language is still needed?","2013-04-22 17:03:27"
416616,"Babel","translations","babel.server-inbox","RESOLVED","FIXED","java element label","2013-09-05 16:34:45"
