"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
485862,"Che","General","che-inbox","UNCONFIRMED"," ---","Beta 9 won't let me change workspace name","2016-01-14 11:37:16"
486874,"Che","General","che-inbox","UNCONFIRMED"," ---","che.sh ""java -version"" check stops bash","2016-01-29 18:45:20"
489388,"Che","General","che-inbox","UNCONFIRMED"," ---","You are on Windows and installed Che into a directory that contains a space","2019-01-26 07:46:07"
547551,"Che","General","che-inbox","UNCONFIRMED"," ---","Cannot import project from zip file","2019-05-22 08:33:48"
561463,"Che","General","che-inbox","UNCONFIRMED"," ---","Update Eclipse Che logo update","2020-04-01 06:45:38"
547573,"Che","plugin-git","vparfono","UNCONFIRMED"," ---","Feature to generate and upload key to github not working","2019-05-24 11:02:55"
561836,"Che","General","vparfono","UNCONFIRMED"," ---","The ws /service endpoint is vulnerable to a cross-site websocket hijack leading to RCE","2020-04-13 09:08:38"
533196,"Che","General","apupier","NEW"," ---","Camel LSP support is broken due to move of Camel artefacts","2018-04-04 05:34:01"
549867,"Che","General","che-inbox","NEW"," ---","Che Plugin Broker, impossible to download vsix plugins in https","2019-08-08 03:20:51"
553235,"Che","General","che-inbox","NEW"," ---","Download button returns a 404","2019-11-19 17:54:14"
559557,"Che","General","che-inbox","NEW"," ---","Che downloads page has broken link","2020-01-27 09:11:03"
551267,"Che","General","che-inbox","RESOLVED","FIXED","Move che vserver to the eclipseprojects.io domain","2020-12-08 16:15:54"
551596,"Che","General","che-inbox","RESOLVED","FIXED","Remote Code Execution Vulnerability in Web Interface","2019-12-19 12:03:44"
559762,"Che","General","che-inbox","RESOLVED","FIXED","Eclipse Che download: Error 404","2020-04-01 06:43:47"
518578,"Che","commons","fbenoit","RESOLVED","FIXED","Provide possibility to name"".chefile"" instead of just ""chefile""","2017-07-18 03:39:03"
543175,"Che","commons","vparfono","RESOLVED","FIXED","Disable TODO bot for Eclipse Che repositories","2019-08-16 14:51:09"
