"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
517226,"Dali JPA Tools","Diagram Editor","dali.diagrameditor-inbox","NEW"," ---","JPA -> Open Diagram doesn't work","2017-05-24 17:47:29"
545185,"Dali JPA Tools","Diagram Editor","dali.diagrameditor-inbox","NEW"," ---","Diagram Editor tests are consistently failing","2019-03-07 13:09:41"
562680,"Dali JPA Tools","Diagram Editor","dali.diagrameditor-inbox","NEW"," ---","JPAEditorPreferencesPage shows up under Editors instead of JPA","2020-04-30 21:39:55"
500890,"Dali JPA Tools","Framework","dali.framework-inbox","NEW"," ---","NPE when enabling JPA project facet","2018-07-05 15:13:58"
486759,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Eclipse JPA Update hangs, thread dump shows NoSuchElementException","2016-01-28 13:04:53"
488325,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Dali validation shows error on Embeddable inner class","2016-02-24 10:18:30"
492443,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","JPA Entities from tables wizard doesn't create FK class","2016-04-26 10:41:15"
497869,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Need validation (warning or error) when JPA facet and persistence.xml versions are different","2016-07-13 15:57:06"
506131,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Deadlock between static weaver and JPA Validator","2017-01-08 06:09:17"
506135,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Generation fails if the default workspace JRE version is <8","2016-10-18 06:02:20"
507789,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","Key column does not show up in the New JPA Entity Wizard","2016-11-18 15:43:59"
509107,"Dali JPA Tools","JPA","dali.general-inbox","NEW"," ---","JPQL validation not resolving a field path to a valid type when programming to an interface","2017-02-03 20:29:44"
509349,"Dali JPA Tools","JAXB","dali.general-inbox","NEW"," ---","Generic JAXB 2.2 Platform with Java 1.8 - Eclipse Neon","2016-12-16 08:39:06"
