"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
501837,"Dirigible","ide-templates","dirigible-inbox","UNCONFIRMED"," ---","Date widget not working properly","2017-06-08 10:32:22"
485839,"Dirigible","datasource","dirigible-inbox","NEW"," ---","Simplify custom datasource setup","2016-07-04 08:51:10"
488106,"Dirigible","runtime-flow","dirigible-inbox","NEW"," ---","Multi-threading support in the Flow Engine","2016-03-17 12:14:01"
490529,"Dirigible","General","dirigible-inbox","NEW"," ---","Bridge an external Runtime via WebSockets channel","2016-04-30 05:44:27"
490562,"Dirigible","ide","dirigible-inbox","NEW"," ---","Chrome Dev Tools Integration (Debug)","2016-04-30 05:39:08"
490710,"Dirigible","help","dirigible-inbox","NEW"," ---","Help Page for Websockets -> ScriptingServices Support","2017-06-08 10:32:43"
495998,"Dirigible","General","dirigible-inbox","NEW"," ---","Generic PostImport/PostPublish steps","2017-08-21 06:46:41"
496000,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Configurable Preview (multi-page or multi-view)","2016-07-04 08:52:28"
496016,"Dirigible","General","dirigible-inbox","NEW"," ---","MDA feature","2017-08-21 06:47:45"
499096,"Dirigible","runtime-flow","dirigible-inbox","NEW"," ---","Request-less determination of the JS engine","2017-08-21 07:00:49"
499938,"Dirigible","General","dirigible-inbox","NEW"," ---","Research how to run Dirigible on Microsoft Azure with SQLServer","2017-08-21 06:47:55"
499939,"Dirigible","General","dirigible-inbox","NEW"," ---","Research how to run Dirigible on Microsoft Azure with Azure Active Directory","2017-08-21 06:48:15"
500182,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Angular File Upload update to 2.0.1","2017-08-21 06:48:29"
501697,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","dev productivity: open a file for edit immediately after creating it","2016-09-19 06:26:40"
502860,"Dirigible","samples","dirigible-inbox","NEW"," ---","Security Demo Project","2017-08-21 06:49:52"
502863,"Dirigible","samples","dirigible-inbox","NEW"," ---","Custom Templates Demo Project","2017-08-21 06:50:25"
502946,"Dirigible","General","dirigible-inbox","NEW"," ---","Run Dirigible on Google Cloud Platform","2017-08-21 06:50:36"
505384,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Tools - a separate section in the Registry UI to be added","2017-08-21 06:43:42"
505845,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Add ""targetLocation"" property in ""template.json""","2017-08-21 06:51:06"
505846,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Add error messages in Registry UI","2017-08-21 06:44:32"
505848,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Add role based display of the Registry UI views","2017-08-21 06:51:18"
506188,"Dirigible","ide","dirigible-inbox","NEW"," ---","cannot create files with more than one dot in the name (e.g. x.min.js)","2017-08-21 06:51:32"
506419,"Dirigible","ide","dirigible-inbox","NEW"," ---","Global search for resources and text in resources","2017-08-21 07:01:26"
506964,"Dirigible","releng","dirigible-inbox","NEW"," ---","Docker image with external MySQL as datasource","2017-08-21 06:51:46"
507147,"Dirigible","ide-repository","dirigible-inbox","NEW"," ---","holistic delete of artifacts in a project","2017-08-21 07:01:36"
507170,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","SEO Templates","2017-08-21 06:51:58"
507739,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Add PasswordStorage Backup Implementation","2017-06-08 10:33:55"
507751,"Dirigible","runtime-ui","dirigible-inbox","NEW"," ---","Registry UI Management View for Passwords","2017-06-08 10:34:13"
508136,"Dirigible","runtime-js-rhino","dirigible-inbox","NEW"," ---","enhance console logs layout to feature origin (js file at minimum)","2017-06-08 10:34:35"
508143,"Dirigible","runtime-js-rhino","dirigible-inbox","NEW"," ---","add correlation ids to log entries layout","2017-06-08 10:34:50"
508244,"Dirigible","runtime-js","dirigible-inbox","NEW"," ---","Expose Git simplified functions as Enterprise API","2017-08-21 06:43:58"
508769,"Dirigible","ide-scm-jgit","dirigible-inbox","NEW"," ---","Export Content to Git","2017-08-21 06:44:46"
508770,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Projects Registry","2017-08-21 07:00:38"
508771,"Dirigible","General","dirigible-inbox","NEW"," ---","Package exposure element in the project.json","2017-08-21 06:58:30"
508890,"Dirigible","ide-db","dirigible-inbox","NEW"," ---","Explicit Upper/Lower Case for DB Artefacts to be configurable","2017-06-08 10:35:22"
508993,"Dirigible","releng","dirigible-inbox","NEW"," ---","Build WAR/JAR/Docker referreing custom content","2017-06-08 10:35:56"
509508,"Dirigible","ide","dirigible-inbox","NEW"," ---","Project share silently fails when git conflicts exist","2017-08-21 06:45:05"
509861,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Missing content in git-checkout.sh","2017-08-21 06:44:14"
509864,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Import Project from file doesn't override existing content","2017-08-21 06:45:19"
510680,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Security constraints on app should not require special project paths structure","2017-08-21 07:02:58"
510866,"Dirigible","General","dirigible-inbox","NEW"," ---","Project Git version/commit traceability for the Published Apps","2017-08-21 06:45:34"
511661,"Dirigible","security","dirigible-inbox","NEW"," ---","Profile page better integration in the Registry","2017-08-21 06:58:40"
512364,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Templates - Enhance Renaming Action","2017-08-21 06:58:56"
514905,"Dirigible","releng","dirigible-inbox","NEW"," ---","Custom Build Process Definition","2017-06-08 10:37:27"
514908,"Dirigible","releng","dirigible-inbox","NEW"," ---","Use JAVA Service instead of OSGi Services in AIR","2017-08-21 06:59:41"
514911,"Dirigible","ide-templates","dirigible-inbox","NEW"," ---","Reorganize CRUD Templates per Service","2017-08-21 06:45:51"
514912,"Dirigible","ide-workspace","dirigible-inbox","NEW"," ---","Make Generate Mobile Interface menu item selection dependent","2017-08-21 06:46:05"
515700,"Dirigible","ide-repository","dirigible-inbox","NEW"," ---","Remote Repository Provider","2017-08-21 07:00:11"
515944,"Dirigible","General","dirigible-inbox","NEW"," ---","Initializer Services","2017-06-08 10:37:52"
515947,"Dirigible","runtime","dirigible-inbox","NEW"," ---","Add support for ""Private"" git repositories","2017-06-08 10:39:06"
489424,"Dirigible","runtime-flow","dirigible-inbox","REOPENED"," ---","Listener via e-mail","2016-07-04 08:51:32"
485951,"Dirigible","ide-templates","dirigible-inbox","RESOLVED","FIXED","Import Templates from Git","2016-08-30 09:04:04"
485954,"Dirigible","ide-templates","dirigible-inbox","RESOLVED","FIXED","WizardTemplates support","2017-01-10 05:20:14"
486541,"Dirigible","ide-scm-jgit","dirigible-inbox","RESOLVED","FIXED","Run on Dirigible Button (e.g. GitHub)","2016-02-03 13:14:12"
486730,"Dirigible","repository-local","dirigible-inbox","RESOLVED","FIXED","Import from Zip doesn't create File Attributes artifacts","2016-02-03 13:15:03"
486910,"Dirigible","runtime-ui","dirigible-inbox","RESOLVED","FIXED","Themes support","2016-01-31 16:13:33"
487205,"Dirigible","ide-editor-orion","dirigible-inbox","RESOLVED","FIXED","Integrate Tern definitions for Tabris.js","2016-02-04 08:27:04"
487230,"Dirigible","runtime-ui","dirigible-inbox","RESOLVED","FIXED","New File functionality in the Light WebIDE","2016-03-17 12:18:51"
487509,"Dirigible","runtime","dirigible-inbox","RESOLVED","FIXED","Runtime Services Catalogue Service","2016-03-17 12:13:08"
488270,"Dirigible","ide-templates","dirigible-inbox","RESOLVED","FIXED","Wiki - only Markdown template is shown in the wizard","2016-02-23 04:10:03"
488271,"Dirigible","runtime-wiki","dirigible-inbox","RESOLVED","FIXED","Wiki page has not been rendered - regression","2016-02-23 05:42:07"
488571,"Dirigible","ide-editor-orion","dirigible-inbox","RESOLVED","FIXED","Orion editor upgrade to R11","2016-02-26 10:45:40"
489290,"Dirigible","releng","dirigible-inbox","RESOLVED","FIXED","Update Dockerfile with 2.2 release version","2016-03-09 10:04:02"
489292,"Dirigible","runtime","dirigible-inbox","RESOLVED","FIXED","Update javax.mail to 1.4.1","2016-03-09 10:05:48"
489422,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Listeners concept","2016-03-15 11:17:48"
489423,"Dirigible","runtime-flow","dirigible-inbox","RESOLVED","FIXED","Listener via message subscription","2016-03-15 11:16:41"
489627,"Dirigible","runtime-ui","dirigible-inbox","RESOLVED","FIXED","Customizable Menu of the Registry UI","2016-03-15 05:56:44"
489628,"Dirigible","runtime-ui","dirigible-inbox","RESOLVED","FIXED","Customizable Home page URL","2016-03-15 12:09:40"
490075,"Dirigible","site","dirigible-inbox","RESOLVED","FIXED","Site Improvement","2016-11-01 10:37:01"
490160,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","WebSockets support","2016-03-22 06:08:15"
490181,"Dirigible","site","dirigible-inbox","RESOLVED","FIXED","Not working links","2016-03-30 09:09:22"
490205,"Dirigible","runtime","dirigible-inbox","RESOLVED","FIXED","WebSockets support for scripting services","2016-03-25 09:16:26"
490255,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API for thread management","2016-06-24 12:29:10"
490257,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Scoped storage per Instance","2016-07-04 08:49:38"
490387,"Dirigible","ide","dirigible-inbox","RESOLVED","FIXED","Migration to RAP 3.0","2016-04-13 19:09:16"
490449,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - HTTPS","2016-05-19 03:11:39"
490450,"Dirigible","General","dirigible-inbox","RESOLVED","DUPLICATE","API v2.0 - Context","2016-03-25 13:15:30"
490452,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Datasource","2016-04-11 06:46:52"
490453,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Console","2016-04-30 11:25:04"
490454,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Service","2016-04-11 04:29:04"
490455,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Storage","2016-04-11 06:51:00"
490456,"Dirigible","General","dirigible-inbox","RESOLVED","WONTFIX","API v2.0 - Scope","2016-05-19 03:11:20"
490457,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Mail","2016-03-29 05:11:55"
490458,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Extensions","2016-04-11 07:00:57"
490459,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Indexing","2016-04-11 07:08:29"
490460,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Messaging","2016-04-11 07:32:15"
490461,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Connectivity","2016-04-11 07:34:34"
490462,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Templating","2016-04-11 07:36:09"
490464,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Utils","2016-04-11 06:33:13"
490465,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Ext","2016-04-11 07:37:30"
490517,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Environment Variables to take precedence over the Servlet Configurations","2016-03-28 12:23:37"
490519,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Logger Service with Web Scokets","2016-03-29 12:38:32"
490520,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Create dynamic Logs Console which can connect to the WebSockets based Logger Service","2016-03-30 07:37:20"
490521,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","Create Terminal Service based on WebSockets","2016-08-13 06:16:14"
490527,"Dirigible","security","dirigible-inbox","RESOLVED","FIXED","Secure WebSockets channel for Scripting Services","2016-08-19 11:54:07"
490617,"Dirigible","security","dirigible-inbox","RESOLVED","FIXED","Secure the Logger Service","2016-08-19 11:54:32"
490709,"Dirigible","help","dirigible-inbox","RESOLVED","FIXED","Help Page for Listeners","2016-08-03 08:02:46"
490711,"Dirigible","help","dirigible-inbox","RESOLVED","FIXED","Help Page for Log Console View","2016-07-08 05:28:39"
491236,"Dirigible","security","dirigible-inbox","RESOLVED","FIXED","Disable Cut/Copy/Paste/Delete actions in Repository view on Trial mode","2016-04-30 05:30:55"
491787,"Dirigible","runtime-ui","dirigible-inbox","RESOLVED","FIXED","Clickable tiles","2016-04-15 09:29:14"
492650,"Dirigible","runtime-java","dirigible-inbox","RESOLVED","FIXED","Removing Java dev related plugins from the core","2016-05-03 12:04:43"
492900,"Dirigible","General","dirigible-inbox","RESOLVED","FIXED","API v2.0 - Response","2016-05-03 10:36:02"
