"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
513716,"Drupal","IWG","chris.guindon","NEW"," ---","Science: New Projects Page for eclipse.science","2019-07-03 16:56:46"
406454,"Drupal","Projects","eric.poirier","NEW"," ---","[pmi] Simultaneous Release Pages should have an advanced view for IP/Legal Role","2019-07-03 17:25:34"
469511,"Drupal","Eclipsecon","eric.poirier","RESOLVED","FIXED","View messed up on FOSS4G NA site","2015-06-22 14:53:18"
442902,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","Please ensure code of conduct is added to all conference sites","2014-09-17 09:25:12"
485785,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","FOSS4G NA 2016: please enable supporter sponsor feature","2016-02-11 11:45:35"
426482,"Drupal","IWG","chris.guindon","RESOLVED","FIXED","LTS: Update Logo for LTS site","2014-02-13 17:54:35"
404826,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","INVALID","Sync the user schedule","2017-07-05 15:07:52"
443432,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","Please create views for PC members & bio","2014-09-15 16:59:45"
444190,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","FOSS4G: Need an organizing committee view too","2014-09-18 17:44:07"
462277,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","Add video to FOSS4G NA site","2015-03-19 10:57:10"
482325,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","FOSS4G NA 2016: Would like to add tweets for new talks submitted","2016-11-08 11:55:40"
482489,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","Wrong emails on FOSS4G NA site","2016-11-08 11:56:33"
484417,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","FOSS4G NA 2016 site is down","2015-12-16 13:53:40"
486056,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","WONTFIX","FOSS4G NA 2016: Is there a way to hide profiles temporarily?","2016-11-08 11:44:05"
522392,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","Access problem for ECE 2017 conference app developer","2017-09-18 12:01:21"
397333,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","WONTFIX","Define a Set of common Roles that an IWG Core site would use","2019-02-19 14:16:49"
397599,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","INVALID","demovvvvvvv","2013-02-01 10:57:56"
397918,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: editing profiles doesn't work","2013-01-11 11:24:15"
400411,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","INVALID","locationtech.org is not responding","2013-02-10 22:53:11"
411517,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: highlight tech talks","2014-02-10 16:44:14"
411525,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","WONTFIX","LocationTech: highlight screen captures/project promo information","2016-11-08 13:01:19"
411526,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: Expose social activity","2014-02-10 16:36:22"
412133,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: re-size logos automatically","2014-02-10 16:34:27"
412134,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: some funky caching for the index page","2013-09-09 10:10:30"
415011,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: Get started button doesn't do anything","2016-11-08 13:02:22"
415680,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: request tour.locationtech.org domain virtual host","2013-08-30 10:16:07"
416369,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LTS: Please add Lisa L. to Steering Committee group for wiki access","2013-09-03 13:34:53"
418225,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","WONTFIX","URL File Access permission required on polarsys.org","2013-10-02 11:54:13"
425780,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: Go live on refresh","2014-02-18 11:34:00"
426008,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Deployment plan for the LocationTech look refresh","2014-01-23 14:17:54"
426194,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","WORKSFORME","LocationTech: old test site no longer needed","2016-11-08 13:02:04"
427027,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Science: Request for Science WG Drupal instance","2014-06-13 11:30:05"
427132,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: add 2014 Tour page","2015-06-18 16:36:19"
427506,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: featured event rather than next event","2014-02-19 09:51:43"
430943,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: permission to create & publish events","2016-11-08 13:00:23"
434449,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Create a drupal menu for the LTS.eclipse.org website","2015-05-25 16:47:15"
435828,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech: *.locationtech.org points to old data","2014-05-26 15:20:43"
440378,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Can't edit fields on LocationTech projects","2016-11-08 12:56:23"
440379,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Overlapping fields on LocationTech project pages","2016-11-08 12:54:52"
440409,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Science: Link to mailing list","2016-11-08 12:55:50"
440801,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","PolarSys website has no obvious means of logging in.","2016-11-08 12:54:03"
450732,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Science website is down","2014-11-10 08:28:19"
465298,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Link to bookmark not working","2015-04-23 13:58:11"
485155,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Can't log into LocationTech.org","2016-01-04 13:40:58"
486174,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","LocationTech login redirect loop issue is back","2016-11-08 11:43:41"
487378,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Aggregate any outstanding feedback for LocationTech website refresh (Feb. 2016 edition)","2016-11-08 11:43:09"
488899,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Can we fix cert error for locationtech.org","2016-11-08 11:22:45"
496843,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Please disable redirect to FedGeoday 2015","2016-07-06 11:16:34"
498161,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Pasting minutes from GDoc isn't feasible","2016-11-07 16:48:00"
501828,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","New editor for openmdm.org","2016-11-08 09:27:59"
504723,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Update the ""Welcome, user"" link on our websites menu","2016-10-06 15:24:12"
504724,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Add a link to ""Welcome, username"" on Eclipse.org","2016-10-06 15:23:42"
504726,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Create an option for Drupal website to change Welcome link","2016-10-07 06:16:48"
506039,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Science Website down","2016-11-07 13:55:09"
520368,"Drupal","IWG","drupal.iwg-inbox","RESOLVED","FIXED","Polarsys.org: Read more links should look identical for news and recent post entries","2017-09-06 10:50:23"
401338,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","[CLA] CLA ""documents"" need to be stored in the Foundation database","2013-06-17 13:47:53"
401343,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","[PMI] CLA - dev.eclipse.org/site_login needs a mechanism to allow a newly registered user to be funneled into signing a CLA after account creation","2013-06-24 09:49:33"
414841,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","Unexpected error when saving project plan","2017-07-05 15:15:21"
415516,"Drupal","Projects","drupal.projects-inbox","RESOLVED","WONTFIX","Enable ""Table of Contents"" on projects.eclipse.org","2019-02-19 14:24:58"
437754,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","Something is amiss with PDE ""who's involved""","2019-02-19 14:59:02"
440350,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","We should list contributors","2019-02-19 15:00:34"
456586,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","Unable to edit project details","2017-07-05 15:20:36"
514722,"Drupal","Projects","drupal.projects-inbox","RESOLVED","FIXED","[PMI-ECLIPSECON] Include users from ldap in user reference fields","2017-05-01 10:19:04"
