"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
434152,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Editing capability for expressions is needed","2014-05-06 00:49:34"
447532,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","EATOP Browser Usability and Presentation","2014-10-16 06:51:46"
447533,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Better presentation and editing of UserDefinedAttributes","2014-10-16 06:53:11"
447535,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Variability Resolution Plugin","2014-10-16 07:02:42"
454570,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Tree View presentation Enhancement","2014-12-09 08:37:33"
454991,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Integrate EMF compare to EATOP","2015-04-15 09:59:51"
466567,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Optional attributes are serialized even if empty","2015-05-06 07:48:24"
466570,"EATop","EAST-ADL","stefan.voget","UNCONFIRMED"," ---","Description missing on HardwarePort","2015-05-06 08:23:47"
466573,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","F2 shortcut","2015-05-06 08:27:33"
467087,"EATop","EAST-ADL","stefan.voget","UNCONFIRMED"," ---","Semantic aspect on EventFunctionFlowPort missing","2015-05-12 07:09:01"
467090,"EATop","EAST-ADL","stefan.voget","UNCONFIRMED"," ---","State vs. state change data on FlowPorts","2015-05-12 07:25:55"
468459,"EATop","EAST-ADL","stefan.voget","UNCONFIRMED"," ---","EAST-ADL metamodel followed only partially in EATOP?","2015-05-27 07:13:30"
470940,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","Copy-Paste of Type as Prototype","2015-06-25 03:12:55"
506554,"EATop","Core","stefan.voget","UNCONFIRMED"," ---","copy-maven-plugin is no longer maintained, causes failed builds","2016-10-26 08:43:31"
455451,"EATop","Core","stefan.voget","NEW"," ---","Adaption to Graphiti 0.12.0","2014-12-17 04:39:47"
457010,"EATop","Core","stefan.voget","NEW"," ---","Long Name in EastADL Example Editor is ignored","2015-01-16 03:53:27"
519307,"EATop","Core","stefan.voget","NEW"," ---","Add Connector Creator","2017-07-06 08:30:32"
519309,"EATop","Core","judith.hoereth","ASSIGNED"," ---","Update Explorer","2017-07-12 04:43:47"
455298,"EATop","Core","henrik.kaijser","RESOLVED","FIXED","Virtual nodes have empty name in Explorer","2015-04-23 02:49:00"
434151,"EATop","Core","judith.hoereth","RESOLVED","FIXED","Comment body text is not stored","2015-03-31 13:18:35"
454994,"EATop","Core","judith.hoereth","RESOLVED","FIXED","Contribution of a Table View","2016-02-29 12:58:58"
455257,"EATop","Core","judith.hoereth","RESOLVED","FIXED","Erroneous Instance Ref definition in Explorer","2015-03-31 13:14:07"
457853,"EATop","Core","judith.hoereth","RESOLVED","FIXED","Enable 'Show Name and Type' in explorer","2015-05-12 01:53:32"
467504,"EATop","Core","judith.hoereth","RESOLVED","FIXED","Bug 457853 reintroduced Bug 455298","2015-05-26 12:47:57"
434946,"EATop","Core","stefan.ebenschwanger","RESOLVED","FIXED","Version in Splash screen","2015-01-08 15:10:34"
447480,"EATop","Core","stefan.ebenschwanger","RESOLVED","FIXED","Wrong url on eclipse.org/eatop/","2014-12-17 04:48:20"
447525,"EATop","Core","stefan.ebenschwanger","RESOLVED","FIXED","Problems with EATOP Environment setup","2014-12-17 04:45:01"
451133,"EATop","Core","stefan.ebenschwanger","RESOLVED","FIXED","Eatop Graphical Editor","2015-01-07 03:05:47"
428909,"EATop","Core","stefan.voget","RESOLVED","FIXED","EATOP Initial Contribution","2014-05-28 08:02:35"
432679,"EATop","Core","stefan.voget","RESOLVED","FIXED","Contribution of validation plugin","2014-12-17 04:24:37"
436079,"EATop","Core","stefan.voget","RESOLVED","FIXED","Features missing required license files","2015-04-23 02:47:40"
444145,"EATop","Core","stefan.voget","RESOLVED","FIXED","Incorporate changes of Sphinx triming context information from proxy URIs when serializing proxyfied cross-document references","2014-09-15 15:32:15"
444187,"EATop","Core","stefan.voget","RESOLVED","FIXED","Remove unnecessary different revisions Hack in EastADLXMLSaveImpl","2014-09-15 15:31:44"
483064,"EATop","Core","stefan.voget","RESOLVED","FIXED","Update target platform descriptions","2016-04-11 04:04:37"
483066,"EATop","Core","stefan.voget","RESOLVED","FIXED","A Demonstrator containing the latest state is needed","2016-04-11 04:05:34"
519314,"EATop","Core","stefan.voget","RESOLVED","FIXED","Add EMF Compare integration","2017-07-12 04:02:43"
519315,"EATop","Core","stefan.voget","RESOLVED","FIXED","Update Table View","2017-07-12 03:02:45"
454992,"EATop","EAST-ADL","stefan.voget","CLOSED","DUPLICATE","Integrate EMF compare to EATOP","2014-12-12 09:46:03"
