"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
418731,"ECF","ecf.remoteservices","bugs.eclipse.org","NEW"," ---","[TCK] Add axis for different ECF distribution providers","2014-01-20 15:14:52"
421063,"ECF","ecf.protocols","bugs.eclipse.org","NEW"," ---","Implementation of IPv6 to jslp","2014-05-02 00:43:08"
424059,"ECF","ecf.remoteserviceadmin","bugs.eclipse.org","NEW"," ---","RSA not dynamic aware with regards to discovery providers","2014-05-09 12:26:46"
368051,"ECF","ecf.ui","ecf.core-inbox","NEW"," ---","[ui][presence] Chats view crashes workbench","2014-02-18 14:22:23"
368771,"ECF","ecf.ui","ecf.core-inbox","NEW"," ---","[UI] Turn SelectProviderAction into Command/Handler","2019-01-03 12:01:09"
378350,"ECF","ecf.discovery","ecf.core-inbox","NEW"," ---","[Discovery] Upgrade to ZooKeeper 3.4.x release","2019-01-03 12:02:30"
383042,"ECF","ecf.newsreader","ecf.core-inbox","NEW"," ---","GSOC 2012 Enhancing Salvo Newsreader Project Milestone 2: Implement designed interface and link the current NNTP implementation through new interface","2014-02-14 15:42:48"
408216,"ECF","ecf.filetransfer","ecf.core-inbox","NEW"," ---","SPNEGO authentication support for ECF HttpClient4 Provider","2013-05-24 10:39:13"
410783,"ECF","ecf.filetransfer","ecf.core-inbox","NEW"," ---","[providers][filetransfer] HttpClientRetrieveFileTransfer reports file size as -1","2015-07-24 20:06:26"
412303,"ECF","ecf.remoteservices","ecf.core-inbox","NEW"," ---","[Distributed EventAdmin] EventAdmin sendEvent(Event) method does not remote Event","2013-09-23 03:31:18"
418666,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[r-OSGi] Add support for IPv6","2013-10-05 04:42:36"
418742,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[TCK][r-OSGi] Test failure testSimpleRegistration with org.osgi.test.cases.remoteservices ct","2013-10-25 06:16:51"
420583,"ECF","ecf.protocols","ecf.core-inbox","NEW"," ---","[r-OSGi] ChannelEndpointImpl.EventForwarder does not de-register when networkChannel is closed","2013-10-29 02:43:57"
420895,"ECF","ecf.protocols","ecf.core-inbox","NEW"," ---","[r-OSGi] NPE when remote service reference gone before proxy bundle has been fully started","2013-11-01 13:22:36"
420898,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[providers][MQTT] Create MQTT broker container","2015-07-24 20:15:42"
421134,"ECF","ecf.protocols","ecf.core-inbox","NEW"," ---","[r-OSGi] ChannelEndpointImpl.retrieveDependencies(..) is no longer called","2013-11-14 12:50:17"
421239,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[Discovery] Create discovery provider based on Hazelcast","2013-11-07 07:44:26"
422626,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[providers][MQTT] Integrate MQTT provider into existing and new features","2015-07-24 20:09:30"
423703,"ECF","ecf.remoteservices","ecf.core-inbox","NEW"," ---","Better support use cases (e.g. OSGi whiteboard pattern) where one communication party cannot be contacted directly due to firewalling/NAT","2013-12-12 16:09:36"
424259,"ECF","ecf.releng","ecf.core-inbox","NEW"," ---","[releng] Remove old/obsolete/outdated code/projects from org.eclipse.ecf git repository","2019-10-26 11:17:05"
424322,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","[Discovery][Zookeeper] Timed out waiting for thread ""null"" to finish starting bundle ""org.eclipse.ecf.provider.zookeeper...""","2017-01-09 15:39:18"
425817,"ECF","ecf.remoteservices","ecf.core-inbox","NEW"," ---","Create 'replicated lock' service interface","2014-05-10 11:44:35"
426701,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","Deprecate (or remove right away) org.eclipse.ecf.provider.discovery bundle containing Composite- and SingletonDiscoveryContainers","2016-04-04 15:09:40"
429939,"ECF","ecf.releng","ecf.core-inbox","NEW"," ---","[releng][karaf] automate usage of karaf-features.xml for as many features as possible","2016-11-24 05:35:21"
430144,"ECF","ecf.releng","ecf.core-inbox","NEW"," ---","Add karaf-features.xml to maven repository","2016-11-22 13:48:03"
430184,"ECF","ecf.providers","ecf.core-inbox","NEW"," ---","test, modify, and release karaf features for ActiveMQ provider","2014-05-09 12:23:09"
438466,"ECF","ecf.releng","ecf.core-inbox","NEW"," ---","Provide better feature structure for handling source bundles for Orbit dependencies","2016-11-24 08:27:29"
448466,"ECF","ecf.discovery","ecf.core-inbox","NEW"," ---","[Discovery][jmdns] JmDNS hangs on javax.jmdns.impl.JmDNSImpl.unregisterService","2015-07-24 20:00:24"
449528,"ECF","ecf.remoteserviceadmin","ecf.core-inbox","NEW"," ---","[RSA] consider additional topology managers or more/other configuration for BTM","2014-11-03 07:55:27"
454609,"ECF","ecf.tooling","ecf.core-inbox","NEW"," ---","[Tooling][remoteservices] Remote Service Tooling Tracking bug","2015-11-25 12:51:22"
454612,"ECF","ecf.tooling","ecf.core-inbox","NEW"," ---","[Tooling] Provide remote services information","2014-12-09 12:07:07"
454616,"ECF","ecf.tooling","ecf.core-inbox","NEW"," ---","[Tooling] Provide statistics on remote service registrations","2015-11-06 14:27:50"
454620,"ECF","ecf.tooling","ecf.core-inbox","NEW"," ---","[Maintenance] Communications Perspective overhaul","2015-02-04 12:53:55"
455300,"ECF","ecf.releng","ecf.core-inbox","NEW"," ---","[Releng][Maven] Routinely build the maven repo","2016-10-19 14:33:12"
476548,"ECF","ecf.discovery","ecf.core-inbox","NEW"," ---","SLP Discovery: Illegal Character","2016-04-18 17:51:04"
483750,"ECF","ecf.discovery","ecf.core-inbox","NEW"," ---","[Discovery][jSLP] No way to disable automatic discovery of services within Eclipse","2016-07-04 18:58:57"
430186,"ECF","ecf.examples","ecf.examples-inbox","NEW"," ---","create karaf-features for ActiveMQ provider-based example applications","2014-03-12 10:13:02"
446237,"ECF","ecf.examples","ecf.examples-inbox","NEW"," ---","[examples][remoteservices] Remote Service Example - GitHub","2015-07-24 20:07:28"
382699,"ECF","ecf.test","ecf.test-inbox","NEW"," ---","GSOC-2012 Testing Framework for OSGI Remote Services","2012-07-11 03:17:00"
478916,"ECF","ecf.doc","ecf.doc-inbox","ASSIGNED"," ---","Contribution guide needs to provide more information","2018-05-29 14:13:53"
412186,"ECF","ecf.remoteservices","bugs.eclipse.org","REOPENED"," ---","[Distributed EventAdmin] Add API for custom Serialization per event topic","2013-10-13 16:42:24"
381651,"ECF","ecf.newsreader","ecf.core-inbox","REOPENED"," ---","GSOC 2012 Enhancing Salvo Newsreader Project Milestone 1:Design Protocol independent connectivity interface","2012-07-09 04:16:17"
408625,"ECF","ecf.providers","ecf.core-inbox","REOPENED"," ---","[Discovery][SLP] Service properties strings decoded as Integer by receiver","2013-10-25 06:18:23"
420363,"ECF","ecf.providers","ecf.core-inbox","REOPENED"," ---","[r-OSGi] NPE in ch.ethz.iks.r_osgi.impl.ChannelEndpointImpl.handleMessage(RemoteOSGiMessage) on SERVICE_MODIFIED msg","2014-02-12 16:21:13"
478655,"ECF","ecf.providers","ecf.core-inbox","REOPENED"," ---","[Mars] https:// update sites requiring SNI cannot be used","2017-05-08 14:21:48"
385395,"ECF","ecf.discovery","bugs.eclipse.org","RESOLVED","FIXED","JMDNS provider shutdown fails with NPE if connect was not successful","2012-07-19 03:09:57"
406939,"ECF","ecf.releng","bugs.eclipse.org","RESOLVED","FIXED","Update ECF Buckminster rmap to point to 4.3M6 milestone release","2013-05-01 07:52:50"
406977,"ECF","ecf.protocols","bugs.eclipse.org","RESOLVED","FIXED","ch.ethz.iks.r_osgi.remote incompatible with org.objectweb.asm >=4.0.0","2013-05-01 10:01:50"
408030,"ECF","ecf.remoteservices","bugs.eclipse.org","RESOLVED","FIXED","RestClientService ignores content encoding","2013-05-14 16:03:20"
408134,"ECF","ecf.remoteservices","bugs.eclipse.org","RESOLVED","FIXED","o.e.e.remoteservice unnecessarily sets singleton true","2013-05-15 10:49:59"
